"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Lebanon","January",0.148,0.929,2.513,-3.115,-0.137,1.518,-0.684,-1.146,-0.367,1.239,1.983,-1.467,-1.505,-1.837,-0.351,0.079,-1.261,0.665,0.69,-1.066,-0.15,0.529,-2.749,0.745,1.566,0.765,1.064,0.198,-2.128,-1.208,0.011,-2.496,-1.102,2.036,0.906,0.15,0.882,0.012,1.397,-0.837,0.962,-1.214,1.924,0.41,0.727,0.09,-0.184,-2.365,0.616,2.775,1.405,-0.224,0.72,1.907,0.004,-0.199,-0.451,1.464,0.331
"2","Lebanon","February",-1.29,-0.401,1.36,-0.725,0.275,1.293,-2.233,-0.804,0.787,1.279,-0.309,-2.382,1.409,-0.622,-1.204,-2.037,2.262,1.319,1.892,-0.846,0.039,-1.924,-2.19,0.662,-1.754,1.121,1.749,-0.405,-1.282,-0.894,-0.34,-3.676,-2.387,0.258,0.566,0.943,-2.061,-0.181,1.03,-0.725,0.681,1.714,-0.99,-0.117,-0.251,0.986,0.66,-0.635,0.88,2.205,0.887,-0.825,2.201,1.383,0.448,2.45,-0.443,2.739,0.558
"3","Lebanon","March",-1.349,2.322,-1.091,1.078,1.025,0.164,-2.215,-0.872,1.503,1.478,0.486,-0.26,-0.306,0.51,0.364,-0.762,-0.146,0.614,1.073,-0.496,0.957,-1.728,-1.298,0.525,-0.7,1.114,-2.842,-0.961,0.644,0.023,1.399,-2.013,-0.925,0.534,0.548,-0.121,-2.134,-0.772,0.892,-0.942,3.667,1.701,-1.524,1.805,1.216,1.085,0.319,3.685,-0.15,2.952,0.687,-1.127,2.293,2.296,1.742,2.411,1.152,3.765,0.054
"4","Lebanon","April",0.222,-0.86,0.339,-1.103,-0.798,1.086,-1.143,1.121,-1.466,1.779,-1.775,1.405,-0.601,-0.49,1.932,-0.209,-0.257,0.014,1.051,-0.093,-0.17,1.091,-0.862,-0.941,0.418,2.052,-1.114,0.071,3.71,0.308,1.462,-0.343,0.392,2.444,-0.393,-0.833,-1.591,1.609,0.741,1.631,2.04,0.029,0.347,0.448,1.129,0.843,-0.525,2.715,0.667,1.947,0.428,1.866,1.279,2.476,0.143,3.545,1.647,2.595,-0.432
"5","Lebanon","May",0.696,0.526,-1.552,-1.662,-0.596,-0.199,-0.868,1.44,0.994,-0.101,0.931,-0.872,0.142,-0.43,-0.535,-0.222,0.559,1.257,0.044,0.249,-1.374,-0.482,-0.167,0.729,1.253,-1.624,-0.05,1.182,1.478,0.092,-0.103,-0.55,-0.997,1.544,1.168,2.026,1.288,0.955,2.196,0.581,0.839,-0.068,3.067,0.23,0.289,0.957,2.078,0.253,0.747,1.857,0.223,1.388,2.425,1.523,1.828,1.704,1.835,3.416,2.628
"6","Lebanon","June",0.566,0.885,0.797,-0.424,1.238,0.529,-1.274,0.237,1.277,-0.348,-0.354,-0.628,-0.968,0.128,-0.342,-0.46,-0.182,-0.194,0.669,0.189,0.253,-0.327,-0.452,-0.392,0.132,0.031,-0.435,0.276,-0.318,0.121,0.421,-0.466,0.475,0.312,1.25,0.809,0.664,0.775,0.675,1.393,1.223,0.712,0.808,0.297,0.095,1.366,1.294,1.874,1.838,1.51,0.608,2.346,1.216,1.122,0.051,2.82,1.474,1.704,2.462
"7","Lebanon","July",0.245,0.186,0.762,-0.519,0.146,0.225,-0.464,0.746,-0.898,-0.502,-0.755,-1.181,0.268,-0.02,0.074,-1.06,0.602,1.336,0.037,0.579,0.548,-0.798,-0.172,-0.313,-0.323,0.177,0.872,1.664,0.588,0.428,-0.369,-0.749,0.454,-0.101,0.225,1.494,0.85,1.481,1.105,2.751,1.301,1.703,1.033,1.408,1.091,0.44,1.841,1.439,1.582,1.662,1.835,2.617,0.828,1.1,1.316,2.013,3.257,1.673,1.574
"8","Lebanon","August",0.326,1.269,1.65,-0.805,0.567,0.505,-0.545,-0.983,-0.295,-0.411,-0.524,-0.575,-0.217,-0.629,-0.737,-1.363,0.687,-1.213,-0.357,-0.112,0.23,-0.424,-0.767,-1.428,1.623,0.318,0.63,0.665,0.024,-0.184,-0.088,0.445,0.765,0.306,0.625,0.956,-0.843,2.398,1.313,1.096,1.187,0.653,1.378,0.19,0.846,1.163,1.092,1.917,1.103,3.432,1.14,1.915,1.237,1.602,2.429,2.127,1.828,1.394,1.71
"9","Lebanon","September",-1.596,0.909,0.935,-0.877,0.356,-0.158,-0.803,-0.679,0.946,-0.147,0.615,0.534,0.171,-0.415,0.01,-0.913,0.175,-0.615,0.754,-0.745,0.765,0.344,-0.234,0.133,0.369,1.766,0.797,0.681,0.176,0.078,0.28,-0.136,0.446,2.396,0.6,0.614,-0.338,1.505,0.894,0.634,0.883,1.135,0.427,0.886,0.788,1.367,1.303,1.376,0.376,2.565,1.375,1.618,0.698,0.994,3.493,1.343,2.134,2.264,1.7
"10","Lebanon","October",-0.307,0.613,1.002,-0.046,-2.11,0.369,-0.405,-0.658,-0.093,-1.331,-1.249,0.728,0.805,1.521,-0.776,0.26,-1.865,0.674,0.322,-0.064,1.071,-0.211,-1.412,-0.069,-1.744,-0.037,-1.306,-0.893,-0.96,0.87,0.912,0.787,2.044,2.935,-0.099,-0.671,0.266,1.204,0.971,-0.662,0.67,1.608,1.031,1.781,-0.195,0.084,1.703,0.359,2.389,2.382,0.063,1.925,-0.945,0.047,2.276,1.842,0.735,1.842,2.265
"11","Lebanon","November",-0.721,3.02,0.891,-0.101,-0.675,2.895,-1.128,0.339,-0.356,0.814,-0.525,-0.857,-2.9,0.03,-0.292,0.633,0.016,-2.396,1.64,0.82,-1.852,-3.019,0.968,-0.829,1.284,-2.586,-0.823,-2.526,0.181,1.698,0.386,-0.704,-1.306,-0.938,-2.106,0.771,0.347,2.473,0.326,0.171,-0.627,1.086,0.334,0.18,-1.059,-1.46,0.646,1.033,0.09,2.965,-2.575,1.637,2.279,-0.399,1.185,0.511,0.864,0.624,1.974
"12","Lebanon","December",0.764,1.429,0.031,0.107,0.655,0.909,0.452,0.862,1.109,-1.683,-1.91,-2.274,-0.182,-0.852,-1.378,0.889,-0.705,1.039,-0.628,0.377,1.486,-1.652,0.606,-1.788,0.177,-1.003,0.619,-0.235,-0.004,1.655,-1.612,-2.272,1.634,-1.996,-0.574,2.05,0.913,1.646,1.286,0.547,0.571,-0.386,0.309,-1.193,1.876,-1.313,0.251,0.491,2.12,2.307,-0.281,1.263,-1.08,2.253,-0.077,-1.231,2.153,1.525,0.946
