"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Lesotho","January",0.118,0.302,-1.109,0.18,-0.086,1.466,-0.124,1.14,2.034,0.807,-0.094,0.355,1.121,0.378,-0.482,-0.916,0.506,-0.177,-0.381,-0.429,0.488,0.433,2.264,0.219,1.539,0.461,0.727,1.296,0.107,0.332,0.71,0.905,1.631,-0.351,1.4,0.377,0.17,0.392,1.151,-1.287,-0.025,0.347,0.689,0.284,0.362,0.15,0.902,-0.253,0.613,0.242,0.03,1.583,0.638,1.432,0.965,2.038,0.217,0.912,0.727
"2","Lesotho","February",0.847,-0.072,-0.034,0.905,0.7,-1.355,-0.473,-0.093,1.898,0.434,-0.651,-0.989,-0.357,0.083,-0.754,-0.348,1.203,0.245,1.41,0.514,-0.319,0.984,0.945,0.917,0.67,-0.143,2.229,0.865,-1.255,-0.582,0.754,1.828,0.177,-0.439,2.424,0.001,0.354,1.146,1.026,0.784,-0.023,-0.352,1.651,0.524,0.732,0.702,1.537,-0.282,0.222,1.226,0.705,1.362,0.929,0.979,0.426,2.267,0.592,0.799,0.86
"3","Lesotho","March",0.61,0.007,-1.317,1.812,0.897,0.962,-0.575,-1.01,-0.138,0.648,1.035,-0.431,1.593,-0.157,-1.534,-0.013,-1.078,1.129,0.278,0.745,-0.952,-0.177,1.102,0.609,-0.18,0.559,0.553,1.114,0.054,-0.289,-0.205,0.563,0.574,0.044,0.146,-0.589,-0.058,0.688,1.912,1.146,1.108,1.095,0.727,0.23,-0.585,-1.25,0.418,-0.364,0.315,0.997,1.581,1.151,0.879,0.511,0.608,2.102,0.81,0.406,1.84
"4","Lesotho","April",0.449,-0.144,-0.86,-0.376,-0.152,-1.001,-0.496,-1.611,-0.138,0.975,0.626,0.755,-0.47,-0.776,-0.194,-0.104,1.457,-1.182,1.836,0.472,0.776,-1.186,2.273,0.007,0.548,1.554,1.962,0.047,-0.05,1.289,0.964,2.376,0.223,0.739,-0.439,-0.387,-1.059,1.945,1.945,-0.328,0.521,1.776,2.156,1.092,-0.171,-0.043,1.247,-0.897,0.394,1.4,0.642,-0.149,-0.3,-0.138,0.381,2.525,0.72,1.615,0.87
"5","Lesotho","May",0.207,-0.594,-0.68,0.458,0.312,0.1,0.352,-0.319,-0.42,1.049,-0.382,-0.56,-0.391,-0.322,0.224,-0.567,-0.655,0.006,0.89,0.666,0.174,0.799,0.978,0.143,0.036,1.441,2.154,0.765,1.194,0.188,1.178,0.89,1.118,0.772,0.367,0.876,-0.484,0.559,1.28,-0.544,1.196,0.896,0.718,1.024,0.696,-1.678,0.265,1.423,0.91,2.064,0.605,1.075,0.509,1.719,1.889,1.605,0.93,0.573,2.455
"6","Lesotho","June",1.538,0.567,-0.12,-0.966,-1.927,1.276,-0.007,-2.203,0.56,0.338,0.652,-0.515,0.664,0.204,0.86,-0.038,0.62,-1.076,0.465,0.065,-0.476,0.214,1.427,-0.101,0.941,1.031,-0.109,-0.445,0.009,0.14,0.055,0.964,0.412,-0.101,-0.053,0.816,0.664,1.125,1.483,1.665,1.945,0.501,0.176,0.535,1.406,0.063,0.533,1.344,1.065,0.606,0.42,0.094,1.402,1.323,0.754,2.162,1.719,1.251,1.836
"7","Lesotho","July",0.941,0.779,-0.715,-1.199,0.316,0.155,-1.799,0.487,1.022,-0.063,0.23,0.291,-0.054,0.205,0.237,0.128,0.134,0.794,-0.643,-0.149,0.429,0.579,0.777,0.479,0.06,0.659,-0.479,0.383,-0.113,0.575,0.726,0.908,2.012,-1.005,0.148,-1.712,0.064,1.446,2.159,0.272,0.037,-0.051,0.42,-0.299,0.991,1.499,0.355,0.722,-1.296,1.343,-1.236,0.582,1.097,-0.272,0.813,0.976,1.473,-0.141,2.442
"8","Lesotho","August",-0.866,1.052,0.095,-0.502,1.353,0.69,0.134,0.13,0.687,0.184,-0.764,-0.685,-0.885,-0.726,0.198,-0.687,-0.526,1.421,0.62,0.846,-1.202,0.494,-0.351,0.383,1.93,1.19,-0.119,1.428,2.333,0.299,0.294,-0.169,0.946,-0.022,1.501,-1.088,1.729,0.97,1.096,1.658,0.862,1.947,-0.406,1.76,1.857,-0.371,0.584,1.435,0.087,1.009,-0.371,0.839,0.525,1.328,2.367,1.659,0.562,0.753,2.377
"9","Lesotho","September",1.248,1.356,2.738,0.262,0.778,-0.326,0.356,-0.387,-0.527,1.032,0.093,0.319,-1.027,-0.045,1.231,1.203,0.709,-0.702,-0.833,-1.171,-1.914,1.516,1.856,0.873,1.113,0.673,-0.761,-0.013,-0.245,0.143,0.732,1.918,1.873,1.453,1.646,0.784,0.65,0.846,0.365,-0.207,-0.124,0.405,0.804,-1.121,1.315,-0.167,2.564,-0.393,0.577,2.094,0.851,-0.755,0.518,1.982,1.826,1.421,1.954,1.411,1.079
"10","Lesotho","October",-0.597,1.021,1.2,-0.707,-1.54,0.475,0.12,-0.22,-0.3,-0.35,-0.411,0.995,0.334,0.724,-0.633,-1.037,0.889,-1.098,0.241,0.658,-2.161,0.502,-0.01,0.599,1.725,-0.039,-0.502,-0.914,-0.829,0.14,0.125,0.689,0.601,-0.864,0.01,0.58,0.521,0.562,0.511,0.717,1.067,1.045,0.749,0.233,0.698,0.849,-0.775,1.075,0.772,0.769,1.306,0.685,0.012,-0.172,2.693,0.54,-0.563,0.648,1.526
