"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Liberia","January",-0.315,0.42,0.106,0.104,-0.988,-0.52,-0.555,-0.387,0.5,0.642,-0.594,-0.097,0.165,-0.638,-0.538,-0.199,0.355,0.984,0.805,0.839,-0.956,-0.638,-0.933,0.076,-0.002,-0.841,0.616,-0.046,-0.726,-0.332,0.611,-0.147,-0.36,0.119,-0.182,0.562,1.3,0.471,0.663,0.378,0.802,0.489,0.54,0.954,0.245,1.114,0.253,1.628,0.794,1.104,0.469,0.389,0.254,0.774,0.361,1.02,1.503,1,1.279
"2","Liberia","February",-0.261,-0.3,-0.375,0.365,-0.7,0.128,0.091,-0.301,0.512,0.387,-0.144,-0.224,0.869,-0.193,0.064,-0.297,0.309,0.769,0.112,0.248,0.224,0.333,0.515,-0.191,0.013,0.483,0.452,1.014,0.182,0.047,0.533,0.716,0.39,0.685,0.128,0.753,0.936,1.843,0.345,0.074,-0.258,0.322,1.111,0.841,1.354,0.811,1.15,0.943,2.076,1.402,0.675,0.153,1.318,0.533,0.696,1.869,1.321,1.094,1.375
"3","Liberia","March",0.347,-0.252,-0.086,0.192,-0.11,0.319,0.106,-0.521,0.314,0.383,-0.088,-0.278,0.611,-0.023,0.173,-0.049,0.43,0.081,0.408,0.234,0.037,-0.065,1.2,0.537,0.418,0.135,0.635,0.995,-0.074,1.361,0.407,0.444,0.072,0.796,0.798,-0.307,1.276,2.307,0.741,0.842,0.937,0.471,0.931,1.122,1.356,0.915,1.054,0.781,0.871,1.534,0.824,1.152,0.99,0.533,0.911,2.29,1.603,0.974,1.598
"4","Liberia","April",-0.028,-0.199,0.106,0.014,-0.264,0.096,0.059,-0.348,0.312,0.433,-0.096,-0.273,0.577,0.046,-0.243,-0.257,0.633,-0.023,0.513,0.566,0.383,0.205,1.062,0.148,0.333,0.106,1.539,0.636,0.49,0.895,-0.122,0.21,0.104,0.39,0.545,0.502,0.648,2.052,0.446,-0.178,0.328,0.969,0.378,0.973,0.893,0.944,0.898,1.105,0.786,1.656,0.914,0.804,1.12,0.703,1.106,2.056,1.366,0.818,1.338
"5","Liberia","May",0.494,-0.199,0.131,-0.235,-0.203,0.374,0.267,-0.304,0.473,0.141,0.013,-0.176,0.368,-0.038,-0.421,-0.194,0.224,-0.031,0.35,0.111,-0.143,0.116,0.626,0.194,-0.001,0.341,0.849,1.335,0.816,0.39,0.627,0.158,0.508,0.646,0.528,0.742,0.511,1.442,0.889,NA,1.449,1.242,0.926,0.721,0.648,0.71,1.074,0.939,1.721,1.411,1.183,0.322,0.751,0.872,1.375,1.223,1.496,0.804,1.47
"6","Liberia","June",-0.02,-0.414,0.205,-0.041,-0.26,0.07,-0.325,0.055,0.135,0.365,0.034,0.016,0.479,0.413,0.054,-0.349,0.1,-0.203,0.306,0.365,0.647,0.175,0.472,0.43,0.212,0.361,0.991,0.595,0.621,0.671,1.2,0.406,0.628,0.498,0.971,0.78,0.347,1.18,1.001,0.47,0.402,0.824,0.603,0.64,0.523,0.715,0.695,1.109,1.953,1.256,1.371,0.701,0.841,1.18,1.064,0.97,1.374,0.923,1.494
"7","Liberia","July",-0.463,0.14,0.484,-0.192,-0.314,0.588,-0.546,0.688,-0.147,0.109,0.035,0.413,0.759,0.249,-0.056,-0.397,0.174,-0.116,0.474,0.434,0.021,0.229,0.549,0.359,0.33,-0.151,1.562,0.588,0.762,0.163,0.594,-0.082,0.523,0.202,0.764,0.952,1.152,1.418,0.973,NA,0.353,0.674,0.914,0.627,0.962,1.017,1.088,1.117,1.338,1.282,1.168,0.743,0.977,1.041,1.511,1.506,1.492,1.894,1.287
"8","Liberia","August",-0.848,-0.152,0.59,-0.586,0.133,0.112,-0.351,0.656,-0.063,0.252,-0.141,0.333,0.859,0.458,-0.057,-0.3,0.38,0.32,0.613,0.424,0.474,0.039,0.654,0.898,0.474,0.382,1.299,0.699,0.454,0.577,0.497,0.178,0.828,0.494,0.939,0.806,1.127,0.808,NA,0.788,0.386,0.86,1.298,0.937,0.934,1.126,1.091,1.078,0.845,1.527,1.315,0.912,0.979,1.094,1.589,1.479,1.638,1.592,1.307
"9","Liberia","September",-0.158,-0.187,0.526,-0.448,-0.321,-0.24,-0.489,0.179,0.067,-0.283,-0.211,0.284,0.413,0.052,-0.233,0.177,0.255,0.304,0.679,0.444,-0.052,0.627,0.457,0.518,0.028,0.393,0.963,0.633,0.35,0.41,0.427,0.064,0.386,0.622,0.826,0.154,1.098,1.09,NA,0.642,0.486,0.849,0.981,0.995,1.224,0.943,1.053,1.096,1.349,1.153,0.936,1.136,0.778,0.965,2.249,1.489,1.793,1.12,1.459
"10","Liberia","October",0.033,0.026,-0.013,-0.587,-0.002,-0.006,-0.233,0.052,-0.308,0.224,-0.099,0.393,0.3,0.131,0.039,-0.457,0.363,0.293,0.462,0.329,0.342,0.1,0.482,0.409,0.437,0.045,0.832,1.097,0.178,0.485,0.046,0.558,0.603,0.075,0.979,0.261,1.164,0.917,0.328,NA,0.64,0.974,1.412,0.881,1.116,1.044,0.761,1.051,1.635,0.963,0.645,0.782,0.968,0.94,1.575,1.49,1.552,1.38,0.985
"11","Liberia","November",-0.013,-0.116,0.118,-0.457,0.018,0.032,0.119,-0.277,-0.5,0.106,-0.315,0.283,0.222,-0.207,-0.065,-0.504,0.275,-0.031,0.66,0.044,0.354,0.128,0.322,0.452,0.357,-0.104,1.089,0.496,0.818,0.603,0.165,-0.376,0.461,0.557,1.103,0.823,0.87,1.166,NA,0.671,0.765,1.563,0.755,0.722,1.203,1.189,0.799,1.598,1.202,0.915,1.163,1.061,0.577,0.894,1.641,1.449,1.06,NA,1.324
"12","Liberia","December",0.156,-0.132,0.151,-0.267,-0.371,0.111,-0.45,-0.084,0.629,0.019,-0.501,0.242,-0.142,-0.195,0.441,-0.352,0.101,0.356,0.176,-0.281,0.627,-0.277,-0.171,-0.122,-0.022,-0.473,0.709,-0.87,0.516,0.706,0.105,1.128,0.473,-0.544,0.422,0.766,0.594,0.805,NA,0.198,1.217,1.191,0.994,1.353,1.533,1.364,1.029,1.137,1.47,0.904,0.838,0.751,0.461,0.807,0.913,1.471,1.066,1.289,1.633
