"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Libya","January",0.04,0.232,1.604,-0.974,0.731,0.729,-1.415,-1.722,-0.376,2.342,0.613,0.265,-0.254,-0.108,-1.025,-0.976,0.871,0.258,1.198,-0.394,-3.126,0.481,-2.56,-1.292,0.721,-0.35,-0.409,0.593,-1.771,0.541,-0.568,-1.161,-0.926,0.55,-1.659,1.365,1.066,0.424,0.556,-1.509,0.869,-0.978,1.349,0.258,-0.998,-0.173,0.632,-0.734,2.725,2.386,1.332,-1.15,0.362,1.296,-0.706,1.049,-1.904,1.25,-0.692
"2","Libya","February",-2.18,-1.899,0.829,-0.8,-0.711,0.467,-0.61,0.708,2.413,0.009,-1.375,0.203,-0.355,-0.176,-1.258,-1.747,1.411,1.427,1.126,-0.782,-1.353,-1.625,-0.579,-1.724,0.678,1.38,0.305,0.331,-2.129,-0.285,-0.21,-2.098,-1.76,-0.584,0.353,-0.2,-1.32,0.548,-1.559,-1.409,-0.515,0.305,-1.445,1.174,-0.16,-0.045,0.73,-1.315,0.216,3.878,-0.183,-2.313,-0.192,1.258,-0.285,1.593,1.022,0.917,-1.525
"3","Libya","March",-2.129,1.758,-0.972,1.717,-0.444,-1.289,-2.299,-0.386,3.078,0.235,0.789,-0.06,-0.54,0.857,0.416,-2.12,-0.414,-0.115,1.521,-0.081,1.592,-1.578,-1.905,0.081,0.394,0.555,-0.807,-0.414,-0.538,-0.075,1.452,-0.846,-0.881,0.724,0.382,0.248,-1.977,-1.962,1.39,0.015,3.044,1.559,-1.701,1.713,1.754,0.984,0.566,1.545,0.477,2.702,1.213,-1.346,3.689,0.638,-0.121,0.619,0.462,3.489,-0.429
"4","Libya","April",-0.13,0.198,0.523,0.293,-1.412,-0.15,1.252,1.036,-0.658,-0.648,0.527,-0.218,-0.77,0.628,0.179,-0.889,-0.814,0.898,-0.367,-0.345,2.113,0.673,-0.189,-0.508,-0.136,1.307,-1.805,1.606,2.1,1.247,0.151,-0.729,0.622,0.164,-0.849,-0.428,-1.118,2.524,1.458,2.166,0.387,0.645,0.822,1.189,-0.251,1.351,1.661,0.896,0.875,2.542,0.236,2.569,1.871,0.682,-0.163,3.661,0.246,3.012,1.316
"5","Libya","May",0.402,0.033,-1.383,-1.75,-1.718,-0.666,-0.461,1.362,0.375,-0.077,1.441,-1.141,0.639,-0.459,0.304,-0.324,1.32,1.002,-0.774,0.655,0.237,-1.093,1.032,3.682,1.339,-1.846,-0.007,2.498,0.375,-0.445,-0.369,-1.033,0.153,1.322,-0.141,1.982,0.95,1.841,2.189,1.718,1.534,1.281,0.707,0.831,0.508,1.309,0.765,2.642,-0.385,1.009,0.536,1.157,2.957,1.382,1.144,2.646,1.777,2.422,0.643
"6","Libya","June",0.059,-1.149,-0.272,0.613,-0.551,-0.47,-0.284,0.403,1.407,-0.363,-0.145,1.151,0.544,0.428,-0.416,-0.645,-0.203,-0.808,0.045,-0.329,0.932,-0.297,-0.812,-1.324,0.875,0.224,0.224,2.587,0.63,0.684,0.322,1.536,0.923,-0.425,2.433,-0.844,2.301,0.106,1.907,-1.059,-0.173,-0.691,0.565,0.137,-0.463,0.177,1.185,1.189,0.81,1.799,0.246,1.315,-0.128,0.764,-0.369,1.916,0.735,0.568,1.842
"7","Libya","July",-0.386,0.336,0.914,-0.729,1.135,0.793,-0.813,-0.002,-1.328,-0.549,-0.755,0.573,1.371,-0.853,-0.415,0.486,1.493,-1.333,0.214,0.131,0.605,0.405,0.527,-0.921,-0.048,1.221,2.1,1.962,0.24,0.043,0.858,0.616,0.403,0.648,1.551,0.483,1.706,1.289,1.151,1.165,1.864,3.561,2.453,0.825,1.928,0.942,1.237,1.832,1.636,1.625,2.765,2.16,0.642,2.209,1.354,0.978,1.75,2.733,2.402
"8","Libya","August",-0.893,-0.661,0.108,0.493,-0.284,0.796,-0.242,0.891,-0.161,0.094,-0.53,-0.332,-0.386,-0.71,-0.33,-0.352,0.659,-0.72,0.211,-0.273,0.474,0.156,0.913,0.23,-0.451,0.61,0.992,0.528,0.67,-0.39,-0.002,-0.107,0.197,1.196,2.002,1.419,1.313,1.813,2.987,0.417,1.052,2.767,1.651,1.366,1.819,2.973,1.514,1.014,0.566,1.375,1.001,1.487,0.865,2.673,2.416,0.333,1.419,2.051,1.791
"9","Libya","September",-1.922,0.297,0.782,-2.419,0.826,-0.39,0.194,-0.126,2.01,-0.562,-0.402,2.65,0.044,-0.052,-0.067,0.141,-0.208,-0.752,-0.303,-0.668,0.037,0.645,-0.119,0.508,-1.158,0.647,0.37,0.527,1.905,0.682,0.371,-0.95,1.994,1.402,2.715,2.701,0.77,2.82,3.028,1.087,3.797,2.314,2.059,-0.111,1.774,2.257,0.664,1.826,2.26,1.749,1.49,0.85,2.062,2.571,2.121,1.424,1.28,1.378,1.917
"10","Libya","October",-1.002,0.783,0.371,0.339,0.458,1.991,-0.568,-2.167,0.609,-1.302,-1.969,-0.128,0.309,0.514,-0.777,0.447,-1.485,-0.78,1.181,0.476,1.418,2.575,-1.478,1.176,-1.331,-0.34,0.791,-0.392,-0.442,1.827,1.928,2.697,2.27,0.969,-0.4,-0.779,0.658,1.239,2.599,1.165,1.576,-0.05,3.454,1.584,1.551,0.579,1.288,1.242,0.993,2.195,0.037,2.752,0.678,0.321,3.123,3.684,-0.387,2.133,2.298
