"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Liechtenstein","January",-0.325,1.414,-4.882,-1.73,1.219,-2.271,0.243,-1.101,0.692,0.652,-0.092,0.49,0.88,3.594,3.759,1.544,1.13,0.789,-2.32,-1.235,-1.867,0.48,3.547,0.723,-4.349,0.254,-2.774,3.743,2.455,1.611,1.383,1.371,3.252,3.128,-0.138,1.347,1.091,2.46,2.421,-0.131,1.7,1.043,0.493,0.364,0.634,-1.279,4.728,3.828,-0.546,-1.129,1.434,2.018,1.837,3.842,2.712,2.416,-1.735,4.329,0.065
"2","Liechtenstein","February",3.201,-0.881,-4.861,0.734,-4.012,4.624,1.016,1.102,-2.021,-1.087,-0.313,2.836,-0.806,2.614,1.217,1.27,2.638,-1.262,0.795,2.052,-1.533,-0.519,-2.527,-1.738,-1.227,-4.7,0.422,0.618,3.139,4.667,-1.994,1.503,-0.102,0.665,3.632,-1.442,3.104,4.009,-1.346,2.672,2.164,4.052,-2.601,1.243,-2.32,-0.717,3.983,3.136,-0.261,0.032,1.912,-3.617,-1.689,3.562,0.053,3.438,3.493,-2.216,3.368
"3","Liechtenstein","March",2.183,-3.207,-1.147,-1.185,-0.872,-0.802,1.438,0.297,-0.367,-2.445,-3.456,2.527,-0.999,2.311,-0.041,-1.078,3.048,0.86,1.19,0.44,2.858,-0.098,1.327,-1.776,-0.803,-0.025,-3.563,-1.053,3.75,3.295,3.328,1.164,-0.335,4.51,-0.737,-1.49,2.972,0.677,1.769,1.536,2.973,2.846,2.366,0.043,0.284,-1.331,2.134,0.503,0.218,0.415,2.288,3.802,-0.706,3.347,1.875,1.017,4.193,-0.091,2.749
"4","Liechtenstein","April",3.658,0.145,1.254,1.415,-1.13,2.052,-1.03,1.72,-0.226,-1.903,2.005,-0.046,-2.508,-0.062,-0.335,0.151,-1.205,-0.65,-1.527,-2.175,1.643,-0.927,1.338,-0.939,0.071,-0.292,1.268,1.298,0.36,-0.518,-0.722,0.27,2.086,-0.154,1.16,1.202,-0.954,0.965,1.221,2.489,-0.492,0.723,0.675,1.418,1.37,1.307,4.971,0.384,3.567,1.507,4.015,1.249,1.907,2.795,1.535,1.959,0.782,5.062,2.129
"5","Liechtenstein","May",-1.127,-1.702,-0.308,1.499,-1.097,0.439,0.288,-0.225,1.943,-1.605,1.641,-0.527,1.233,-0.686,0.664,0.964,-0.149,-1.35,0.44,-1.517,0.243,0.693,-0.429,-1.832,0.86,2.939,-2.032,1.941,1.147,2.094,-2.893,2.339,2.803,1.298,0.746,0.847,1.382,1.788,2.673,3.055,3.389,1.813,3.245,-0.525,1.817,1.303,2.603,2.607,3.174,0.018,2.602,2.184,-0.127,0.432,1.829,0.733,2.227,3.566,-1.524
"6","Liechtenstein","June",0.924,-1.271,0.208,1.726,0.454,1.071,-0.868,-0.042,-1.402,1.53,-1.159,-0.572,0.787,-1.502,-1.246,1.534,0.142,-0.819,1.075,-0.999,0.633,1.398,0.864,-0.665,-1.229,0.26,-0.81,-0.298,-1.034,0.003,-0.425,0.588,1.113,1.28,-1.112,1.714,0.603,1.865,0.178,2.517,-0.22,3.393,5.837,0.783,2.257,2.055,2.339,2.268,0.679,1.465,1.601,2.615,0.814,1.809,2.374,1.606,3.79,2.491,4.829
"7","Liechtenstein","July",-1.137,-0.862,1.077,1.167,-0.897,-1.472,1.891,-0.618,0.94,-0.189,1.088,-0.235,-0.396,-0.327,0.411,1.207,-0.205,-1.032,-0.673,-1.652,-0.815,1.814,3.895,0.015,1.768,-0.047,1.221,1.207,0.724,0.5,2.048,1.759,-0.429,3.484,3.336,-0.333,-0.395,1.251,1.314,-0.883,1.321,1.164,2.384,0.743,1.118,4.379,1.293,0.96,1.481,2.938,-0.29,1.607,3.209,0.903,4.297,2.263,1.92,2.646,2.772
"8","Liechtenstein","August",0.181,1.703,-0.31,-0.323,-1.089,-1.407,0.439,-1.072,-0.705,0.29,2.025,-0.28,1.83,1.612,0.557,-1.782,-0.882,-0.947,-0.794,1.431,0.591,0.419,0.935,0.019,0.616,0.814,0.237,1.189,0.733,1.583,2.021,4.136,1.143,2.716,0.486,0.128,1.913,1.888,1.179,2.25,2.673,1.221,5.199,1.934,-0.519,-1.471,0.554,1.583,2.967,0.643,2.856,3.035,2.12,-0.152,3.544,1.795,2.989,3.604,2.837
"9","Liechtenstein","September",3.282,-0.234,0.549,0.298,-1.349,1.122,-0.058,-0.688,0.886,0.87,-1.37,-3.17,0.965,-0.154,2.345,-1.71,-1.386,-0.496,0.037,0.996,0.553,2.369,0.551,-1.33,1.539,0.055,2.967,-0.044,0.056,-1.043,2.017,0.532,-0.683,0.515,-1.672,-3.014,1.584,-0.404,2.444,0.795,-2.455,-1.078,0.193,0.746,1.301,2.915,-1.234,-0.931,1.785,-0.854,2.559,0.789,0.569,0.854,-0.431,2.762,-1.376,2.291,1.022
"10","Liechtenstein","October",1.467,0.44,-0.153,-1.678,0.187,2.816,2.391,1.51,1.511,-0.322,0.417,-1.84,-1.115,-4.698,-0.718,1.376,1.754,-0.127,1.015,-0.745,-0.095,0.353,0.765,1.079,0.664,1.361,1.425,2.202,1.015,1.976,-0.772,-1.418,-0.173,-0.097,3.349,0.15,-0.034,0.333,0.995,1.5,3.951,0.535,-2.189,2.495,1.837,3.337,0.095,1.235,0.269,-0.376,0.517,0.97,2.089,2.764,0.457,-0.063,1.996,2.556,2.76
"11","Liechtenstein","November",0.136,-1.383,3.021,1.229,-0.784,-2.005,0.876,0.622,0.554,1.682,-0.667,-0.084,-0.402,0,-0.719,0.322,0.327,-0.076,-0.843,-1.051,-0.252,1.855,-0.485,1.963,-2.823,1.215,0.85,-1.579,-0.777,0.002,-0.295,1.9,-1.707,3.855,-0.576,0.755,0.965,-2.221,-1.293,1.537,-0.71,2.712,2.072,0.387,-0.315,2.595,-0.865,0.863,2.896,1.152,1.967,2.261,0.531,3.933,3.439,1.051,0.368,2.304,1.549
"12","Liechtenstein","December",0.135,-3.653,-2.424,-0.629,0.786,-0.04,-1.311,-1.971,-4.127,-1.077,1.803,0.261,-0.546,2.366,-0.189,-1.925,0.9,0.659,2.573,-1.335,-1.197,1.64,0.187,1.044,2.958,0.424,2.106,1.665,1.719,-1.257,-0.873,0.831,2.028,2.501,0.009,-0.717,1.952,0.236,0.259,3.071,-1.644,2.475,1.357,0.691,-1.399,2.798,0.416,0.792,0.167,-1.489,2.625,0.679,2.522,2.58,5.064,2.601,0.341,2.152,3.268
