"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Lithuania","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.652,4.384,5.27,2.108,-2.137,1.342,5.506,3.387,3.157,4.317,3.903,0.444,-1.286,5.151,-1.457,6.544,4.816,2.578,-4.957,2.648,2.432,-0.733,-0.02,5.136,-1.178,2.038,3.955,1.893
"2","Lithuania","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.737,3.632,-2.446,6.692,-2.888,5.129,5.744,1.339,5.686,2.116,6.969,-0.336,2.781,0.019,-1.18,-1.313,6.976,2.012,0.842,-2.378,-3.593,3.589,5.736,5.26,6.864,3.361,-0.73,6.465
"3","Lithuania","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,1.221,1.678,3.443,-1.895,2.254,1.1,3.5,3.132,1.373,4.461,2.03,2.837,-1.993,-1.725,6.719,3.679,2.104,1.66,1.577,3.306,-3.097,6.186,5.707,3.519,5.01,-0.294,4.824
"4","Lithuania","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421,1.575,2.647,1.23,1.191,-1.568,2.512,3.491,5.174,2.633,2.076,-0.52,1.536,1.588,0.953,1.059,2.766,2.908,1.704,2.77,1.873,-0.118,2.927,1.354,1.906,-0.039,4.308,2.887
"5","Lithuania","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844,3.662,-0.726,0.148,1.722,-0.37,1.467,-1.291,1.303,0.766,3.53,2.009,-0.662,0.429,0.666,2.051,0.094,0.772,1.817,0.995,1.808,4.049,1.8,-0.141,3.013,0.736,4.734,1.096
"6","Lithuania","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.949,-1.86,-1.839,1.725,-0.661,0.392,0.871,3.1,-0.343,-1.237,0.837,-0.476,-1.466,-0.781,0.386,1.735,-0.04,-0.664,0.629,2.136,-0.821,2.477,-1.176,-0.537,1.6,-0.214,1.35,4.304
"7","Lithuania","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.482,-0.911,2.634,0.682,-1.479,1.191,-0.615,2.593,-0.788,3.971,3.083,2.908,-0.228,1.724,3.291,0.103,0.628,1.199,4.651,2.536,2.092,1.13,3.206,0.17,1.645,-0.262,3.176,0.06
"8","Lithuania","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,-1.368,1.069,0.841,1.784,2.508,-1.376,0.349,-0.045,1.514,3.359,0.696,1.838,0.338,1.507,2.356,1.316,0.228,3.148,0.986,0.352,1.335,1.289,2.869,0.94,1.185,3.019,1.531
"9","Lithuania","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,-2.584,1.785,0.333,-2.143,0.003,0.268,2.202,-1.543,0.253,0.545,0.743,0.959,2.185,2.665,0.675,-0.224,1.973,-0.181,1.661,1.281,-0.031,1.065,1.831,1.779,1.412,3.036,0.999
"10","Lithuania","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.961,-0.467,-1.036,2.005,1.328,-1.336,-0.183,0.434,2.944,2.119,-2.378,-1.944,1.296,1.16,2.739,0.639,2.008,-1.472,-1.871,0.702,0.312,1.623,0.475,-1.011,-1.335,0.494,1.831,2.504
