"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Low Income Food Deficit Countries","January",0.35,-0.709,0.337,-0.304,0.009,0.5,-0.505,-0.513,-0.032,0.483,-0.499,0.027,0.36,-0.55,-0.698,-0.204,0.085,0.133,0.745,0.705,-0.063,0.459,-0.955,-0.39,0.995,-0.238,0.458,0.585,-1.061,0.577,0.432,-0.082,-0.306,0.453,-0.088,0.754,0.461,0.519,0.535,0.839,-0.028,0.185,0.824,1.061,0.467,1.125,0.29,-0.422,1.067,1.489,0.439,0.004,0.86,0.91,0.291,1.346,1.321,0.465,1.094
"2","Low Income Food Deficit Countries","February",-1.058,-0.18,0.855,-0.091,-0.116,0.241,0.048,-0.669,0.444,0.416,-0.173,-0.831,1.049,-0.408,-0.03,-0.122,0.024,0.42,0.232,0.588,0.243,-0.327,0.351,-0.308,-0.307,0.534,0.855,0.771,-1.011,-0.175,0.618,-0.455,-0.028,-0.177,0.078,0.848,-0.299,1.009,1.03,-0.242,0.24,0.757,1.319,0.769,1.714,1.896,1.007,-0.13,1.469,1.969,0.806,0.35,1.182,0.117,1.292,1.298,1.052,1.473,0.836
"3","Low Income Food Deficit Countries","March",-0.224,-0.013,-0.364,0.702,-0.409,-0.171,-0.469,-0.53,1.081,-0.114,0.224,-0.017,0.514,-0.12,-0.082,-0.34,0.227,-0.097,0.164,0.366,0.238,-0.125,0.071,0.825,0.766,0.316,0.522,0.871,-0.39,-0.419,0.344,0.205,0.004,0.757,0.413,0.553,0.41,0.416,0.456,0.164,0.847,1.051,0.717,1.128,1.568,0.94,0.697,1.257,1.112,1.627,1.155,0.542,1.501,0.655,0.701,2.187,1.117,1.585,1.177
"4","Low Income Food Deficit Countries","April",0.035,-0.079,-0.416,-0.004,-0.817,-0.142,-0.125,-0.7,0.394,0.381,-0.033,-0.113,0.823,0.104,0.208,-0.305,0.008,0.222,0.452,0.999,0.361,0.257,0.398,0.551,-0.184,0.545,0.46,0.988,-0.069,0.578,0.17,0.453,0.354,0.376,0.439,0.345,-0.041,1.563,0.743,1.341,0.942,0.982,1.051,0.941,1.193,0.76,1.199,0.526,0.812,2.043,1.013,1.001,0.712,0.947,0.649,1.737,1.385,1.073,1.582
"5","Low Income Food Deficit Countries","May",0.528,-0.263,-0.53,-0.159,-0.288,-0.033,0.016,-0.578,0.192,0.379,-0.146,-0.013,0.477,-0.223,0.117,-0.19,0.035,0.362,0.001,0.598,0.126,-0.118,0.863,0.645,0.247,0.277,0.558,0.867,0.064,0.469,-0.025,-0.007,0.46,0.603,0.527,0.376,-0.077,1.121,0.341,0.886,0.992,1.033,0.818,0.821,0.63,0.641,1.076,0.766,0.948,1.52,1.184,0.825,0.94,0.706,1.314,1.288,1.378,0.95,1.363
"6","Low Income Food Deficit Countries","June",0.122,-0.152,0.094,-0.226,-0.203,0.04,-0.017,-0.496,0.401,0.33,-0.201,0.009,0.529,0.029,0.001,-0.21,0.245,-0.014,0.158,0.242,0.346,0.305,0.633,0.244,0.177,0.278,0.47,0.444,0.091,0.668,0.551,0.487,0.408,0.472,0.957,0.321,0.549,1.023,0.644,0.443,0.256,0.664,0.507,0.44,0.84,0.875,0.726,0.547,1.184,1.146,0.976,0.816,0.799,1.363,1.187,1.097,1.203,1,1.388
"7","Low Income Food Deficit Countries","July",-0.129,0.146,0.241,-0.512,-0.037,0.541,-0.114,-0.122,0.211,0.308,-0.07,0.545,0.476,-0.202,-0.214,-0.026,0.365,-0.331,0.363,0.2,-0.008,0.602,0.832,0.243,-0.036,-0.023,1.127,0.297,0.24,0.261,0.272,-0.002,0.442,0.048,0.782,0.57,0.922,0.957,0.269,0.451,0.397,1.225,0.514,0.553,0.693,1.089,0.667,0.679,0.99,0.812,1.036,0.632,0.765,1.288,1.525,0.987,1.16,1.066,1.461
"8","Low Income Food Deficit Countries","August",-0.281,-0.129,0.134,-0.453,-0.177,0.336,-0.301,0.25,0.13,0.218,-0.21,0.318,0.293,0.134,-0.209,-0.104,0.265,0.296,0.496,0.299,0.377,0.17,0.65,0.624,0.39,0.447,0.94,0.211,0.333,0.663,0.258,-0.057,0.539,0.141,0.803,0.342,0.862,0.777,0.174,0.524,0.628,0.909,0.66,0.761,0.906,0.77,0.58,0.703,1.182,0.812,0.839,0.677,0.517,0.863,1.202,1.057,1.091,1.041,1.234
"9","Low Income Food Deficit Countries","September",-0.186,-0.171,0.299,-0.438,-0.111,0.013,-0.305,0.188,0.105,-0.01,-0.277,0.436,0.408,-0.129,-0.306,0.115,0.375,0.098,0.499,0.512,0.172,0.415,0.61,0.176,0.208,0.165,1.087,0.349,0.386,0.49,0.471,0.068,0.425,-0.055,0.534,0.5,1.074,0.559,0.183,0.706,0.589,0.944,0.638,0.845,1.013,0.6,0.781,0.921,1.125,0.645,0.762,0.624,0.972,0.682,1.088,1.271,1.424,1.08,1.277
"10","Low Income Food Deficit Countries","October",-0.374,-0.143,0.149,-0.573,-0.022,-0.052,-0.405,0.036,0.243,0.064,-0.322,0.376,0.224,-0.069,-0.208,0.243,0.231,0.289,0.679,0.563,0.361,0.035,-0.019,0.337,0.162,0.255,0.447,0.168,0.262,0.443,0.01,0.091,0.413,0.133,0.633,0.241,0.634,0.769,0.13,0.299,0.49,0.796,1.005,0.715,0.731,1.212,0.6,0.882,0.941,1.284,0.803,0.748,0.693,0.76,1.602,1.274,1.423,1.086,1.019
