"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Luxembourg","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.618,1.76,1.197,0.176,1.009,2.244,-1.176,4.895,3.984,-1.863,-2.401,1.719,2.868,0.64,3.973,1.988,2.726,-1.576,4.802,0.762
"2","Luxembourg","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.221,2.4,4.49,-1.23,1.9,-1.372,-0.524,3.973,3.042,0.321,-0.23,1.652,-2.834,-1.496,3.79,0.123,2.501,3.254,-2.16,4.27
"3","Luxembourg","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689,1.498,2.054,3.102,0.438,1.108,-1.361,2.114,0.438,0.538,0.673,2.155,3.595,-2.568,3.716,1.41,0.015,4.116,-0.398,2.849
"4","Luxembourg","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.281,-0.373,0.942,1.367,1.965,2.044,0.653,4.926,0.061,4.291,1.499,4.627,0.493,0.843,3.807,1.451,0.33,0.232,4.872,2.032
"5","Luxembourg","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.806,2.86,1.213,2.029,-0.291,1.025,1.474,2.443,3.444,2.072,-1.24,2.428,2.524,-0.666,0.699,0.83,1.459,2.803,3.95,-0.815
"6","Luxembourg","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.755,-0.38,2.358,4.655,0.482,2.032,1.733,2.252,1.707,0.281,1.682,1.437,0.491,0.492,1.501,1.182,1.553,3.47,2.771,4.215
"7","Luxembourg","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.441,1.902,0.726,2.516,0.447,1.558,5.709,0.284,1.216,1.462,3.438,-0.799,0.53,3.115,2.379,3.48,1.986,2.14,4.421,2.869
"8","Luxembourg","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.737,2.51,1.94,4.963,2.283,-0.356,-0.785,0.266,1.025,2.442,0.375,1.551,2.52,1.634,-0.485,3.486,2.023,1.699,3.582,3.003
"9","Luxembourg","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,-1.705,-0.347,0.908,1.051,2.093,3.747,-0.913,-1.33,1.388,-0.805,2.245,0.178,0.434,1.67,-0.571,3.861,-0.412,1.938,0.843
"10","Luxembourg","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.299,4.076,0.102,-2.367,1.489,3.18,3.679,-0.015,0.133,-0.059,-0.275,1.053,0.254,2.196,3.262,-0.245,-0.327,2.304,2.401,2.194
