"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Madagascar","January",0.25,0.39,-0.107,-0.14,-0.897,0.208,0.138,-0.224,0.278,0.131,-0.246,-0.083,0.161,-0.336,-0.178,-0.703,0.26,0.898,-0.058,0.297,0.704,-0.044,0.024,0.126,0.566,-0.057,-0.003,0.743,-0.104,-0.053,0.732,0.306,-0.133,0.446,-0.072,0.159,0.227,1.226,0.346,0.324,0.52,0.716,0.526,0.726,0.788,0.705,0.429,0.57,1.245,0.601,0.629,0.121,1.059,0.583,0.616,1.232,1.158,0.275,0.73
"2","Madagascar","February",0.746,0.1,-0.21,0.466,-0.457,0.229,0.423,-0.247,0.351,0.544,-0.248,-0.496,0.029,-0.665,-0.458,-0.325,-0.353,0.623,-0.084,0.457,-0.119,0.163,0.778,-0.356,0.137,-0.009,0.425,0.345,-0.364,0.115,0.329,-0.338,-0.102,-0.013,0.325,0.26,0.188,0.838,0.82,0.123,0.528,0.46,0.633,-0.199,1.098,0.581,0.427,-0.317,0.287,0.828,0.283,0.669,0.374,0.268,0.079,1.02,1.207,0.282,0.911
"3","Madagascar","March",0.648,0.073,-0.113,0.103,-0.9,-0.293,0.527,-0.25,0.938,0.17,-0.048,-0.72,0.44,-0.516,-0.424,-0.02,0.21,0.101,0.408,0.636,0.146,0.033,0.879,-0.209,0.221,0.059,0.987,0.525,0.049,0.097,0.523,0.922,0.084,0.199,0.402,0.758,0.755,1.514,0.937,0.25,1.068,0.514,0.983,0.354,0.976,1.257,0.792,0.163,1.034,1.071,0.725,0.478,0.827,1.05,0.364,2.049,1.335,0.765,1.787
"4","Madagascar","April",0.926,0.106,0.034,-0.16,-0.665,-0.022,0.411,-0.733,1.043,-0.437,0.376,0.089,-0.01,-0.172,0.201,0.103,-0.086,0.052,-0.315,0.534,-0.209,0.274,0.464,-0.441,-0.284,0.315,0.703,0.817,-0.17,0.229,-0.025,0.591,0.738,0.246,0.202,0.341,0.569,1.407,0.569,0.969,0.825,0.373,0.51,0.177,0.713,0.898,0.672,0.4,-0.184,1.508,1.279,0.54,0.542,0.628,1.261,1.398,0.82,0.293,2.027
"5","Madagascar","May",1.12,-0.704,-0.9,-0.82,-0.874,0.094,0.631,-0.653,0.631,0.069,-0.097,0.684,0.03,0.22,-0.06,0.129,0.574,0.272,0.094,-0.02,-0.213,0.299,0.653,-0.165,-0.203,0.139,0.447,0.041,0.144,0.17,0.536,0.891,1.043,0.248,0.485,0.468,0.36,0.77,0.153,0.848,0.81,0.445,1.622,-0.274,0.712,0.83,1.114,-0.048,0.622,1.838,1.239,0.664,0.541,0.406,1.411,-0.036,1.269,1.334,1.043
"6","Madagascar","June",1.074,-0.443,-0.247,-0.352,-1.135,0.413,0.533,-0.723,-0.124,0.375,-0.612,-0.458,0.161,-0.175,-0.015,0.098,0.529,0.471,-0.364,0.29,-0.161,0.963,0.78,-0.138,-0.059,-0.695,-0.088,0.936,0.124,0.29,0.222,0.806,0.569,0.234,0,0.162,1.215,0.707,0.519,0.297,0.077,-0.118,0.543,0.26,0.9,1.287,0.315,0.243,1.607,2.089,1.571,0.817,-0.005,1.334,1.481,0.538,1.72,1.628,1.222
"7","Madagascar","July",1.021,-0.359,-0.132,-1.091,-0.445,0.162,0.703,-0.269,0.598,0.437,0.135,0.361,-0.129,-0.239,-0.135,0.063,0.281,-0.106,-0.031,0.092,-0.435,0.568,0.613,-0.352,0.072,-0.767,0.859,0.575,0.136,-0.578,-0.261,-0.165,0.161,-0.038,0.334,-0.246,0.327,0.417,0.282,0.377,0.426,0.722,0.151,0.489,0.328,0.833,0.604,0.353,0.322,0.84,0.676,0.58,0.241,0.84,1.138,0.471,1.231,0.518,1.25
"8","Madagascar","August",0.283,0.129,-1.019,-0.801,-0.049,0.042,0.217,-0.097,-0.026,0.635,-0.477,0.154,-0.216,-0.091,-0.616,0.091,0.558,0.406,0.461,-0.088,0.283,0.3,0.109,-0.485,0.29,-0.096,0.526,0.499,0.024,0.232,0.249,0.037,-0.146,0.283,0.564,-0.36,0.96,0.929,0.766,0.37,0.837,0.574,0.112,0.635,0.206,0.963,0.986,0.719,0.898,0.601,1.018,0.877,0.166,1.025,1.622,1.224,1.447,1.771,1.966
"9","Madagascar","September",0.013,-0.084,-0.546,-0.644,-0.152,0.555,0.242,-0.397,-0.165,0.269,-0.475,0.108,0.201,-0.747,-0.645,-0.022,0.437,0.864,0.943,0.157,0.225,0.194,-0.038,0.083,0.203,-0.003,0.866,0.139,0.081,0.164,0.644,0.239,-0.209,0.379,0.654,0.222,0.877,0.505,0.427,0.39,0.778,0.588,0.557,0.939,0.528,0.511,0.812,1.342,1.147,0.853,1.111,0.884,1.074,0.651,1.135,0.656,1.52,1.52,1.88
"10","Madagascar","October",0.486,-0.232,-0.14,-0.579,-0.607,-0.602,0.191,-0.366,0.987,-0.103,-0.47,0.162,0.237,-0.495,-0.707,0.018,0.875,0.913,1.017,0.314,0.092,-0.218,0.111,-0.099,-0.532,-0.016,0.538,0.653,0.078,0.165,NA,0.442,0.156,0.394,0.827,-0.486,0.247,-0.39,-0.302,0.224,0.298,0.684,0.793,0.436,0.279,0.28,0.485,1.183,1.148,1.301,1.004,1.306,0.521,0.834,1.79,0.901,1.864,0.605,2.329
