"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Malawi","January",0.256,-0.412,-0.565,0.05,-0.701,0.37,0.156,0.131,0.27,0.026,-0.173,-0.124,0.419,-0.507,-0.093,-0.153,0.476,0.312,0.006,0.291,0.148,-0.119,0.743,-0.123,0.331,-0.283,0.095,0.663,-0.529,0.385,-0.033,0.44,-0.455,0.071,0.416,NA,0.799,1.278,0.958,0.884,0.098,0.334,0.923,1.054,1.191,1.148,0.755,0.312,1.184,1.481,0.495,-0.409,0.95,0.891,-0.321,1.194,1.475,1.658,1.669
"2","Malawi","February",-0.414,-0.203,-0.486,0.338,-0.367,0.181,0.175,-0.368,0.247,0.185,-0.44,-0.173,0.554,-0.174,0.083,-0.116,0.559,0.447,0.255,0.999,0.191,0.213,0.9,0.097,-0.548,0.063,0.234,0.632,-0.12,0.507,0.681,0.768,-0.654,-0.908,NA,NA,0.264,1.638,0.61,0.629,0.546,0.882,0.908,0.491,1.629,1.045,1.07,0.244,0.682,1.014,-0.141,1.266,0.938,0.621,-0.069,1.538,0.688,1.488,0.602
"3","Malawi","March",0.31,-0.183,-0.559,0.441,-0.475,-0.253,0.124,-0.68,0.707,-0.274,0.04,-0.113,0.951,-0.188,-0.436,-0.003,0.459,0.305,0.286,0.203,0.176,0.082,1.009,0.185,0.557,0.068,0.735,0.686,-0.068,0.538,0.65,1.147,-0.982,0.016,0.461,1.868,0.926,1.743,-0.577,0.635,0.795,0.823,1.005,1.145,1.336,1.182,0.87,0.261,0.844,1.174,1.184,1.169,0.927,0.997,1.221,3.186,0.615,1.863,1.268
"4","Malawi","April",0.581,0.178,-0.596,-0.396,-0.706,-0.26,0.314,-0.56,0.833,-0.561,0.219,0.279,-0.147,-0.357,0.203,-0.029,0.039,0.226,0.202,0.471,-0.523,-0.032,0.807,-0.369,-0.47,0.583,0.061,0.983,-0.304,0.836,-0.499,0.582,0.026,-0.104,0.028,0.73,0.07,0.403,-0.939,0.556,0.291,0.671,0.41,0.394,0.896,0.66,1.007,-0.254,-0.08,1.428,NA,-0.422,0.741,0.571,0.531,0.897,0.832,1.508,1.502
"5","Malawi","May",1.113,-1.45,-0.931,-0.794,-0.951,0.656,0.301,-0.162,0.082,-0.141,-0.411,1.004,0.385,-0.101,0.347,-0.39,0.762,-0.197,-0.085,-0.1,-0.927,-0.461,1.588,0.362,0.048,0.356,0.819,0.1,0.261,0.999,0.591,1.291,0.747,-0.273,0.322,0.421,-0.081,0.582,0.283,1.214,0.097,0.464,1.001,-0.594,0.898,1.168,1.591,0.376,1.021,0.74,0.908,0.549,0.527,1.383,1.277,-0.219,1.71,1.924,1.742
"6","Malawi","June",1.082,0.378,-0.617,0.043,-0.465,0.468,0.972,-0.326,0.289,0.555,-0.578,-0.459,-0.22,-0.307,-0.041,-0.039,0.213,0.059,-0.367,-0.953,-0.764,0.381,1.413,0.247,-0.299,-0.457,-0.556,1.224,0.431,1.359,0.072,1.006,0.101,0.188,0.377,0.125,1.588,1.083,0.58,0.973,0.417,0.183,0.843,0.058,1.108,0.913,1.406,0.187,2.2,1.197,NA,1.338,0.914,1.066,1.788,1.79,1.809,1.379,1.363
"7","Malawi","July",0.696,0.34,0.89,-1.08,-0.281,0.559,-0.013,0.128,0.159,0.858,0.35,-0.022,-0.391,-0.236,0.364,-0.507,0.418,-0.414,0.139,-0.147,-0.646,0.277,1.245,0.635,0.115,-0.415,0.496,0.892,0.153,0.628,0.076,0.306,0.108,0.236,0.742,0.068,0.243,0.532,0.11,-0.228,0.426,1.781,0.373,0.834,1.746,0.785,0.64,1.012,0.614,1.323,NA,1.079,0.7,2.135,2.153,1.742,1.662,-0.001,1.817
"8","Malawi","August",-0.603,0.592,-0.356,-0.272,-0.381,0.462,-0.084,-0.162,0.414,0.693,-0.183,0.014,-0.133,0.08,-0.64,-0.554,0.518,0.77,0.16,-0.112,0.105,-0.166,0.264,-0.413,-0.22,0.211,1.163,0.925,0.444,0.257,0.046,-0.373,-0.205,0.241,1.351,0.577,1.055,0.787,0.752,0.299,1.272,0.917,0.427,1.508,1.238,1.176,0.984,0.995,0.611,-0.032,1.97,2.932,1.523,2.149,0.382,1.627,1.61,2.921,2.443
"9","Malawi","September",0.154,-0.02,-0.134,-0.943,-0.346,0.71,-0.14,-0.063,0.016,0.558,-0.253,0.265,0.518,-1.231,-0.559,0.175,0.587,0.935,0.386,0.787,0.06,-0.545,0.333,0.574,0.526,0.195,1.051,0.474,0.088,-0.081,0.078,-0.341,0.244,0.208,0.959,0.355,0.855,0.473,-0.597,0.675,0.604,0.394,1.226,0.704,0.893,0.54,1.427,1.573,1.911,1.757,1.421,2.042,1.718,1.019,1.156,1.72,1.894,2.391,1.965
"10","Malawi","October",0.725,-0.125,0.242,-0.29,-0.949,-0.48,0.287,0.219,0.96,-0.04,-0.843,0.085,0.079,-0.54,-1.195,-0.383,0.895,0.394,0.524,0.021,-0.695,-0.295,-0.459,0.152,-0.435,0.313,-0.076,0.293,0.027,0.137,-0.651,0.208,0.175,-0.289,1.583,-0.483,-0.011,0.744,-0.167,0.406,0.289,0.39,0.78,0.846,1.057,0.961,0.29,0.969,1.468,2.138,0.987,1.116,-0.5,0.735,1.965,0.304,1.937,0.172,2.476
"11","Malawi","November",-0.866,-0.154,-1.177,-0.281,0.336,-0.127,-0.366,-0.623,0.445,0.091,-0.428,-0.783,0.271,-0.088,-0.123,1.006,-0.006,-0.472,0.015,0.758,0.481,-0.279,0.641,-0.403,-0.926,-0.455,0.87,-0.835,0.037,0.664,-0.52,0.445,-0.487,0.793,1.275,1.344,0.711,0.598,-0.215,-0.028,1.868,0.302,1.606,0.794,2.234,0.723,1.32,1.829,0.67,1.749,0.929,0.948,1.645,1.144,1.968,2.434,0.38,0.481,2.383
"12","Malawi","December",-0.947,-0.245,-0.535,-0.33,-0.176,0.041,-0.631,-0.376,-0.029,-0.926,-0.337,0.457,0.009,-0.239,0.137,0.771,0.475,-0.353,0.414,-0.085,-0.123,-0.084,0.076,-0.231,0.095,-0.341,1.369,0.003,0.07,0.726,-0.206,0.594,1.452,0.515,0.894,0.754,0.581,1.964,1.972,0.031,0.975,0.707,1.388,0.605,1.932,0.567,0.639,0.924,0.883,1.002,1.551,0.963,1.136,0.709,1.809,1.875,1.417,1.521,1.087
