"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Malaysia","January",-0.106,-0.186,-0.915,0.801,-0.923,0.426,-0.143,-0.335,0.55,0.324,-0.444,-0.586,0.564,-0.588,0.323,-0.824,0.123,0.317,0.386,0.368,-0.375,0.098,0.768,-0.026,0.236,-0.023,0.238,1.023,0.583,0.318,0.496,0.297,0.278,0.58,0.682,-0.032,0.428,1.568,0.601,0.343,0.593,0.871,0.89,0.805,0.676,0.641,0.596,0.807,0.163,0.95,0.48,0.947,1.015,0.087,0.645,2.156,1.357,0.95,1.579
"2","Malaysia","February",0.157,-0.399,-0.813,0.39,-0.225,0.362,-0.331,-0.363,0.316,0.151,-0.527,0.053,0.812,-0.407,0.016,-0.371,-0.394,0.345,0.608,0.437,0.307,0.26,0.958,-0.198,0.813,0.132,0.207,0.839,0,0.921,0.442,0.759,0.117,0.583,0.509,0.019,0.132,1.685,0.518,0.265,0.573,0.584,0.842,0.667,1.334,0.727,0.628,0.24,0.596,1.496,0.531,0.892,0.778,0.666,0.742,1.77,0.998,0.76,1.172
"3","Malaysia","March",0.156,-0.322,-0.484,-0.017,-0.433,0.305,-0.39,-0.059,0.396,0.43,-0.393,-0.403,0.499,-0.383,-0.099,-0.074,-0.177,0.617,0.605,0.312,0.417,0.296,1.221,0.002,0.233,0.027,0.795,0.84,-0.029,0.524,0.559,0.925,0.074,-0.032,0.498,0.488,0.767,1.933,0.596,0.321,0.38,0.696,0.822,0.911,1.001,0.747,0.689,0.218,0.405,1.42,0.14,0.52,1.264,0.939,1.064,1.796,0.849,1.015,1.193
"4","Malaysia","April",-0.057,-0.175,-0.129,0.054,-0.414,0.26,-0.299,-0.167,0.454,0.112,-0.177,-0.299,0.437,-0.276,0.222,-0.146,0.269,0.255,0.377,0.262,0.127,0.026,1.206,0.032,0.149,0.277,0.709,0.714,-0.047,0.741,0.448,0.899,0.271,0.347,0.641,0.412,0.373,1.757,0.575,0.055,0.457,0.643,0.654,0.917,1.1,0.232,0.536,0.28,0.769,1.175,0.15,0.383,0.847,1.106,1.167,2.105,0.838,1.029,1.473
"5","Malaysia","May",0.169,0.072,-0.053,-0.035,-0.306,0.194,-0.212,-0.23,0.415,0.135,-0.044,0.048,0.021,-0.294,-0.097,-0.118,0.176,0.331,0.548,0.377,0.198,0.171,0.671,-0.204,0.146,0.483,0.328,0.522,0.149,0.563,0.222,0.359,0.232,0.205,0.529,0.522,0.74,1.795,0.054,0.725,0.783,0.869,0.914,0.709,0.778,0.127,0.564,0.457,0.728,1.305,0.482,0.664,1.014,1.11,0.999,1.647,1.093,0.742,1.518
"6","Malaysia","June",-0.17,-0.079,0.295,-0.253,-0.075,-0.226,-0.123,-0.022,0.241,0.155,-0.185,0.017,0.286,-0.221,-0.144,-0.22,0.136,0.216,0.249,0.262,0.542,0.241,0.603,0.092,0.454,0.304,0.882,0.485,0.092,0.697,0.942,0.575,0.71,0.296,0.742,0.501,0.894,1.056,0.501,0.046,0.317,0.661,0.769,0.659,1.012,0.362,0.463,0.383,1.097,0.993,0.679,0.88,1.365,1.577,1.325,1.04,0.967,1.132,1.238
"7","Malaysia","July",0.087,0.178,0.099,-0.317,-0.141,-0.11,-0.05,-0.006,0.077,-0.115,-0.07,0.734,0.29,-0.245,-0.298,0.072,0.251,0.04,0.083,0.481,0.293,0.23,0.41,-0.214,-0.218,0.38,0.686,0.247,0.35,0.368,0.726,0.269,0.335,0.694,0.376,0.901,0.819,0.866,0.614,0.995,1.081,1.18,0.514,0.27,0.97,0.896,0.612,0.229,0.878,0.531,0.993,0.566,0.879,1.459,1.588,1.373,1.123,1.394,1.237
"8","Malaysia","August",-0.051,-0.295,-0.096,-0.176,-0.348,-0.089,0.031,0.176,-0.199,-0.011,-0.588,0.209,0.104,0.275,0.296,-0.117,0,0.413,0.536,-0.072,0.77,0.194,0.483,0.424,0.227,0.543,0.383,0.166,0.372,0.697,0.552,0.765,0.515,0.341,0.223,0.442,1.275,0.512,0.388,0.514,1.015,0.877,0.873,0.987,1.154,0.806,0.796,0.618,0.979,0.858,0.913,0.993,0.919,0.638,1.124,1.703,1.093,1.393,1.549
"9","Malaysia","September",-0.268,-0.068,0.259,-0.196,-0.112,0.164,-0.137,0.122,0.251,-0.088,-0.02,0.153,-0.152,-0.318,-0.197,0.233,0.633,0.083,0.068,0.427,0.081,0.375,0.163,-0.128,-0.056,0.196,0.577,0.251,0.178,0.336,0.417,0.401,0.076,0.392,0.359,0.705,0.674,0.789,0.5,0.569,0.48,0.615,0.598,0.261,0.847,0.365,0.495,0.596,1.22,0.483,1.003,0.899,0.857,0.942,1.356,1.092,0.976,0.931,1.34
"10","Malaysia","October",-0.333,0.061,-0.063,-0.24,0.052,-0.117,-0.205,-0.097,0.118,-0.011,-0.149,0.331,0.234,0.068,0.059,-0.091,0.131,0.227,0.349,0.28,0.23,0.139,0.366,0.142,0.065,0.277,0.713,0.542,0.233,0.536,0.097,0.026,0.047,0.321,0.55,0.284,0.729,0.89,0.193,0.497,0.437,0.847,0.381,0.562,0.709,0.7,0.593,0.743,0.773,1.017,0.779,0.664,0.789,0.943,1.439,1.302,1.304,1.209,1.036
