"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Maldives","January",NA,0.1,NA,NA,NA,0.6,-0.092,-0.092,-0.112,0.488,NA,NA,0.954,-0.312,-0.112,-0.112,-0.034,-0.048,0.187,-0.023,0.164,0.016,0.202,0.601,0.229,0.465,NA,1.021,-0.141,0.351,0.851,0.362,0.398,0.722,1.134,0.535,0.491,1.691,0.634,0.094,0.485,1.034,0.413,1.019,1.076,0.081,0.586,0.073,0.391,1.162,0.466,0.454,0.858,0.564,0.913,1.253,0.38,0.327,0.594
"2","Maldives","February",NA,-0.266,NA,NA,NA,0.68,-0.622,-0.042,0.558,0.358,NA,NA,0.963,NA,0.171,-0.479,-0.269,0.207,0.138,0.01,0.039,0.277,0.253,0.36,-0.075,0.605,0.2,1.56,-0.136,0.686,0.696,0.571,0.352,0.904,1.15,0.556,0.696,1.07,1.113,0.081,0.302,0.827,0.628,0.964,1.235,0.304,0.053,0.308,0.379,0.99,-0.033,0.852,0.548,0.653,0.431,1.21,0.397,0.586,0.698
"3","Maldives","March",NA,-0.141,NA,NA,NA,0.65,0.036,-0.384,0.616,0.016,NA,-0.46,0.311,-0.034,-0.234,0.191,-0.041,-0.035,0.175,-0.032,0.576,0.277,0.476,-0.008,0.218,-0.122,0.77,1.642,-0.286,0.726,0.771,0.171,0.369,0.554,0.996,1.12,0.791,1.387,1.086,0.976,0.929,0.695,0.921,1.16,1.4,0.481,0.454,-0.318,0.842,0.958,0.658,0.649,0.772,0.683,0.592,1.651,0.279,0.926,1.109
"4","Maldives","April",NA,-0.318,NA,NA,NA,0.419,0.082,-0.538,0.362,-0.038,NA,0.011,0.562,0.359,-0.24,-0.14,0.039,-0.06,0.145,-0.035,0.205,0.686,0.635,-0.135,-0.009,0.226,-0.015,0.494,0.126,1.111,1.031,0.827,0.729,0.71,0.815,0.394,0.585,1.352,0.005,0.659,0.194,0.106,0.669,0.683,1.109,0.769,0.401,-0.083,0.522,0.827,0.314,0.324,0.846,0.669,1.002,1.343,0.865,0.602,1.213
"5","Maldives","May",NA,-0.032,NA,NA,NA,0.552,0.168,0.548,0.148,NA,NA,0.444,0.723,-0.562,-0.507,0.093,-0.625,-0.513,0.599,0.509,-0.035,0.308,0.751,0.797,0.198,0.296,NA,1.204,0.076,0.873,1.097,0.389,0.81,0.337,0.119,1.172,1.122,1.388,-0.096,0.546,0.573,0.901,1.293,0.608,1.324,0.618,0.845,0.225,0.698,0.702,0.454,0.568,0.236,0.938,1.368,1.333,0.51,0.237,1.423
"6","Maldives","June",NA,0.243,NA,NA,NA,-0.062,-0.4,-0.52,0.68,NA,NA,0.179,0.979,0.377,-0.421,0.381,0.087,-0.321,-0.191,0.428,-0.241,0.14,0.541,-0.088,-0.364,0.251,0.85,0.419,-0.746,0.613,0.19,0.239,0.586,0.494,0.777,0.158,0.592,0.972,-0.119,-0.066,0.692,0.547,-0.096,0.37,0.6,0.448,0.752,0.17,0.482,0.66,0.877,0.509,0.364,1.197,1.227,0.74,0.89,0.385,0.968
"7","Maldives","July",NA,-0.085,NA,NA,NA,0.081,-0.144,-0.964,0.236,NA,NA,0.572,0.772,-0.292,-0.528,-0.026,0.271,-0.599,0.184,0.188,0.23,0.127,1.057,-0.059,-0.039,0.278,NA,0.772,-0.038,0.067,1.053,-0.458,-0.751,0.257,0.588,-0.074,0.692,0.474,0.135,0.033,0.589,0.842,0.607,-0.42,0.883,0.524,0.272,0.003,0.558,0.155,0.876,0.175,0.694,1.133,0.543,-0.031,1.115,0.553,1.073
"8","Maldives","August",NA,0.071,NA,NA,NA,0.457,-0.364,-0.284,0.116,NA,NA,0.179,-0.021,-0.121,-0.752,-0.151,0.014,-0.418,0.302,0.099,0.458,0.478,0.376,-0.085,0.014,0.002,0.55,0.668,0.309,1.074,0.063,-0.276,0.447,0.248,0.605,0.357,1.111,0.608,-0.034,-0.005,0.73,0.682,0.893,-0.086,1.126,0.382,0.702,0.187,-0.113,0.605,0.547,0.674,0.523,-0.154,0.399,0.243,1.249,1.099,1.147
"9","Maldives","September",NA,-0.11,NA,NA,NA,0.59,-0.228,-0.648,0.152,NA,NA,0.61,0.61,-0.59,-0.719,0.211,0.396,-0.485,-0.283,0.407,-0.265,0.523,0.23,0.051,0.159,-0.581,NA,0.356,0.205,0.552,1.117,0.521,0.066,0.831,0.569,0.395,0.641,0.545,0.742,0.164,0.3,1.021,0.734,0.055,0.678,0.562,0.905,1.274,0.807,0.467,0.815,0.68,0.831,0.724,0.852,0.864,0.718,1.026,1.166
"10","Maldives","October",NA,0.1,NA,NA,NA,0.2,-0.315,0.065,0.065,NA,-0.683,0.217,0.391,-0.159,-0.109,0.421,-0.27,0.216,0.047,0.051,0.191,0.606,0.809,0.084,-0.061,0.733,NA,0.98,0.215,0.683,0.157,0.087,0.588,0.353,0.712,0.467,0.571,0.664,0.416,0.683,0.547,1.068,1.116,0.304,0.646,0.782,0.252,0.646,1.635,1.122,1.312,0.37,0.841,0.902,1.071,0.174,1.419,0.579,0.356
