"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mali","January",-1.009,-0.197,1.858,0.121,-0.79,-0.019,-1.164,-1.698,1.034,1.299,-0.976,-0.145,-0.777,-1.457,-1.752,-1.472,1.23,1.268,3.178,2.568,-0.943,-1.404,-1.437,-0.428,0.759,-1.405,1.073,-0.566,-0.805,-0.226,1.379,-0.832,-0.878,-1.179,-1.974,2.486,1.82,0.559,0.408,2.156,0.203,0.584,0.769,0.919,-0.144,0.711,0.266,-2.114,-1.44,1.605,1.049,-1.014,-0.166,1.312,-0.412,0.934,0.347,0.362,-0.003
"2","Mali","February",-1.542,-0.54,2.555,0.586,0.075,0.284,-0.2,0.575,2.039,0.794,0.262,-0.222,-0.139,-1.52,-1.524,-1.317,-0.344,1.296,-0.708,0.625,0.588,-0.581,1.138,-1.224,0.215,0.722,1.102,0.725,-1.186,-0.17,0.454,1.249,0.424,-0.141,-0.711,2.462,-0.344,2.145,-1.965,-1.817,-0.777,-0.233,1.928,1.624,1.746,0.059,0.541,0.876,1.854,3.9,-0.537,-0.257,0.688,-0.42,1.128,-0.066,1.564,0.897,-0.215
"3","Mali","March",-1.271,-0.826,-0.641,2.138,-0.261,-0.229,0.037,-0.206,2.442,0.197,0.596,-0.128,0.044,-0.315,-0.53,-1.937,-0.393,0.289,0.949,1.15,1.231,-0.036,0.358,1.301,1.208,0.262,0.716,1.695,-0.269,0.826,0.764,-0.763,1.179,1.046,1.398,1.33,-0.816,0.284,1.004,0.409,1.673,1.665,1.175,1.179,2.323,1.182,0.747,1.49,2.56,2.305,2.765,0.891,2.892,0.039,0.544,0.983,2.567,1.909,0.35
"4","Mali","April",0.042,-0.359,-0.399,-0.657,-1.451,0.321,0.353,-0.265,-0.354,0.26,0.576,-0.348,0.933,-0.663,0.551,-0.543,0.41,-0.174,0.398,2.031,1.44,0.84,1.878,1.171,-0.057,1.643,0.79,1.923,0.489,1.667,0.802,0.395,1.477,1.153,1.264,0.859,0.116,2.783,1.476,2.37,0.541,1.041,2.127,1.636,2.091,1.645,1.774,0.537,1.147,2.965,1.198,1.222,1.115,1.822,1.421,2.341,1.614,1.355,1.794
"5","Mali","May",0.765,0.293,-1.235,-0.219,0.288,-0.12,0.86,-0.654,0.582,-0.055,0.262,-0.958,1.194,0.36,-0.341,-0.423,0.05,0.584,-0.074,1.207,0.166,-0.002,1.899,0.985,1.508,0.589,2.048,1.733,1.055,1.131,-0.116,-0.215,1.42,0.683,0.831,1.043,0.449,1.537,1.148,1.519,1.376,1.644,1.682,1.538,1.196,0.527,1.43,1.048,1.135,1.996,1.316,0.995,1.447,0.341,2.26,2.048,1.101,1.236,1.677
"6","Mali","June",0.294,-0.272,0.294,-0.949,-0.853,0.217,-0.054,-0.83,0.925,1.252,0.491,-0.45,1.254,0.667,0.565,-0.351,0.728,-0.103,-0.484,0.823,0.568,0.494,0.588,0.384,1.099,1.012,0.693,0.861,0.926,1.004,1.174,0.898,1.147,0.857,1.623,1.017,0.338,1.083,1.763,0.653,0.235,1.35,0.131,1.294,0.48,1.54,1.968,0.929,1.047,0.823,1.071,0.47,1.477,1.23,2.002,1.451,1.21,1.524,2.153
"7","Mali","July",-0.552,-0.005,0.384,-0.352,-0.15,1.139,-0.202,-0.167,-0.224,0.256,0.076,1.502,1.105,-0.363,-0.702,0.34,0.931,-0.203,0.886,0.317,0.153,1.247,1.397,0.915,-0.319,0.24,2.139,0.193,0.532,0.051,0.296,0.014,0.894,0.569,1.236,1.373,1.6,1.749,0.244,0.528,0.621,1.779,0.455,0.026,0.709,1.808,0.841,0.437,1.54,0.836,1.641,0.013,0.854,1.471,1.556,0.943,0.98,1.009,1.426
"8","Mali","August",-0.471,-0.637,0.26,-0.983,-0.742,0.875,-0.824,0.989,0.11,0.205,-0.47,1.252,0.852,0.203,0.511,0.369,0.945,0.892,1.078,0.305,0.471,0.616,1.856,1.899,0.426,1.059,1.668,0.063,-0.246,1.427,0.476,0.528,1.151,-0.208,0.98,1.005,1.654,1.179,-0.456,0.542,0.91,1.474,0.575,0.826,1.209,0.852,0.492,0.614,1.257,0.627,1.135,0.235,0.566,0.924,0.993,1.049,1.169,0.681,1.089
"9","Mali","September",-0.195,-0.113,0.72,-0.542,-0.364,-0.726,-0.778,0.181,0.45,-0.152,0.068,1.565,1.058,0.206,-0.212,0.326,0.391,-0.091,0.734,1.103,0.53,1.472,1.745,0.518,0.352,-0.053,1.503,0.542,1.025,1.185,1.285,0.819,1.067,-0.43,1.018,0.431,1.22,0.4,-0.069,1.445,0.639,1.744,0.614,1.839,1.373,0.887,1.461,1.112,0.919,0.019,1.037,0.128,0.921,0.486,0.59,1.424,1.86,0.743,1.512
"10","Mali","October",0.159,0.301,-1.298,-0.395,0.679,-0.16,-0.367,-0.006,-0.192,0.328,-0.635,1.151,0.233,-0.204,0.012,-0.313,0.709,0.04,0.814,0.594,1.036,0.67,0.499,0.523,0.322,0.564,0.978,0.661,0.277,1.178,0.301,0.717,1.368,-0.291,0.663,0.898,1.477,1.302,0.041,0.303,0.867,0.426,1.795,1.718,1.336,1.367,0.932,0.907,0.984,0.997,1.266,0.746,0.563,1.126,1.579,1.924,1.767,1.365,1.165
