"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Malta","January",0.012,1.297,-0.445,-0.219,0.001,0.21,-0.363,-1.354,-0.389,1.17,0.269,0.208,0.237,0.745,-0.008,-0.264,1.02,-0.534,0.088,-0.227,-2.373,1.589,-0.432,0.257,-0.391,-0.082,-0.083,1.997,-0.208,0.753,0.076,0.043,0.272,1.031,-0.38,2.105,2.13,0.834,0.441,-0.899,1.668,-0.695,1.203,-0.007,-0.807,-0.254,2.197,1.767,1.544,1.222,0.961,0.183,1.059,2.012,0.982,1.528,-0.741,1.782,-0.88
"2","Malta","February",-0.097,-0.8,-0.979,0.021,-2.772,1.954,0.068,0.61,-0.318,0.208,-0.857,0.596,-0.992,0.356,-0.791,-0.445,2.006,0.903,0.83,-0.083,-1.267,-0.93,-1.082,-0.855,1.038,-0.25,0.252,-0.024,0.177,2.231,-0.429,-0.497,-1.194,0.756,1.906,0.09,1.056,1.129,-1.072,-0.126,0.637,1.68,-1.996,0.583,-1.702,-0.062,1.551,0.517,-0.845,1.526,-0.255,-1.434,-0.33,2.168,-0.005,2.956,1.523,0.092,-0.219
"3","Malta","March",0.34,0.016,-0.864,1.128,-0.357,-0.931,0.118,-0.589,0.246,-0.263,-1.767,0.863,-1.862,0.435,0.07,-0.855,1.352,0.066,0.809,-0.118,0.9,-1.015,-0.265,-0.763,-0.2,0.257,-2.401,0.229,1.379,1.131,1.937,0.174,-0.892,1.689,-0.265,0.097,0.314,-0.507,0.366,0.822,2.99,1.945,-0.394,0.333,0.211,0.404,1.133,1.299,0.494,1.015,0.367,0.797,1.882,0.706,0.911,1.537,1.304,1.873,0.89
"4","Malta","April",2.039,0.422,0.099,0.303,-0.857,0.851,-0.181,1.481,-0.319,0.457,0.616,0.091,-1.277,-0.548,-0.219,-0.813,0.152,-0.52,-0.917,-1.458,1.035,-0.408,1.207,-0.543,1.16,0.484,0.163,1.253,1.13,0.834,-0.626,0.696,0.74,0.252,-0.085,0.461,-0.787,2.025,1.496,1.817,1.086,1.541,0.672,1.043,0.446,1.988,1.666,1.923,1.081,1.907,1.67,1.9,2.503,1.863,1.04,3.335,1.743,2.423,0.854
"5","Malta","May",1.066,0.479,-1.305,0.606,-0.196,-0.6,0.497,1.388,1.512,-1.43,0.351,-0.806,1.313,-0.112,0.106,-0.407,0.499,-0.619,-0.18,-1.888,-0.21,0.077,0.523,0.308,0.508,1.265,-1.473,2.027,-0.469,0.582,-1.958,-0.124,1.143,2.182,0.706,0.836,1.928,0.652,2.634,2.281,1.816,1.169,2.047,-0.427,1.865,2.323,1.528,1.741,1.97,1.122,0.696,0.835,1.859,0.884,2.142,1.24,1.916,1.718,-0.764
"6","Malta","June",0.501,-0.693,-0.226,0.753,0.089,0.297,-1.684,-0.555,-1.362,0.368,-0.383,0.493,0.492,-0.257,-0.883,-0.633,-0.758,-0.111,1.091,-0.914,0.87,2.438,-0.269,-1.032,0.651,-0.375,0.056,1.038,-0.702,1.008,-0.38,-0.321,1.059,0.569,0.516,0.497,2.699,2.282,2.322,1.264,1.509,1.686,3.579,0.661,1.306,1.817,1.929,1.401,1.307,0.953,0.998,2.455,0.776,1.626,1.114,1.553,2.742,1.743,3.019
"7","Malta","July",0.131,0.779,1.246,-0.077,1.747,-0.685,0.33,0.383,-1.448,-0.892,-0.383,-0.706,1.045,-0.646,-0.348,-0.561,0.537,-0.939,0.228,-1.616,-1.228,2.049,1.708,0.181,1.024,-0.138,2.242,2.8,0.502,0.666,0.409,-0.924,0.231,1.166,1.028,0.435,0.865,1.741,1.057,1.353,1.684,1.509,3.572,1.11,1.838,2.042,1.405,1.771,2.103,2.135,1.782,2.622,1.143,0.894,2.936,1.474,2.135,1.957,2.124
"8","Malta","August",-0.215,0.956,0.795,-0.453,-0.569,0.396,0.961,-0.762,-0.558,0.193,1.951,-1.279,-0.034,-0.107,-0.876,-1.509,-0.741,-0.56,-0.515,0.087,-0.256,0.867,0.041,-0.757,0.032,1.22,1.948,1.516,0.581,-0.011,0.807,1.354,1.491,3.021,0.872,1.391,0.502,1.109,3.01,1.752,1.583,0.674,2.888,1.447,0.369,1.227,1.463,1.388,2.378,1.621,1.409,2.578,1.893,1.279,2.422,0.901,2.582,1.47,2.022
"9","Malta","September",0.913,1.146,0.26,-0.627,-0.427,-0.339,-0.265,-0.219,-0.116,0.42,-0.821,-0.731,0.72,0.033,0.839,-1.414,-0.993,-1.018,-1.236,-0.176,0.537,1.355,-0.163,-0.662,-0.032,0.473,2.978,0.063,0.679,1.58,1.175,0.72,0.926,2.092,0.007,-0.717,0.369,0.215,1.947,0.908,0.914,0.21,0.657,0.216,0.648,0.443,0.574,1.038,1.362,0.59,1.898,1.539,1.293,2.143,2.244,1.132,0.318,1.742,1.691
"10","Malta","October",0.883,1.149,-0.768,-0.137,0.323,1.41,1.584,-0.201,-0.432,-0.712,-1.304,-1.628,0.795,-1.805,-0.401,0.047,0.193,-1.392,0.926,-0.22,1.648,0.964,-0.146,0.164,0.043,0.98,2.989,1.874,-0.768,3.085,1.327,2.122,1.894,1.76,0.202,-0.849,0.889,0.869,2.965,0.807,3.105,0.803,1.97,2.584,1.244,1.754,0.9,1.279,0.308,0.671,0.374,2.566,2.972,2.108,2.31,3.171,0.723,1.872,2.154
