"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Marshall Islands","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,-0.632,-0.457,0.089,0.242,0.075,0.164,-0.375,-0.037,-0.552,-0.297,0.069,-0.107,0.466,0.177,-0.005,0.291,0.234,-0.109,0.478,0.205,0.025,0.918,0.663,0.459,0.518,0.337,0.127,0.571
"2","Marshall Islands","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256,-0.278,-0.516,0.137,0.018,-0.129,-0.174,-0.288,-0.393,-0.554,-0.277,-0.157,-0.127,0.212,-0.084,0.003,-0.037,0.228,-0.265,0.125,-0.185,0.017,0.509,0.205,0.375,0.333,0.29,0.061,-0.007
"3","Marshall Islands","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.603,-0.158,-0.635,-0.111,0.178,0.106,0.024,0.085,-0.527,-0.33,-0.022,-0.086,0.207,0.183,-0.088,-0.377,0.511,-0.248,-0.123,0.354,-0.261,0.071,0.389,0.446,-0.168,0.632,0.555,-0.541,-0.015
"4","Marshall Islands","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.261,0.6,-0.191,0.058,-0.236,-0.14,-0.046,0.473,-0.128,-0.18,0.403,0.397,-0.22,0.172,0.358,0.144,0.057,-0.127,0.111,0.959,1.011,0.457,0.515,0.002,0.145,1.059,0.538,0.201,0.373
"5","Marshall Islands","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.269,-0.053,0.141,0.241,0.017,-0.322,0.355,0.084,-0.011,0.203,0.444,0.109,0.098,0.4,0.009,0.207,-0.4,0.467,1.089,0.059,0.647,0.651,0.661,0.275,0.713,0.84,0.151,0.267
"6","Marshall Islands","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102,0.252,0.103,0.232,-0.038,-0.194,-0.072,0.128,-0.552,-0.193,-0.056,0.44,0.18,0.133,0.16,0.168,0.226,-0.443,0.668,0.304,0.284,0.71,0.294,0.57,0.672,0.781,0.067,0.226,0.557
"7","Marshall Islands","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147,0.026,-0.001,0.084,-0.124,0.293,0.463,-0.484,-0.454,-0.436,-0.019,0.098,0.183,0.188,0.14,0.184,0.088,-0.509,0.199,0.026,0.002,0.637,0.26,0.224,0.37,0.69,0.573,0.192,0.862
"8","Marshall Islands","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,0.127,0.035,0.229,-0.015,0.103,-0.364,-0.353,-0.592,-0.423,-0.036,-0.263,0.268,-0.274,-0.092,0.069,-0.097,-0.491,0.232,0.015,-0.321,0.279,0.197,0.437,0.192,0.499,0.535,0.181,0.295
"9","Marshall Islands","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.037,0.416,0.26,0.167,-0.209,0.082,-0.26,-0.081,-0.676,-0.043,-0.047,0.06,0.02,0.263,0.097,0.125,-0.263,-0.202,0.048,-0.375,-0.104,0.494,0.115,0.475,0.222,0.523,0.108,0.373,0.526
"10","Marshall Islands","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163,0.319,0.054,0.372,-0.267,0.326,-0.305,-0.219,-0.507,-0.187,0.092,-0.074,-0.031,0.368,0.096,0.141,-0.162,-0.302,0.014,-0.496,-0.351,0.345,0.43,0.416,-0.009,0.265,0.482,0.579,0.58
"11","Marshall Islands","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194,-0.15,-0.017,0.575,-0.239,-0.066,-0.067,-0.264,-0.661,-0.151,-0.203,0.237,0.491,0.523,0.266,0.231,-0.241,-0.104,-0.348,-0.427,-0.341,0.449,-0.256,0.419,0.42,0.52,0.466,0.615,0.447
"12","Marshall Islands","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,-0.016,-0.171,-0.094,0.028,-0.261,-0.421,-0.329,-0.342,-0.103,0.114,-0.107,0.154,0.132,0.062,0.23,0.196,-0.63,0.206,0.044,0.138,0.171,0.429,0.632,0.76,0.206,0.27,0.59,0.574
