"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Martinique","January",0.58,0.057,0.395,0.165,-0.539,0.789,-0.084,-0.569,-0.289,0.624,0.164,-0.023,0.279,-0.114,-0.781,-0.906,0.072,-0.283,-0.628,0.077,0.573,0.196,0.262,0.061,-0.305,-0.078,-0.005,0.599,0.237,0.711,0.642,0.421,-0.04,0.562,0.462,0.547,0.388,0.827,0.259,0.38,0.143,1.106,-0.913,0.359,0.642,0.514,0.567,0.095,0.836,1.2,0.788,0.701,0.792,0.895,1.072,0.892,0.569,1.119,0.244
"2","Martinique","February",0.274,-0.307,0.188,0.697,-0.489,0.128,-0.135,-0.081,-0.048,0.327,-0.3,-0.279,-0.316,-0.171,-0.578,-1.108,0.264,0.168,0.371,0.386,0.77,0.326,-0.022,0.119,-0.039,-0.826,0.098,0.416,-0.053,-0.064,0.379,0.275,-0.19,0.458,0.478,0.589,0.752,1.296,-0.811,-0.018,0.016,0.122,0.841,0.607,0.327,0.62,0.74,0.345,0.542,1.15,0.564,0.612,0.796,0.701,1.059,1.392,0.778,0.353,0.786
"3","Martinique","March",-0.022,0.486,0.066,0.413,0.1,0.075,-0.918,-0.313,1.054,0.038,-0.354,-0.328,0.099,-0.694,-0.737,-1.286,0.029,0.189,-0.171,-0.042,0.341,-0.336,0.76,-0.186,-0.557,-0.358,0.1,0.132,-0.285,0.012,0.595,0.471,-0.191,0.095,-0.073,0.483,0.102,1.425,0.3,-0.826,0.135,0.62,0.175,0.233,1.201,0.545,0.683,-0.322,-0.361,2.221,-0.159,0.685,0.67,0.237,0.5,0.82,0.697,0.872,0.722
"4","Martinique","April",0.277,0.025,0.096,-0.258,-0.589,0.032,-0.701,-0.683,1.182,0.558,-0.5,-0.299,0.027,-0.953,-0.755,-0.868,-0.23,0.078,0.21,0.232,-0.172,-0.369,0.373,-0.251,-0.677,0.185,1.463,0.19,-0.775,0.158,-0.062,0.404,0.466,0.208,-0.038,0.037,-0.147,1.459,0.072,0.14,0.352,0.328,NA,0.601,1.831,0.723,0.931,-0.03,0.161,1.264,0.072,0.59,0.493,0.589,0.548,1.445,0.845,0.358,0.414
"5","Martinique","May",0.051,0.389,-0.39,-0.195,-0.07,-0.535,-0.763,-0.419,0.932,0.477,-0.7,-0.398,0.248,-0.841,-0.532,-0.52,-0.136,0.258,0.36,1.019,0.449,-0.181,0.687,-0.383,-0.31,-0.255,0.639,0.578,-0.388,0.288,0.188,0.291,0.049,0.605,0.584,0.117,0.383,0.639,0.749,0.145,0.158,0.222,1.027,0.136,1.149,0.905,1.024,0.11,0.157,1.381,0.823,0.308,0.666,0.361,0.899,1.196,0.857,0.004,0.612
"6","Martinique","June",-0.105,0.034,0.078,-0.361,-0.538,-0.407,-0.195,-0.711,0.197,-0.323,-0.024,0.001,0.181,-0.375,-0.09,-0.353,0.421,0.155,0.47,0.83,0.134,0.301,0.789,-0.082,0.052,0.169,0.511,0.207,0.044,0.318,0.487,0.049,0.56,0.434,0.619,0.077,0.657,0.736,0.515,0.39,0.793,0.7,0.433,0.416,0.629,0.665,0.783,0.317,0.336,1.008,1.318,1.043,0.587,0.884,0.924,0.87,0.664,0.511,0.883
"7","Martinique","July",-0.29,0.112,-0.138,-0.402,-0.446,-0.406,-0.356,-0.325,-0.1,-0.543,0.08,0.231,0.45,-0.123,0.043,-0.218,0.365,0.2,0.181,0.258,0.262,0.149,0.499,-0.359,0.361,-0.027,0.851,0.509,0.369,0.363,0.592,0.392,0.616,0.69,1.096,0.256,0.406,0.85,0.467,0.412,0.669,0.655,0.469,0.301,0.545,0.865,1.053,0.664,1.05,1.352,0.594,1.004,0.634,0.948,0.803,1.097,1.133,0.666,1.122
"8","Martinique","August",0.041,-0.195,0.475,-0.341,-0.334,-0.254,-0.508,-0.207,0.02,-0.365,-0.466,0.062,0.168,-0.1,-0.119,-0.142,-0.08,0.035,0.089,-0.05,0.29,-0.063,0.308,0.241,0.228,0.093,0.827,-0.133,-0.198,0.491,0.687,0.064,0.178,0.695,0.474,0.073,0.266,0.775,0.222,0.129,0.845,0.672,0.556,0.594,0.888,0.832,0.554,1.095,1.156,1.031,0.575,0.455,0.677,0.593,1.09,1.19,1.037,0.615,0.981
"9","Martinique","September",0.185,0.119,0.384,-0.072,-0.197,-0.126,-0.452,-0.078,0.102,-0.278,-0.265,-0.07,-0.103,-0.754,-0.274,-0.002,0.012,0.053,-0.02,-0.267,0.207,-0.21,0.495,-0.16,0.02,-0.071,0.553,0.199,-0.022,0.147,-0.034,-0.33,0.332,-0.336,0.577,0.066,0.804,0.59,0.397,0.251,0.627,0.447,0.865,0.356,1.239,0.644,0.463,0.535,0.785,0.882,0.662,0.853,0.919,0.717,1.136,0.791,0.835,0.671,1.229
"10","Martinique","October",-0.411,0.283,0.444,-0.281,-0.16,0.033,-0.159,-0.079,0.1,-0.372,-0.384,0.027,-0.007,-0.56,-0.61,-0.064,-0.287,-0.05,-0.032,0.375,0.149,-0.281,0.184,-0.171,-0.471,0.273,0.471,-0.1,-0.009,0.06,-0.637,-0.257,0.654,-0.128,0.561,-0.07,0.764,0.233,0.226,-0.023,0.527,0.254,0.453,0.728,-0.008,0.495,0.237,0.19,0.467,0.539,0.754,0.816,0.962,0.812,1.587,1.25,0.818,0.519,0.808
