"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mauritania","January",-1.283,0.61,1.847,0.056,-2.362,0.67,0.23,-1.83,1.906,1.195,0.292,-0.154,-0.601,-1.298,-0.088,-2.19,0.766,1.18,2.33,1.353,0.165,-0.349,0.294,-0.74,-0.544,-1.592,1.159,-0.825,-0.317,-1.153,2.424,0.946,-0.203,-1.329,-0.81,2.959,1.652,1.018,-0.438,0.375,1.235,1.055,-0.263,1.005,0.387,-0.398,1.355,0.223,-1.485,2.577,1.595,-0.203,0.247,0.933,0.233,3.268,0.228,0.296,0.11
"2","Mauritania","February",-0.575,-0.714,1.123,1.392,-0.113,1.795,-0.789,-0.446,3.014,1.854,-0.37,-0.996,-0.566,-1.482,-0.349,-2.304,0.376,1.774,1.032,0.211,-0.241,-0.456,1.034,-0.206,2.158,-0.077,0.875,0.922,0.372,2.484,-0.778,1.332,0.35,0.071,1.245,1.985,2.219,3.755,-2.213,1.229,0.756,1.268,0.585,1.92,-0.717,-0.674,1.485,2.395,0.207,3.402,-0.778,-1.273,1.084,-0.608,0.327,0.824,2.185,-0.351,0.438
"3","Mauritania","March",0.343,-0.294,-0.124,1.697,0.805,0.048,-0.113,-1.377,2.841,0.492,-1.51,-1.103,0.576,-2.598,-0.121,-1.62,1.643,0.338,0.533,1.068,2.229,0.388,3.036,0.461,-0.029,-0.341,1.033,1.869,0.498,3.4,-0.089,-0.55,1.518,0.696,0.374,1.391,0.043,2.337,0.2,2.311,2.392,0.542,2.026,1.331,1.867,1.909,0.867,3.129,0.991,3.173,1.49,1.304,2.561,-0.106,-0.006,0.174,2.614,2.069,0.072
"4","Mauritania","April",1.143,-0.053,-0.128,-1.247,-1.132,0.992,-1.14,-0.503,-1.128,0.972,-0.172,-0.467,1.153,-1.726,-0.999,-0.392,0.992,-0.247,1.51,2.704,1.301,0.131,2.269,1.782,-0.061,1.376,3.096,1.335,0.091,1.356,0.767,0.85,2.057,1.586,0.88,2.161,0.46,3.041,1.943,3.272,2.701,0.021,1.86,1.423,2.72,2.827,0.709,3.231,1.185,3.588,2.637,0.864,2.163,2.499,2.958,2.673,2.994,1.128,1.476
"5","Mauritania","May",1.244,0.293,-1.416,1.364,0.132,0.165,0.657,-0.8,0.623,0.358,-2.081,-1.211,2.184,0.192,-1.421,-1.77,-0.509,0.216,0.985,-0.445,0.898,0.028,1.944,0.431,-0.409,1.217,2.915,0.83,1.73,0.923,0.081,1.092,1.635,1.494,1.678,1.773,0.837,0.857,1.544,1.227,1.29,1.04,1.328,0.749,2.341,-0.098,1.009,0.885,1.537,1.952,1.404,1.536,1.789,1.054,2.093,1.488,2.039,0.874,1.957
"6","Mauritania","June",0.081,-0.26,-0.14,-0.199,-0.607,0.282,-0.029,-0.435,0.031,0.631,0.059,-1.059,0.454,0.738,0.068,-0.017,0.71,-0.362,0.529,0.692,1.35,0.731,1.073,-0.094,0.935,0.297,1.09,0.187,0.731,0.688,1.33,0.445,1.642,1.568,1.96,1.798,1.004,1.695,1.756,0.591,1.148,1.435,1.187,1.006,1.223,1.45,1.278,0.933,1.041,0.727,1.567,1.089,1.608,1.779,2.113,1.834,1.879,1.296,2.003
"7","Mauritania","July",-0.069,0.095,0.419,0.014,-0.553,0.224,-0.142,0.006,-0.199,0.557,-0.208,0.719,0.41,-0.298,-0.487,-0.203,0.711,0.203,0.525,0.714,0.524,1.136,1.591,0.629,0.135,0.528,1.549,0.935,0.517,0.438,0.925,0.642,1.218,0.533,1.721,1.29,1.729,1.261,0.564,0.873,1.054,1.084,1.186,0.619,0.672,1.835,1.019,0.682,1.314,1.455,1.467,0.498,1.786,1.917,1.641,0.866,1.438,1.426,1.81
"8","Mauritania","August",0.195,-0.16,-0.143,-0.681,-0.62,0.662,-0.435,0.285,-0.448,0.073,-0.314,0.759,0.667,0.241,0.207,0.287,0.903,0.575,0.974,0.755,0.406,0.643,1.494,1.24,0.411,1.002,1.454,0.342,0.336,1.352,1.591,1.059,0.737,0.423,0.76,0.441,0.882,1.396,0.306,0.855,1.488,0.98,0.709,0.822,1.27,0.748,-0.29,0.779,1.312,0.603,1.283,0.695,1.016,1.388,1.216,0.987,1.58,0.926,1.775
"9","Mauritania","September",0.048,0.446,0.151,-0.309,-1.084,-0.449,-0.813,0.747,-0.559,0.155,-0.314,0.171,0.835,0.355,0.193,0.262,0.695,0.308,0.711,1.023,0,1.07,1.982,1.127,0.72,0.122,1.41,0.687,1.079,1.281,0.74,1.613,0.089,0.382,0.4,1.067,0.674,0.548,0.19,1.426,1.475,1.819,0.652,1.212,0.957,0.897,0.915,0.863,0.686,0.371,2.068,0.594,0.515,1.535,1.072,1.561,2.103,0.883,1.805
"10","Mauritania","October",-0.117,0.639,-0.904,-0.148,-0.452,-1.267,-0.543,0.58,-1.219,0.518,0.767,1.847,0.133,-0.794,0.778,-0.57,0.916,0.291,0.435,0.727,1.494,0.082,1.86,0.673,1.194,0.455,1.025,0.925,1.626,2.05,0.24,0.288,0.774,0.103,1.337,0.979,0.903,1.619,0.508,0.062,-0.301,1.122,1.246,2.35,1.285,2,1.308,0.267,1.768,1.108,1.768,1.182,1.912,2.026,1.768,1.886,2.361,1.921,2.044
"11","Mauritania","November",-0.044,0.029,0.431,-0.411,-0.224,-0.937,-0.182,0.249,0.636,0.939,-0.669,-0.118,0.946,0.148,-2.052,-0.681,-0.177,-0.156,0.347,0.296,1.646,0.034,2.095,-0.23,0.806,-0.966,2.062,0.502,1.347,0.443,1.403,-0.203,-0.727,1.375,2.432,0.664,1.86,1.283,0.696,0.648,1.078,1.349,0.859,1.189,1.547,2.303,1.105,0.175,0.861,0.909,1.119,2.655,1.23,1.099,1.132,1.984,1.56,1.171,1.557
