"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mauritius","January",0.247,-0.086,-0.249,-0.299,-0.39,-0.418,0.073,-0.422,0.189,0.78,-0.184,-0.316,-0.101,-0.998,0.15,-0.622,0.329,0.492,0.438,0.41,-0.202,0.02,0.226,-0.246,-0.153,-0.326,0.046,0.659,-0.156,-0.264,0.44,0.727,0.257,0.394,0.189,0.262,0.42,1.642,-0.191,0.47,0.745,0.395,1.236,0.4,1.039,0.148,0.699,-0.041,1.037,1.012,0.593,0.652,0.646,0.937,0.759,1.701,0.423,0.378,1.266
"2","Mauritius","February",0.458,0.194,-0.169,0.766,0.065,0.005,0.184,-0.413,0.221,0.889,-0.173,-0.691,0.033,-1.158,0.073,-0.264,0.188,0.454,0.071,0.089,0.036,-0.543,0.563,0.079,-0.016,0.367,0.249,0.584,0.407,0.207,0.571,0.39,0.649,0.15,0.602,0.277,0.464,1.421,0.03,0.015,0.858,0.631,0.409,1.016,0.543,0.332,0.427,-0.283,1.05,1.274,0.37,0.692,0.99,0.886,0.686,1.516,1.028,0.829,0.898
"3","Mauritius","March",0.558,0.419,-0.421,0.643,-0.624,-0.505,0.401,-0.133,0.868,0.796,-0.575,-0.491,0.151,-0.787,-0.145,-0.139,0.333,-0.481,-0.1,-0.026,0.905,-0.058,0.261,-0.115,0.208,-0.176,0.863,0.785,0.284,0.011,0.692,0.145,0.281,0.567,0.508,0.542,0.48,1.237,0.29,-0.29,0.708,0.499,0.481,0.59,1.225,-0.167,0.203,-0.309,0.875,1.229,0.645,0.516,1.155,0.906,1.043,1.864,1.018,0.501,1.161
"4","Mauritius","April",0.694,-0.441,0.388,-0.017,-0.114,0.082,0.65,-0.194,0.817,0.378,-0.216,-0.357,0.035,-0.871,-0.029,-0.113,0.83,0.224,0.076,0.607,0.295,0.141,0.44,-0.396,-0.161,0.008,0.919,0.184,0.07,-0.021,0.28,-0.108,0.222,0.683,0.462,0.09,0.169,0.905,0.42,-0.006,0.683,0.03,0.706,0.168,0.644,0.118,0.327,0.223,1.117,1.259,0.823,0.571,0.29,1.038,0.869,1.52,1.327,0.929,1.245
"5","Mauritius","May",0.703,-0.53,-0.264,-0.891,-0.446,0.311,-0.212,-0.666,0.474,0.417,0.109,0.042,0.317,-0.944,0.312,0.29,0.734,0.591,0.689,0.239,-0.171,0.655,0.421,-0.824,-0.374,-0.065,0.579,-0.057,-0.323,-0.155,0.304,-0.21,0.659,0.631,-0.06,-0.218,0.475,0.759,0.446,0.459,0.767,-0.086,0.9,-0.197,0.334,0.143,0.891,0.48,1.25,1.386,1.286,0.726,0.719,1.139,1.204,0.868,1.201,1.136,1.205
"6","Mauritius","June",1.328,-0.17,0.068,-0.34,-0.568,0.128,0.046,0.206,0.315,0.168,-0.238,0.656,-0.408,-0.897,-0.317,0.459,0.956,0.313,0.399,0.595,0.198,0.404,0.473,-0.85,-0.237,-0.425,0.428,-0.116,-0.466,-0.159,0.252,0.002,0.077,0.48,0.737,0.221,0.414,1.093,0.597,-0.24,-0.169,0.016,0.322,-0.01,0.516,0.639,0.466,0.063,1.336,1.343,1.268,0.614,0.533,1.195,1.685,0.66,1.487,0.99,1.185
"7","Mauritius","July",0.426,-0.221,-0.116,-0.781,0.387,0.273,0.229,-0.316,0.496,0.278,-0.481,0.154,-0.005,-0.514,0.044,0.131,0.596,0.258,0.348,0.269,-0.023,0.641,0.562,-1.267,-0.058,0.011,1.068,0.214,-0.268,0.002,0.009,-0.14,-0.632,0.786,0.764,-0.39,0.388,0.728,0.199,0.083,0.259,0.803,0.554,0.481,0.609,0.295,0.773,-0.096,0.427,0.968,1.04,0.648,0.864,1.52,1.633,0.218,1.882,0.639,1.862
"8","Mauritius","August",0.442,-0.084,-0.608,-0.521,-0.178,0.207,0.016,-0.129,-0.246,0.293,-0.7,0.475,-0.501,-0.197,-0.611,0.596,0.624,0.612,0.676,0.308,0.485,0.409,0.074,-0.518,-0.086,0.263,0.548,0.597,-0.315,0.174,0.329,0.033,-0.004,0.677,0.538,0.081,0.942,0.789,0.593,0.545,0.924,0.482,0.702,0.422,0.063,0.404,0.902,1.012,0.505,1.099,0.928,0.966,0.878,1.235,1.932,1.179,1.698,1.349,1.81
"9","Mauritius","September",0.014,0.46,-0.517,-0.305,0.101,0.691,-0.033,0.067,0.24,-0.318,-0.814,0.367,-0.544,-0.646,-0.213,-0.111,0.404,0.499,0.498,0.046,0.238,0.798,-0.138,0.084,-0.066,0.436,0.551,0.485,0.071,0.717,0.68,-0.165,-0.298,0.452,0.461,-0.06,0.924,0.654,0.379,0.33,0.799,0.616,0.994,0.433,-0.02,0.602,0.629,0.855,0.406,1.077,1.044,0.588,1.448,1.239,1.412,0.63,1.76,1.375,1.666
"10","Mauritius","October",0.36,0.003,0.25,-0.363,0.171,0.254,0.075,-0.151,0.435,-0.276,-0.57,0.264,-0.434,-0.437,-0.571,0.187,0.609,0.573,0.535,0.685,0.431,0.286,-0.129,-0.038,-0.516,0.566,0.671,0.635,0.18,0.358,0.552,0.109,-0.035,0.646,0.248,-0.338,0.806,0.395,0.184,0.683,0.514,0.741,0.727,0.344,-0.105,0.637,0.22,0.535,0.92,0.918,0.961,0.525,1.415,1.313,1.474,1.069,1.737,1.332,1.855
