"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mayotte","January",0.698,-0.114,0.124,0.161,-0.171,-0.076,0.135,-0.346,-0.178,0.142,-0.309,-0.583,0.401,-0.336,-0.256,-0.307,0.193,0.43,0.316,0.288,0.247,0.927,NA,-0.202,-0.012,-0.439,0.278,0.82,-0.687,-0.156,0.237,0.477,0.597,0.28,0.696,0.209,0.943,0.756,0.416,0.279,1.063,0.76,0.859,1,0.798,0.435,0.864,0.915,1.282,1.03,0.461,1.1,1.391,1.36,0.851,1.618,0.886,0.617,1.385
"2","Mayotte","February",0.14,-0.086,-0.118,0.32,-0.449,0.345,0.281,-0.099,0.138,0.676,-0.763,-0.263,0.497,-0.546,-0.072,-0.52,0.44,0.346,-0.134,0.314,-0.13,0.337,NA,-0.153,-0.483,0.509,0.582,0.522,0.065,0.359,0.457,0.279,0.417,0.474,0.287,0.13,0.166,1.539,0.632,-0.023,0.381,0.685,0.899,0.748,1.068,0.578,0.742,0.265,0.907,1.352,0.64,0.536,1.227,0.393,1.094,1.143,0.909,1.062,1.243
"3","Mayotte","March",0.304,0.272,-0.028,0.378,-0.691,-0.222,0.145,-0.323,0.428,0.597,-0.908,-1.008,0.344,-0.419,-0.213,NA,0.505,0.042,0.018,0.127,0.315,0.702,0.515,-0.363,-0.031,0.221,0.769,0.673,-0.15,0.372,0.272,0.032,0.185,0.677,0.017,0.391,0.593,1.237,0.102,-0.368,0.212,0.652,1.092,0.447,0.984,0.652,0.819,0.521,1.091,1.473,0.306,0.414,0.724,0.999,0.842,1.963,1.304,0.569,1.538
"4","Mayotte","April",0.238,-0.03,0.113,0.124,-0.513,0.007,0.274,-0.5,0.606,0.274,-0.23,-0.63,0.622,-0.147,-0.053,NA,NA,0.144,0,0.458,0.306,0.229,0.974,NA,-0.024,0.472,0.919,0.443,-0.03,NA,0.34,0.445,0.382,0.85,0.495,0.56,0.646,1.102,0.197,0.47,0.263,1.254,0.726,0.318,0.671,0.386,0.912,0.499,0.83,1.605,0.702,0.834,0.707,0.75,1.248,1.822,1.185,1.336,1.889
"5","Mayotte","May",0.657,-0.175,-0.406,-0.506,-0.663,0.057,0.53,-0.656,0.55,0.387,-0.544,-0.044,0.571,-0.329,0.505,NA,NA,0.566,0.662,0.616,0.396,0.616,0.685,-0.555,0.136,0.248,0.979,0.285,0.161,0.116,0.486,0.142,0.729,0.908,0.707,0.164,0.227,1.203,0.446,0.736,0.936,1.051,0.922,0.327,0.941,0.377,1.082,0.258,0.72,1.563,0.766,0.728,0.843,0.894,1.858,0.934,1.66,1.472,1.933
"6","Mayotte","June",0.308,-0.404,-0.161,-0.292,-1.244,0.108,0.275,-0.405,0.232,0.144,-0.486,-0.186,0.691,-0.489,0.44,NA,0.574,0.631,0.588,0.334,0.019,0.774,NA,-0.355,0.104,0.221,0.252,0.419,-0.539,-0.026,0.174,0.434,0.589,0.651,0.321,0.119,0.569,1.148,0.384,0.634,0.444,0.824,0.624,0.116,0.364,0.574,0.954,0.416,0.828,1.405,1.314,0.793,0.411,1.311,1.296,0.911,1.576,1.423,1.921
"7","Mayotte","July",0.72,-0.174,-0.211,-0.568,-0.894,0.206,0.405,-0.449,0.336,0.531,-0.557,0.343,0.615,-0.128,0.354,NA,NA,0.282,-0.052,0.71,0.323,0.783,0.874,-0.531,NA,-0.158,0.561,0.609,-0.313,0.233,0.413,0.371,0.457,0.973,0.917,-0.185,0.331,0.752,0.433,0.395,NA,0.938,0.453,0.201,0.781,0.063,0.519,0.284,0.823,0.748,1.011,0.667,0.562,1.329,1.333,0.547,1.521,1.167,1.777
"8","Mayotte","August",0.427,0.185,-0.718,-0.515,-0.741,0.085,0.12,-0.391,0.22,0.378,-0.628,0.472,0.205,-0.232,NA,NA,NA,0.392,0.545,0.742,0.932,0.679,NA,-0.767,NA,NA,0.643,0.727,0.002,0.632,0.502,0.325,0.499,0.904,1.023,-0.061,0.474,1.06,0.452,0.922,0.422,1.322,0.082,0.178,0.452,0.532,1.456,0.425,0.854,0.959,1.069,0.772,0.685,1.457,1.183,1.125,1.637,1.489,1.832
"9","Mayotte","September",0.081,0.23,-0.716,-0.439,-0.301,0.324,0.023,-0.12,-0.071,0.012,-0.926,0.374,0.002,-0.635,-0.138,NA,0.44,0.566,0.732,0.179,0.589,0.644,-0.045,-0.663,0.352,0.339,0.501,0.589,0.294,0.624,0.274,0.335,-0.101,0.714,0.723,-0.071,0.646,0.927,0.936,0.821,0.161,1.166,0.374,0.745,0.535,0.483,0.872,1.186,0.925,0.682,1.066,1.072,1.126,1.096,1.331,0.639,1.649,1.796,1.828
"10","Mayotte","October",0.496,0.09,-0.495,-0.51,-0.204,0.221,0.415,-0.223,0.689,-0.023,-1.005,0.295,-0.195,-0.464,-0.245,NA,NA,0.562,0.285,0.533,0.489,NA,NA,-0.074,0.465,0.175,0.485,0.761,-0.325,0.155,0.625,0.313,0.332,0.871,0.732,0.361,0.432,0.455,0.295,0.995,0.205,1.065,0.395,0.982,0.401,0.605,0.803,0.959,0.922,0.891,1.395,0.896,1.094,1.599,2.159,1.116,1.974,1.253,2.369
