"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Melanesia","January",-0.282,0.659,0.301,0.079,-0.466,-0.294,-0.359,-0.041,-0.367,0.144,-0.066,-0.378,0.271,0.072,-0.21,-0.297,-0.109,0.266,0.343,0.266,0.19,0.328,0.471,0.557,-0.149,0.494,0.256,0.625,0.147,0.342,0.294,0.583,0.129,0.563,1.275,0.679,0.111,1.362,0.755,0.335,0.332,1.325,0.813,0.645,0.486,0.209,0.569,0.264,0.683,0.252,0.504,0.071,0.739,0.396,-0.072,1.028,1.064,0.74,0.515
"2","Melanesia","February",0.12,0.334,0.393,0.242,-0.311,-0.093,-0.271,-0.417,-0.129,0.303,-0.062,-0.329,0.233,-0.109,-0.344,-0.377,0.106,-0.027,0.043,0.176,0.136,0.078,0.154,0.475,0.398,0.145,0.158,0.397,0.075,0.48,0.409,0.391,-0.108,0.179,0.741,0.54,0.418,1.39,0.331,0.535,0.356,0.766,0.922,0.2,0.754,0.354,0.804,0.989,0.288,1.161,0.458,0.536,0.759,0.691,0.41,1.352,0.666,0.978,1.138
"3","Melanesia","March",0.03,0.055,0.142,0.078,-0.342,-0.146,-0.21,0.061,0.16,0.278,-0.131,-0.307,0.23,-0.163,-0.268,-0.479,0.301,0.209,0.044,0.127,0.285,0.135,0.201,0.208,0.101,0.435,0.17,0.719,-0.119,0.824,0.266,0.604,-0.02,0.562,0.731,0.405,0.247,1.006,0.366,0.264,0.501,0.563,0.904,0.772,0.645,0.493,0.196,0.318,-0.023,0.541,0.471,0.445,0.455,0.879,0.125,1.866,1.167,0.458,0.499
"4","Melanesia","April",0.062,-0.12,-0.01,0.217,-0.492,0.051,-0.444,-0.367,0.371,0.332,-0.271,-0.214,0.202,-0.011,0.211,-0.489,0.123,-0.019,0.233,0.607,0.314,0.232,0.582,0.336,0.265,0.167,0.156,0.707,0.111,0.394,0.578,0.245,0.116,0.262,0.144,0.797,0.101,1.406,0.635,0.627,0.786,0.902,0.902,0.867,0.332,0.522,0.502,-0.166,0.719,0.727,0.431,0.439,0.925,0.938,0.718,1.585,1.518,0.852,0.974
"5","Melanesia","May",-0.138,0.036,0.31,-0.064,-0.332,-0.193,-0.173,-0.15,0.408,0.126,-0.309,-0.602,0.113,-0.014,0.094,-0.114,-0.337,0.47,-0.019,0.391,0.533,0.159,0.221,0.035,0.272,0.292,0.323,0.887,0.145,0.497,-0.48,0.694,0.285,0.107,0.25,0.331,0.174,1.305,0.324,0.106,0.203,0.705,0.871,1.125,0.487,0.485,0.884,-0.358,0.363,1.173,0.517,0.215,1.173,1.137,0.7,1.9,1.39,1.073,0.828
"6","Melanesia","June",-0.289,-0.112,-0.112,0.023,-0.683,-0.25,-0.044,-0.028,0.497,0.347,-0.079,-0.398,0.275,-0.302,0.285,-0.125,-0.218,0.478,0.314,0.273,0.537,-0.115,0.443,0.058,0.274,0.404,0.411,0.34,0.502,0.31,0.503,0.554,0.408,0.168,0.869,0.923,0.224,1.442,0.782,0.119,0.681,1.074,0.526,-0.241,1.123,0.738,1.219,0.316,0.56,1.685,0.301,-0.011,1.131,0.577,0.839,1.849,1.445,0.776,0.872
"7","Melanesia","July",-0.097,0.061,-0.4,0.307,-1.203,-0.444,0.088,0.146,0.185,0.043,0.002,-0.423,0.177,0.302,0.312,-0.132,0.002,0.456,-0.037,0.137,0.33,-0.413,0.231,0.308,0.109,0.026,0.193,0.578,0.748,0.401,0.479,0.517,0.772,0.023,1.103,0.394,0.442,1.422,0.378,-0.25,-0.086,0.536,1.228,0.32,0.946,0.151,0.334,0.48,0.328,1.701,0.274,0.612,1.219,0.593,0.535,1.612,1.846,1.022,0.327
"8","Melanesia","August",-0.348,0.106,-0.051,0.041,-0.809,0.034,-0.117,0.022,0.115,0.301,0.296,-0.577,0.421,0.188,0.321,-0.622,-0.235,0.255,-0.19,-0.063,0.045,-0.75,0.439,0.27,0.357,0.394,0.215,0.911,0.65,0.268,0.34,0.32,-0.175,0.088,1.006,0.093,-0.564,1.606,-0.151,0.213,0.15,0.918,-0.053,-0.434,0.23,-0.547,0.431,0.324,0.256,1.542,0.268,0.286,0.587,0.046,-0.13,1.312,1.106,0.734,0.695
"9","Melanesia","September",-0.591,0.134,-0.396,0.293,-0.525,0.151,-0.248,0.054,-0.101,0.153,0.295,-0.504,0.298,0.328,0.442,-0.406,-0.157,-0.065,0.333,-0.208,0.401,-0.469,0.401,0.45,0.352,0.095,0.254,0.602,0.554,-0.115,-0.23,0.663,-0.332,-0.447,0.766,0.991,-0.416,1.423,0.144,0.648,0.963,0.633,0.225,-0.104,0.361,-0.129,0.239,0.56,0.297,1.457,0.63,0.521,0.93,-0.076,0.464,1.324,1.438,0.257,0.381
"10","Melanesia","October",-0.508,0.591,-0.548,0.06,-0.512,-0.231,-0.437,-0.075,-0.036,0.078,0.165,-0.435,0.237,0.175,0.28,0.063,-0.165,0.059,0.215,0.297,0.147,-0.323,0.235,0.226,0.33,0.497,0.617,0.427,0.726,0.232,-0.25,0.28,0.543,0.212,0.534,0.716,-0.079,1.218,0.618,0.641,0.675,0.215,0.997,-0.207,1.227,0.04,0.491,0.446,0.074,1.164,0.762,0.697,0.828,0.163,0.143,1.254,1.128,0.705,0.698
