"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mexico","January",-0.31,-0.818,-0.303,-1.045,0.494,-1.335,-0.672,-0.223,1.017,-0.54,0.767,0.77,-0.735,1.008,-0.068,-0.485,-0.319,-0.03,-0.662,0.788,-0.406,0.942,-0.162,-0.336,-0.986,0.478,-0.598,-0.446,0.793,0.832,0.567,-0.533,1.188,0.656,0.733,0.37,-0.006,1.108,0.98,1.381,-0.047,0.696,1.165,0.287,1.617,1.304,-0.205,0.516,1.595,-0.007,0.439,1.459,0.545,0.587,0.742,0.363,1.741,0.457,1.052
"2","Mexico","February",-0.17,1.534,-0.082,-1.05,-0.897,-1.391,-0.173,-0.335,0.266,-0.183,0.117,0.194,-0.283,-0.121,0.072,0.591,0.122,-0.949,-0.135,0.651,0.645,0.858,-0.35,-0.077,-0.378,1.174,-0.063,0.705,0.687,0.266,0.963,-0.047,0.65,0.893,1.932,1.53,0.529,-0.014,1.796,1.796,1.285,0.205,1.378,-0.374,0.884,1.375,0.819,1.687,1.72,-0.677,0.278,0.964,1.356,2.209,1.156,1.866,2.718,2.566,2.001
"3","Mexico","March",0.204,-0.848,0.623,-0.362,-0.892,-0.508,0.77,-1.575,-1.328,-0.745,0.533,1.269,0.174,0.844,0.416,0.476,-0.314,0.165,0.026,0.644,-0.363,1.123,-0.648,0.464,0.662,0.104,-0.903,0.019,0.24,0.347,0.75,0.244,0.194,0.713,0.688,-0.211,1.218,-0.023,0.818,1.21,-0.17,0.618,0.628,1.558,0.353,1.072,1.125,0.378,1.13,-0.354,1.822,1.16,0.834,1.179,0.488,1.693,2.274,2.047,1.168
"4","Mexico","April",0.206,0.028,0.951,0.392,0.396,-0.013,0.332,-0.548,0.432,0.134,-0.873,1.024,-0.899,0.15,-0.28,-0.545,-0.924,0.258,0.298,-0.414,0.244,1.185,-1.089,0.411,-0.009,1.263,-0.966,0.133,0.805,0.533,0.867,-0.042,0.206,0.278,0.093,0.207,-1.054,0.034,0.726,1.004,0.641,1.53,0.605,-0.088,0.59,1.563,0.278,0.928,0.684,0.298,2.078,1.06,0.764,1.151,1.096,1.175,1.347,1.221,0.874
"5","Mexico","May",0.672,-0.083,0.511,0.196,-0.058,0.193,0.198,-0.145,0.045,-0.443,-0.24,0.038,0.081,0.327,-0.315,-0.656,-0.352,0.556,-0.463,0.494,0.001,-0.163,0.493,0.46,0.419,0.249,-0.425,0.204,0.899,0.776,0.569,-0.531,-0.066,0.574,0.86,1.666,0.381,1.226,0.805,1.262,0.679,1.312,1.758,0.57,0.495,0.897,0.327,0.761,1.289,0.839,1.28,1.272,0.548,0.278,0.195,1.204,1.065,1.527,0.887
"6","Mexico","June",-0.095,-0.172,0.098,-0.638,-0.485,-0.202,-0.195,-0.295,0.313,-0.245,-0.648,-0.499,-0.438,-0.049,-0.383,-0.154,-0.093,0.531,-0.153,1.431,0.008,0.477,0.326,-0.379,-0.2,-0.295,0.016,-0.215,0.563,1.218,0.039,0.617,0.208,0.754,0.337,0.825,0.404,1.836,0.304,0.035,0.633,0.729,0.495,0.114,0.962,0.738,0.486,0.747,0.708,1.187,1.262,1.078,1.136,0.992,0.693,0.889,1.253,1.13,1.251
"7","Mexico","July",-0.428,0.168,0.114,0.152,-0.029,0.245,0.155,-0.585,0.731,0.014,-0.257,-0.17,-0.33,-0.758,-0.917,-1.146,-0.003,0.46,0.768,1.239,0.102,0.266,0.285,-0.791,-0.303,-0.464,0.04,-0.193,0.504,-0.35,-0.694,0.274,-0.089,0.831,0.554,0.644,0.625,1.091,-0.311,0.542,0.481,0.219,0.364,0.209,0.999,0.618,0.312,-0.325,1.644,0.243,0.763,0.313,0.272,0.648,0.875,1.484,0.847,1.236,1.343
"8","Mexico","August",-0.197,0.801,0.132,0.17,-0.261,-0.038,-0.22,-0.528,0.563,0.215,-0.907,-0.423,-0.763,-0.193,-0.457,-0.418,0.517,-0.029,-0.289,0.232,0.313,0.629,0.13,-0.363,0.186,0.344,0.248,-0.065,0.003,-0.364,0.19,0.02,0.324,0.497,0.585,-0.073,0.994,0.88,0.425,0.119,0.59,0.823,0.514,0.364,0.522,0.281,0.413,0.25,1.128,1.017,1.582,0.908,0.589,0.674,1.648,0.653,1.07,1.072,2.171
"9","Mexico","September",-0.134,0.387,0.309,0.008,0.006,0.078,-0.713,-0.476,0.217,-0.385,-0.236,0.167,-0.021,-0.756,-0.92,-0.485,0.907,-0.458,-0.195,0.336,0.135,0.61,0.625,-0.436,-0.095,-0.02,0.484,-0.14,-0.152,-0.058,-0.604,0.444,-0.283,0.326,0.654,0.168,1.084,0.714,0.314,0.659,0.532,0.698,0.66,-0.019,1.168,0.212,0.541,-0.258,0.708,0.794,1.133,0.579,0.198,0.528,1.512,0.814,0.809,1.05,1.354
"10","Mexico","October",-0.02,0.848,0.227,-0.566,-0.491,-0.429,-0.433,0.438,0.163,-0.649,-0.26,0.704,0.086,-0.599,-0.47,-1.16,0.687,-0.12,0.772,-0.163,0.308,0.064,0.537,-0.041,0.304,-0.275,0.473,0.435,0.094,0.163,0.418,0.403,0.349,0.64,0.46,0.191,0.07,0.906,0.301,-0.316,0.535,0.807,0.849,0.96,0.434,0.672,0.562,0.392,0.885,0.138,0.739,1.055,0.81,1.297,1.74,1.946,1.346,0.54,1.274
