"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Micronesia","January",0.217,-0.059,-0.123,0.125,-0.115,-0.428,-0.074,0.058,-0.133,0.229,-0.025,-0.359,-0.06,-0.304,-0.084,-0.15,-0.126,0.124,0.169,0.295,0.339,0.398,-0.082,0.146,0.104,0.447,0.039,0.421,0.075,0.243,0.022,-0.07,-0.225,0.288,0.443,0.356,0.214,0.394,0.185,0.315,0.117,0.097,-0.058,0.88,0.165,0.542,0.53,0.141,0.664,0.478,0.506,0.542,0.937,0.676,0.87,1.003,1.04,0.873,0.921
"2","Micronesia","February",0.359,0.005,-0.087,-0.131,-0.371,-0.196,-0.105,-0.169,0.014,0.399,-0.225,-0.142,0.12,-0.002,0.111,-0.379,0.11,0.007,0.03,0.135,0.143,0.29,0.073,-0.053,0.198,0.146,-0.076,0.388,0.036,0.382,0.408,0.059,-0.242,0.229,0.339,0.231,0.066,0.429,0.115,0.031,0.075,-0.228,0.288,0.499,0.453,0.56,0.217,0.039,0.432,0.843,0.298,0.263,0.708,0.562,0.671,0.904,0.846,0.846,1.103
"3","Micronesia","March",0.189,-0.173,-0.118,0.085,-0.235,-0.037,-0.286,-0.179,0.064,0.297,-0.081,-0.297,0.313,-0.169,-0.148,-0.307,0.019,0.263,0.033,0.14,0.023,0.19,0.235,0.243,0.074,0.189,0.036,0.54,0.009,0.255,-0.099,0.067,-0.269,0.28,0.479,0.486,0.139,0.785,-0.195,0.111,0.347,0.327,0.37,0.512,0.346,0.195,0.498,-0.006,0.613,0.728,0.488,0.661,0.744,0.593,0.89,1.086,0.834,0.899,0.258
"4","Micronesia","April",0.248,0.004,0.157,0.082,-0.196,0.022,-0.03,-0.156,0.135,0.205,-0.192,-0.25,0.165,-0.173,-0.149,-0.45,0.022,0.091,-0.125,0.229,0.03,0.244,0.395,0.226,-0.166,0.234,0.119,0.556,0.03,0.256,0.455,0.119,-0.249,0.312,0.436,0.109,0.351,0.934,-0.068,0.052,0.42,0.43,0.589,0.533,0.203,0.369,0.597,-0.154,0.62,0.424,0.645,0.695,0.689,0.277,0.766,1.25,1.11,1.018,0.517
"5","Micronesia","May",-0.1,-0.026,0.188,-0.098,-0.053,0.055,0.194,-0.113,0.223,0.08,-0.377,-0.035,0.107,-0.054,-0.269,-0.323,-0.087,0.177,0.08,0.089,0.268,0.143,0.409,0.206,0.053,0.365,0.166,0.13,-0.151,0.228,0.356,0.219,-0.079,0.141,0.391,0.092,0.414,0.57,-0.07,-0.058,0.254,0.548,0.461,0.34,0.21,0.373,0.399,-0.218,0.578,0.575,0.567,0.603,0.839,0.799,0.851,1.045,1.107,0.918,0.925
"6","Micronesia","June",-0.217,0.042,0.163,-0.105,-0.265,0.195,0.014,0.092,0.133,0.095,-0.475,-0.073,0.264,-0.153,-0.547,-0.444,0.141,0.138,0.083,0.339,0.056,0.265,0.232,-0.238,-0.25,0.269,0.2,0.107,-0.07,0.236,0.22,0.28,-0.061,0.172,0.477,0.179,0.007,0.481,-0.09,0.238,0.559,0.372,0.52,0.14,0.683,0.586,0.854,0.04,0.562,0.674,0.37,0.548,0.626,0.682,0.807,1.374,0.989,0.918,0.841
"7","Micronesia","July",-0.166,-0.099,0.037,0.041,-0.613,0.192,-0.014,0.019,-0.183,0.152,-0.519,-0.122,0.12,-0.112,-0.339,-0.289,0.004,0.257,0.215,0.238,0.138,-0.122,0.169,0.021,-0.219,0.104,-0.058,0.181,0.111,0.335,0.294,0.308,0.219,0.141,0.517,0.554,0.136,0.523,0.047,0.028,0.499,0.607,0.476,0.486,0.561,0.511,0.714,0.388,0.486,0.741,0.359,0.558,0.825,0.728,1.106,1.421,1.037,0.939,1.055
"8","Micronesia","August",-0.105,-0.018,0.217,-0.329,-0.216,0.407,-0.159,0.054,0.083,0.007,-0.325,-0.26,0.159,-0.139,-0.306,-0.489,0.203,0.099,0.13,0.101,0.223,-0.093,0.32,-0.207,-0.159,0.453,0.105,0.167,0.023,0.396,0.149,0.246,-0.102,0.157,0.601,0.677,0.026,0.575,0,-0.142,0.665,0.006,0.464,0.384,0.488,0.622,0.576,0.367,0.705,0.553,0.505,0.349,0.701,0.998,0.716,1.427,1.206,0.784,1.054
"9","Micronesia","September",-0.192,-0.205,0.277,-0.165,-0.224,0.295,0.075,0.091,-0.13,0.008,-0.237,-0.392,-0.084,-0.073,-0.338,-0.275,0.185,0.077,0.471,0.104,0.248,0.121,0.204,0.121,-0.127,0.103,0.482,0.101,0.105,0.25,-0.009,0.426,-0.001,0.044,0.427,0.376,0.038,0.5,0.057,0.756,0.83,0.034,0.257,0.401,0.399,0.574,0.564,0.378,0.702,0.505,0.373,0.809,0.711,0.851,0.606,1.215,1.095,0.959,0.964
"10","Micronesia","October",-0.283,0.24,-0.008,-0.45,-0.239,0.168,-0.18,0.081,0.287,-0.214,-0.609,-0.166,-0.353,-0.173,-0.586,0.137,0.27,0.014,0.313,0.339,0.193,-0.03,0.042,-0.159,0.125,0.238,0.46,-0.217,0.124,0.915,-0.121,0.205,0.059,0.121,-0.022,0.384,-0.056,0.134,0.249,0.149,0.237,0.239,0.514,0.817,0.628,0.316,0.323,0.451,0.642,0.188,0.334,0.767,0.491,0.63,0.943,0.873,1.022,1.15,0.854
