"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Micronesia (Federated States of)","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.131,-0.489,-0.597,-0.113,0.146,-0.058,0.113,0.149,0.635,0.075,-0.138,-0.013,-0.181,0.264,-0.185,0.309,0.125,-0.157,0.169,0.151,0.32,0.675,0.756,0.495,0.227,0.292,0.518,0.405,0.353
"2","Micronesia (Federated States of)","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.141,-0.282,-0.371,-0.043,-0.025,0.395,-0.287,-0.107,-0.053,-0.11,-0.072,-0.246,-0.104,0.243,0.495,0.317,-0.095,-0.005,0.162,0.722,0.031,0.121,0.677,-0.43,0.084,0.408,0.608,0.423,0.524
"3","Micronesia (Federated States of)","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.464,-0.169,-0.567,0.082,0.127,0.564,0.22,0.363,-0.486,0.046,0.223,-0.006,0.025,0.25,0.234,0.021,0.093,-0.146,0.091,0.524,-0.045,0.692,0.13,0.262,0.457,0.964,0.506,0.395,0.133
"4","Micronesia (Federated States of)","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.254,-0.374,0.192,0.135,0.158,0.037,1.014,-0.32,-0.258,0.326,-0.249,-0.079,0.154,-0.063,0.157,0.043,-0.435,0.054,0.303,0.474,0.596,0.826,0.109,0.33,1.114,0.785,0.886,0.546
"5","Micronesia (Federated States of)","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183,0.492,0.021,-0.018,0.236,0.087,0.373,0.526,0.008,-0.025,0.146,0.088,-0.152,-0.034,0.121,0.012,0.046,-0.456,0.187,0.626,0.25,0.307,0.862,0.458,0.346,0.823,0.975,0.676,0.823
"6","Micronesia (Federated States of)","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219,0.391,-0.071,0.196,0.32,0.267,-0.131,0.484,-0.177,0.064,0.317,-0.03,-0.093,0.158,0.183,0.325,0.282,-0.143,0.261,0.352,-0.054,0.268,0.382,0.363,0.322,0.906,0.759,0.527,0.793
"7","Micronesia (Federated States of)","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297,0.302,0.32,-0.068,0.422,0.721,0.076,0.532,-0.225,-0.2,0.235,0.293,0.124,0.583,0.36,0.011,0.276,-0.01,0.219,0.34,0.124,0.474,0.798,0.348,0.439,1.122,1.012,0.795,0.704
"8","Micronesia (Federated States of)","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306,0.235,-0.203,0.136,0.573,0.546,-0.434,0.351,-0.201,-0.266,0.283,0.075,0.036,0.343,0.156,0.357,0.076,0.038,0.584,0.214,0.126,0.367,0.572,0.49,0.325,0.955,1.148,0.467,0.443
"9","Micronesia (Federated States of)","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,0.389,-0.119,-0.049,0.43,0.315,-0.42,0.25,-0.238,0.559,0.469,0.027,-0.014,0.511,0.11,0.403,0.108,-0.119,0.357,0.226,0.133,0.592,0.522,0.542,0.313,0.678,1.093,0.534,0.611
"10","Micronesia (Federated States of)","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.199,0.235,-0.125,0.188,-0.023,0.232,-0.212,0.486,-0.119,-0.247,0.274,0.444,0.155,0.183,0.341,0.318,0.034,-0.004,0.121,-0.023,-0.099,0.494,0.315,0.382,0.654,0.707,0.934,0.803,0.668
