"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Middle Africa","January",0.434,-0.689,-0.121,0.314,0.033,0.325,-0.349,-0.315,-0.47,0.246,-0.563,-0.038,0.803,-0.371,-0.599,-0.095,-0.003,0.012,0.43,0.54,-0.498,0.596,-1.057,-0.634,0.945,-0.008,0.196,0.336,-1.301,0.504,-0.065,-0.253,-0.507,0.654,-0.028,-0.022,-0.689,0.822,0.23,0.416,-0.349,-0.532,0.709,0.876,0.755,1.367,0.453,0.056,1.063,1.201,0.241,0.153,1.286,0.788,0.188,1.024,1.707,0.275,1.509
"2","Middle Africa","February",-1.057,-0.223,0.36,-0.08,-0.296,-0.238,-0.085,-0.305,0.239,0.392,-0.221,-0.179,1.413,0.084,0.292,-0.057,-0.039,0.719,0.269,0.696,-0.021,-0.067,0.666,0.331,-0.813,0.742,0.575,0.705,-1.209,-0.217,0.614,-0.35,-0.478,0.032,-0.064,0.451,-0.332,1.349,1.024,-0.135,-0.04,0.628,1.294,0.315,2.413,1.411,0.904,0.093,0.877,1.883,1.103,0.716,1.488,0.9,1.043,1.303,0.649,1.764,1.552
"3","Middle Africa","March",-0.276,-0.075,-0.367,0.397,-0.391,-0.073,-0.376,-0.591,0.522,0.031,0.3,0.135,0.781,-0.152,0.064,-0.271,-0.177,0.214,0.287,0.363,-0.055,0.381,0.608,0.727,0.498,0.13,0.208,0.686,-0.648,-0.527,0.572,0.418,-0.021,0.895,0.601,0.198,0.656,0.968,0.421,0.145,0.356,0.642,0.955,0.953,1.458,0.849,0.881,0.554,0.714,1.102,1.028,0.612,1.063,0.919,1.131,1.977,0.363,1.408,1.957
"4","Middle Africa","April",-0.008,-0.127,-0.406,-0.058,-0.402,-0.201,0.255,-0.373,0.547,0.452,-0.349,-0.115,0.507,0.022,0.128,-0.259,0.203,0.105,0.323,0.453,0.382,0.508,0.909,0.344,-0.288,0.473,0.173,0.739,-0.111,0.601,0.064,0.405,0,0.338,0.652,0.323,0.096,1.79,0.731,0.537,0.759,1.078,1,0.651,1.203,0.822,0.774,-0.101,0.534,1.65,0.946,0.868,0.924,0.626,0.591,1.584,1.171,1.268,1.8
"5","Middle Africa","May",0.456,-0.411,-0.262,-0.048,-0.34,0.046,-0.033,-0.298,0.387,0.232,0.155,0.282,0.26,-0.419,0.229,-0.203,0.481,-0.075,0.206,0.278,-0.071,-0.182,0.83,0.42,0.196,0.564,0.916,0.337,-0.521,0.479,0.067,-0.233,0.208,0.487,0.625,-0.053,-0.255,1.285,0.19,0.662,0.61,1.181,0.696,0.695,0.541,0.124,1.148,0.79,0.874,1.666,1.274,0.442,0.661,0.703,1.262,1.231,1.183,0.883,1.244
"6","Middle Africa","June",0,-0.183,0.229,-0.28,0.013,0.056,0.138,-0.549,0.395,0.415,0.156,-0.058,0.533,0.035,0.177,-0.214,0.274,-0.129,0.24,0.159,0.319,0.104,0.581,0.555,0.226,0.323,0.594,0.446,0.237,1.064,1.062,0.131,0.327,0.35,0.876,0.368,1.237,0.98,0.991,0.738,0.534,0.708,0.476,0.324,0.446,1.193,0.6,0.595,1.294,1.163,1.07,0.619,0.98,1.306,1.109,1.143,1.142,1.381,1.458
"7","Middle Africa","July",-0.167,0.169,0.21,-0.585,0.04,0.522,-0.241,-0.145,0.243,0.268,0.088,0.661,0.562,-0.332,-0.084,-0.146,0.419,-0.214,0.338,0.029,-0.099,0.471,0.653,0.555,0.139,0.162,1.101,0.19,-0.079,0.442,0.146,-0.705,0.716,0.26,0.994,0.448,0.793,1.203,0.466,0.278,0.375,1.135,0.654,0.742,0.757,1.332,0.854,0.674,0.972,0.946,1.072,0.646,0.729,1.363,1.875,1.281,1.232,1.5,1.658
"8","Middle Africa","August",-0.511,-0.258,0.17,-0.416,-0.07,0.258,-0.231,0.301,0.366,0.128,-0.176,0.272,0.319,0.177,-0.362,-0.204,0.234,0.28,0.438,0.261,0.62,0.037,0.212,0.676,0.518,0.572,0.637,0.31,0.792,0.565,0.26,-0.454,0.773,0.216,0.97,0.548,0.963,0.74,0.28,0.282,0.324,0.939,0.907,0.893,0.952,0.725,0.592,0.813,0.94,0.85,0.793,0.524,0.351,0.512,1.306,1.332,0.927,1.167,1.332
"9","Middle Africa","September",-0.301,-0.171,0.44,-0.441,-0.006,-0.017,-0.252,0.05,0.175,-0.094,-0.313,0.503,0.383,-0.227,-0.316,0.258,0.52,-0.039,0.568,0.458,-0.071,0.07,0.06,0.239,0.165,0.274,0.599,-0.012,-0.178,0.069,0.077,-0.229,0.297,0.283,0.166,0.242,1.294,0.628,-0.083,0.648,0.312,0.833,0.762,0.659,0.904,0.602,0.623,0.792,0.913,1.025,0.361,0.429,0.596,0.289,0.787,1.353,1.126,1.221,1.22
"10","Middle Africa","October",-0.369,0.008,0.188,-0.601,-0.04,0.124,-0.249,0.064,0.077,-0.016,-0.186,0.24,0.337,0.035,-0.262,0.198,0.093,0.159,0.566,0.352,0.356,-0.506,-0.089,0.651,0.276,-0.136,0.176,-0.224,0.016,0.364,-0.378,-0.094,0.396,-0.07,0.207,0.096,0.664,0.664,-0.098,0.139,0.088,0.347,0.788,0.695,0.52,0.638,0.401,0.772,0.482,1.037,0.332,0.413,0.705,0.473,1.483,1.606,1.117,1.424,0.849
"11","Middle Africa","November",-0.494,0.474,-0.298,-0.353,-0.151,0.355,-0.529,0.039,0.135,-0.05,-0.242,-0.146,-0.268,0.005,0.068,-0.127,0.054,-0.252,0.566,0.278,-0.3,-0.631,0.058,-0.133,0.724,0.081,0.828,-0.121,0.759,0.81,0.044,-0.492,0.788,-0.315,0.199,0.071,1.082,0.806,0.531,0.642,0.27,0.777,1.107,0.909,1.079,0.166,0.635,0.852,0.795,0.962,0.38,0.831,0.788,0.913,1.324,1.718,1.083,1.548,1.964
"12","Middle Africa","December",-0.618,0.317,0.226,-0.238,-0.106,-0.117,0.208,0.159,0.506,-0.343,-0.847,0.644,0.062,-0.62,-0.474,0.287,-0.236,0.359,-0.095,-0.167,0.706,0.163,-0.085,-0.147,0.14,-0.402,0.621,-0.199,-0.113,1.262,-0.33,-0.356,0.769,-0.046,0.101,0.159,0.682,0.766,0.366,0.016,0.961,0.458,0.679,0.898,1.267,0.029,0.671,1.279,0.806,0.499,-0.201,0.777,0.794,1.035,0.347,1.465,1.506,1.167,1.415
