"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Midway Island","January",0.412,0.062,0.792,2.132,-1.088,0.952,2.242,-0.408,-1.018,-0.688,-1.238,NA,-0.788,0.172,-0.288,-0.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Midway Island","February",1.648,0.132,-0.057,1.903,0.023,-0.417,-0.167,-1.187,0.213,-0.677,0.773,NA,-0.608,2.493,0.041,-1.577,NA,-0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Midway Island","March",0.531,0.211,0.601,0.791,-0.234,0.971,-1.629,-1.019,-0.174,0.962,0.642,NA,2.731,-0.944,0.272,-0.089,-1.46,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Midway Island","April",-2.038,-0.378,0.187,-0.703,-0.431,0.527,0.827,-0.783,0.857,1.007,2.007,NA,0.365,-1.078,0.347,-0.343,-0.422,-0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Midway Island","May",-1.336,-0.696,0.914,0.204,-1.329,-1.216,-0.356,0.284,1.414,-0.776,1.149,NA,0.305,-0.227,0.131,0.351,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Midway Island","June",-0.034,-1.139,1.046,-0.174,-0.354,-0.516,-0.244,0.166,-0.874,1.326,-0.534,NA,0.721,-0.444,0.244,-1.246,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Midway Island","July",0.153,-0.152,-0.002,0.268,-0.052,-0.372,-0.182,1.038,0.108,0.328,-0.812,NA,0.438,-0.192,0.495,-0.635,-0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Midway Island","August",0.227,0.697,0.307,-0.063,0.247,-0.123,0.617,1.407,-0.593,0.062,-0.593,NA,-0.517,-0.273,-0.39,-0.16,-0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Midway Island","September",0.74,1.13,1.26,0.55,-0.531,0.27,1.32,0.57,-0.79,-0.88,-0.56,NA,-0.696,-0.505,-1.111,-0.14,-1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Midway Island","October",0.239,0.839,1.809,1.099,0.669,0.039,1.829,-0.641,-0.841,-0.731,-0.691,NA,-0.941,0.189,0.299,-0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Midway Island","November",0.992,1.297,1.252,0.192,-0.549,-0.308,1.822,-2.008,-1.338,-0.418,-0.288,NA,0.087,2.321,0.862,-0.999,-1.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Midway Island","December",1.067,0.547,-0.478,-1.098,-0.443,0.873,0.641,-0.023,-0.438,1.447,-2.308,NA,0.222,0.773,-0.157,NA,-1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
