"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Monaco","January",-0.699,1.729,-2.977,-0.278,0.217,-1.121,-0.251,-0.285,-0.173,0.701,-0.412,0.286,0.625,2.034,1.99,1.123,0.395,0.069,-1.352,-0.471,-0.694,1.561,1.865,0.097,-3.605,-0.161,-1.108,2.286,1.423,1.066,0.59,0.946,1.53,1.574,0.183,1.873,1.605,1.61,1.293,0.556,1.421,0.373,0.924,0.537,0.378,-0.262,3.236,2.064,0.258,-1.072,0.724,1.599,0.565,2.381,2.004,2.014,0.49,3.365,0.57
"2","Monaco","February",2.331,-0.34,-3.32,0.528,-1.945,2.514,0.129,0.599,-2.282,-0.008,0.606,1.148,-0.145,1.394,0.534,0.986,1.656,-1.032,0.516,1.508,-1.216,-0.245,-2.109,-1.55,-0.113,-2.798,-0.337,0.661,1.865,3.779,-1.686,0.992,0.372,0.073,2.302,-1.018,2.413,2.742,-0.266,2.313,1.725,2.111,-1.194,0.702,-1.545,0.071,2.571,1.396,0.144,-0.619,0.989,-2.299,-1.354,1.636,0.398,1.911,2.551,-0.938,2.106
"3","Monaco","March",1.974,-2.223,-0.753,-0.307,-0.406,0.14,1.605,0.794,-0.318,-1.538,-2.73,1.291,-0.256,0.746,-0.88,-0.81,1.645,0.895,0.496,-0.131,1.275,-0.645,0.418,-1.02,-0.932,0.033,-1.811,0.234,2.539,2.372,2.339,1.071,-0.197,2.835,-0.09,-0.292,3.121,1.237,1.328,1.547,2.475,2.571,1.444,0.169,0.054,0.204,1.81,0.855,1.07,0.065,0.999,2.657,-0.015,2.018,1.717,0.979,2.793,0.046,2.444
"4","Monaco","April",2.175,0.187,0.146,0.677,-0.062,1.214,0.04,1.052,-0.179,-0.717,1.375,0.065,-1.532,-0.192,0.024,-0.566,-0.134,-1.378,-1.038,-1.146,0.952,-0.326,-0.272,-0.495,0.596,-0.97,0.461,0.525,-0.459,-0.277,-0.705,0.382,0.354,-0.331,0.452,0.813,0.555,-0.139,0.615,0.546,0.298,1.019,0.591,0.42,0.236,1.767,3.816,0.395,1.696,1.349,2.686,0.86,1.05,2.162,1.218,2.046,1.588,2.883,0.973
"5","Monaco","May",-0.2,-0.878,0.277,1.522,-0.134,0.909,0.324,-0.027,0.494,-0.834,0.231,-0.817,0.405,-0.502,-0.416,0.723,-0.94,-1.216,0.284,-1.82,-0.668,0.407,-0.605,-2.847,-0.828,2.451,-1.224,0.864,1.453,1.903,-1.757,2.259,1.278,1.155,0.347,0.484,1.437,1.737,2.12,2.825,2.08,0.504,2.799,-0.156,2.226,1.553,2.378,1.549,2.997,0.113,2.99,0.836,-0.623,0.719,1.869,0.806,1.776,2.019,-0.363
"6","Monaco","June",0.426,-0.054,-0.454,1.813,-0.133,1.166,-0.633,-0.456,-1.539,0.961,-1.125,-0.769,0.661,-0.179,-1.039,1.5,-0.874,-0.801,1.346,-1.349,0.689,1.482,0.481,-0.977,-0.343,0.249,-0.449,-0.375,0.084,0.602,-0.296,-0.901,1.662,0.769,-0.47,1.501,0.365,1.501,1.146,2.332,1.333,2.423,4.97,1.711,2.768,1.716,1.423,1.46,1.881,1.086,1.215,2.409,0.358,2.224,2.968,1.163,3.823,2.42,3.307
"7","Monaco","July",-0.198,-0.205,0.969,1.258,-0.621,-1.443,1.437,0.046,-0.119,-0.02,0.914,-0.125,0.254,-0.172,0.405,0.661,-0.988,-1.174,0.216,-2.032,-1.084,1.921,2.615,0.14,1.371,0.382,1.023,0.837,1.375,0.964,1.651,0.251,-0.486,2.961,2.262,0.003,-0.018,1.48,1.587,-0.496,0.894,0.431,2.709,0.773,1.431,3.882,0.834,1.042,1.499,3.165,-0.081,1.406,2.223,0.11,4.224,1.734,2.124,2.741,3.132
"8","Monaco","August",0.385,1.313,-0.899,0.558,-0.756,-1.121,0.566,-1.576,-0.074,0.436,1.882,-0.998,1.423,1.192,0.588,-1.206,-1.614,-0.54,-0.216,0.882,0.747,0.521,0.566,-0.585,0.277,1.022,1.261,1.456,1.424,1.435,2.269,2.437,1.892,3.058,0.807,0.177,1.574,1.919,1.642,1.563,2.421,0.311,5.054,1.418,0.737,0.101,0.369,1.637,3.017,0.847,1.624,2.929,2.106,0.44,2.263,1.987,2.901,3.597,3.165
"9","Monaco","September",2.447,0.484,-0.327,0.628,-1.886,0.466,-0.459,-0.801,0.03,1.497,-0.068,-2.862,1.084,-0.439,0.868,-1.973,-1.207,0.156,-0.233,0.888,0.553,1.883,0.956,-1.428,2.023,0.628,2.67,0.146,0.066,0.704,1.963,0.426,-0.451,-0.219,-1.375,-1.927,1.756,-0.13,1.705,1.193,-1.382,-0.23,0.868,1.51,0.712,1.478,0.059,0.036,1.945,0.12,2.563,1.047,1.09,1.748,1.027,2.777,-0.289,2.9,2.314
"10","Monaco","October",0.839,0.568,0.204,-0.883,0.564,1.493,1.667,1.058,1.661,0.126,0.644,-0.848,-0.006,-4.077,-0.581,-0.459,1.401,-0.025,0.058,-0.522,0.081,-0.349,0.604,0.073,1.713,1.881,1.148,1.892,0.27,1.685,-0.779,-1.124,-0.3,0.118,1.921,0.097,1.413,0.057,0.943,0.955,3.011,0.869,-0.716,1.795,1.071,2.517,0.712,1.326,1.18,0.089,1.566,1.431,2.151,3.005,0.496,1.036,2.096,2.488,2.734
