"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mongolia","January",-0.077,-0.116,1.806,0.946,2.094,1.024,-0.684,-2.484,-5.157,1.187,1.778,1.092,2.367,1.417,2.757,2.704,-4.605,1.424,1.867,0.346,-1.005,2.324,2.064,-1.264,1.115,2.322,2.199,0.785,2.763,-0.023,1.325,2.995,-0.293,2.482,2.108,0.365,1.73,0.091,2.891,-2.229,-1.182,4.596,1.907,1.625,-1.058,1.356,3.059,-2.226,1.386,-1.281,-4.504,-2.62,0.904,4.27,5.151,-1.655,2.169,-1.039,3.058
"2","Mongolia","February",2.362,1.193,3.079,-7.309,1.806,3.63,-0.416,-4.722,-5.094,1.219,-0.792,-2.361,0.903,-0.801,1.733,5.049,-0.028,0.679,5.483,0.852,0.297,2.592,0.48,-2.923,-0.133,0.83,2.636,-1.511,2.324,3.609,2.254,2.936,4.829,2.867,4.346,1.295,2.795,6.816,5.244,0.828,1.075,5.269,2.768,5.03,-5.171,2.343,7.655,0.352,2.444,-2.065,2.982,-1.414,-0.465,-0.189,4.396,1.977,4.291,1.781,0.103
"3","Mongolia","March",1.057,0.547,4.666,-0.003,1.062,0.663,1.351,1.514,-0.301,-5.024,-2.174,2.064,1.585,-1.654,2.44,-1.239,1.36,1.171,0.553,-2.312,2.831,1.117,1.444,-1.212,-3.078,1.533,-1.977,-2.126,2.448,4.579,-0.097,0.919,3.575,0.645,1.925,-0.225,5.301,2.812,-2.56,2.869,1.963,3.459,0.321,1.169,1.268,2.517,1.488,5.807,2.015,-2.128,-0.438,0.28,4.407,3.534,2.928,4.232,2.405,6.984,4.527
"4","Mongolia","April",3.176,-0.698,-2.138,1.334,-0.176,-1.364,0.704,0.351,0.725,0.08,1.266,1.616,1.149,1.763,-0.777,-0.97,0.485,1.943,-1.335,-2.134,3.533,2.705,-1.455,-0.518,1.184,-0.597,2.251,0.45,2.712,-0.392,-0.631,1.751,-0.871,2.704,-0.239,0.337,3.745,4.017,2.357,2.18,1.522,0.652,1.157,4.104,2.431,0.11,2.604,3.37,4.957,-2.78,3.388,2.452,1.238,4.496,3.083,3.137,4.087,3.795,3.827
"5","Mongolia","May",-0.53,0.196,0.809,0.998,1.362,0.032,2.731,0.163,0.146,-0.113,0.036,1.207,-1.3,0.432,-0.619,-0.862,-1.095,0.107,0.833,0.433,0.53,0.349,1.144,1.521,0.367,2.575,0.234,-0.485,1.39,1.31,0.429,2.041,-0.416,1.127,-1.577,1.503,1.993,0.843,2.086,2.611,1.681,1.872,0.473,1.51,0.494,-0.226,2.455,0.271,2.338,0.914,-0.349,1.682,2.014,-0.02,0.639,0.011,3.693,2.628,-0.036
"6","Mongolia","June",-0.833,-0.367,-0.447,0.217,0.888,-0.208,-0.747,0.941,0.385,0.283,-1.208,0.467,0.537,-0.417,-0.315,-0.787,-0.122,0.972,1.049,0.667,0.774,0.143,-1.832,-0.344,-0.396,0.914,-1.557,0.226,-0.621,-0.913,0.227,-0.353,-0.444,1.029,-0.339,-1.073,0.863,-0.265,0.783,2.595,2.478,2.034,1.204,1.752,1.294,0.377,2.54,1.282,-0.093,2.687,1.923,1.055,0.155,0.054,0.218,0.399,2.717,2.608,1.552
"7","Mongolia","July",-0.13,-0.322,-0.157,-0.081,-0.511,-1.022,0.059,1.398,0.368,1.091,-0.621,-0.052,-0.493,0.626,-0.328,-0.691,0.112,-0.368,-0.032,1.401,1.604,-0.088,-0.488,-0.838,-0.543,0.032,0.133,0.434,0.011,0.171,0.957,0.597,-0.619,0.525,0.726,1.166,0.849,0.881,2.891,2.603,2.164,3.039,0.252,1.734,2.68,0.845,3.212,2.12,1.454,3.054,0.779,1.214,0.674,1.347,2.251,3.034,3.292,1.41,1.698
"8","Mongolia","August",-1.04,0.531,0.909,0.516,-0.105,0.088,-0.402,-1.274,-1.799,0.553,-0.065,-0.082,-0.955,1.231,1.118,-1.45,0.906,-0.319,-0.616,0.741,-1.206,0.015,0.135,-1.027,-0.261,0.062,0.094,0.765,0.574,-0.458,1.977,-0.399,-0.951,0.158,0.848,-0.006,0.831,0.808,1.16,1.194,2.258,3.267,-0.814,0.312,2.039,1.82,2.217,1.613,0.984,0.488,2.336,0.747,1.01,0.924,2.456,2.437,0.945,2.001,1.353
"9","Mongolia","September",0.163,0.575,-0.409,-0.68,0.086,1.774,-0.655,-2.093,-0.998,-1.55,-0.727,-0.95,1.409,-0.842,1.057,0.636,1.709,1.333,-0.511,0.229,0.606,0.354,0.006,0.273,-1.139,0.85,1.011,1.613,-0.257,0.199,0.484,-1.332,0.612,-0.44,0.827,0.553,-0.257,2.459,0.133,2.157,2.2,1.249,1.436,0.397,1.475,1.827,3.163,1.691,0.834,2.233,-0.708,1.407,0.813,0.665,1.012,2.785,1.7,0.07,4.561
"10","Mongolia","October",-1.666,0.275,-0.391,-2.232,1.85,0.869,0.811,-0.927,0.677,0.053,0.559,-0.827,-0.653,-2.491,0.496,-0.066,1.623,-0.37,3.077,-0.935,-3.34,2.606,1.606,0.737,1.233,-0.734,-1.652,1.004,2.113,4.027,1.518,-0.854,0.667,-0.197,1.807,0.208,1.364,2.321,0.57,-2.311,2.065,-1.453,0.735,1.264,2.075,2.586,-0.201,1.789,1.195,1.252,2.63,0.246,1.338,2.501,2.508,-1.12,0.736,2.058,1.597
