"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Morocco","January",-1.419,0.684,0.819,-0.671,-1.169,1.96,-0.147,-1.125,1.346,1.398,0.211,-1.182,-0.918,0.29,0.221,-1.618,0.327,0.353,2.194,-0.111,-0.763,0.658,-0.532,-0.522,-0.924,0.075,1.24,0.623,-1.266,-0.761,-0.502,-0.744,-1.325,-0.082,0.525,2.535,1.847,1.256,0.092,-1.379,1.574,1.687,0.434,1.147,-1.088,-0.825,0.794,1.44,-0.244,2.137,1.808,0.013,1.092,1.341,0.06,3.277,-0.54,0.59,0.501
"2","Morocco","February",1.922,-1.481,-0.538,0.334,-1.053,2.193,-0.614,-0.908,1.111,0.306,-0.545,-1.473,-1.254,-0.677,0.454,-0.728,0.861,1.705,1.159,0.674,-1,0.513,-0.137,-0.459,1.89,0.17,0.664,0.077,0.039,2.384,-1.963,0.449,-0.584,0.042,1.527,-0.441,2.338,2.471,-1.445,1.338,0.707,1.981,-0.163,0.99,-1.959,-0.804,2.241,2.072,0.379,3.185,0.016,-2.28,0.197,0.842,-0.813,1.253,1.446,-1.032,0.561
"3","Morocco","March",1.879,-0.459,0.347,0.692,1.191,-0.067,1.262,-1.305,1.184,-0.817,-1.651,-1.98,-0.436,-1.882,-0.753,-1.225,1.889,0.279,-0.407,0.226,2.505,1.019,3.06,-0.701,-0.327,-0.519,1.682,0.764,0.982,2.374,-0.521,-0.276,0.479,0.869,0.761,0.451,1.966,2.465,0.214,2.415,3.542,1.268,2.443,0.854,2.211,1.905,0.783,2.046,1.697,2.648,0.434,1.674,1.938,1.064,0.495,0.08,1.68,1.337,1.704
"4","Morocco","April",1.769,0.666,0.522,-0.868,-0.342,1.598,-0.931,-0.216,-1.188,0.474,-1.203,-0.494,0.869,-2.347,-0.704,-1.795,1.822,-0.275,0.228,1.363,-0.029,-0.156,1.5,2.866,1.436,-1.136,3.34,1.592,-0.342,-0.011,0,1.32,1.016,0.774,0.46,1.715,1.961,1.625,3.071,0.812,3.118,0.671,1.85,1.021,3.07,3.376,0.624,3.403,0.747,3.958,3.485,0.094,2.667,3.49,2.826,2.539,4.046,1.138,1.377
"5","Morocco","May",1.839,1.004,-1.76,2.603,1.885,1.173,-0.106,-0.12,-0.168,0.085,-2.96,-1.868,1.564,0.964,-1.938,-1.689,-0.788,-1.373,0.542,-0.272,0.288,0.619,-0.136,-2.826,-0.985,2.403,1.255,-0.27,0.77,1.139,-0.455,1.204,0.754,1.656,3.43,0.865,1.131,-0.345,3.248,1.143,1.161,1.127,2.694,-0.994,3.781,3.093,0.885,0.489,2.049,1.095,2.332,3.406,0.707,3.457,3.73,1.966,3.934,-0.323,3.709
"6","Morocco","June",-0.304,0.158,0.337,0.572,1.247,0.814,-0.008,0.386,-0.688,-0.466,-0.632,-1.612,-0.177,-0.027,-1.011,0.863,-1.374,-1.304,0.243,1.204,1.579,1.723,1.837,0.568,1.594,-0.304,1.555,-0.705,0.75,1.184,1.688,-1.879,2.357,2.917,0.936,1.942,0.818,2.428,3.054,3.536,3.684,1.92,3.617,3.061,3.711,1.801,1.528,2.745,2.689,1.178,3.499,4.19,1.873,1.543,1.903,2.739,4.628,0.683,1.591
"7","Morocco","July",1.206,0.267,0.059,0.291,-0.823,-1.059,0.791,0.297,0.175,0.768,-0.604,-1.515,-0.362,0.691,1.302,-1.444,-1.926,0.92,0.247,0.543,0.151,0.018,-0.554,1.521,1.324,0.703,-0.492,1.792,1.257,1.022,1.315,0.069,1.495,2.306,0.574,0.969,-0.453,1.813,1.9,1.723,1.475,0.409,2.434,1.772,1.662,2.348,2.154,2.151,2.717,2.563,1.391,2.503,1.645,0.716,1.878,2.354,2.138,1.946,1.267
"8","Morocco","August",0.756,1.321,-0.005,-0.16,-0.59,0.307,0.704,-0.884,-0.206,0.065,-0.817,-1.519,0.754,0.428,0.291,0.214,-1.51,-0.401,0.356,1.199,-1.06,-0.37,-0.714,-0.158,1.056,0.453,0.354,1.905,1.315,1.834,1.354,0.71,0.248,1.347,1.075,-0.084,-0.426,1.543,1.402,1.413,1.195,-0.407,1.728,1.455,1.747,1.172,0.776,1.751,1.763,2.483,1.991,2.84,1.674,1.557,1.112,2.395,2.297,1.134,2.038
"9","Morocco","September",0.608,1,-1.015,1.719,-1.69,0.681,-0.464,0.744,-1.789,0.94,-0.395,-2.383,0.78,-0.489,-0.548,-1.246,-0.061,1.681,-0.34,1.475,0.657,-0.079,1.594,1.01,1.469,1.147,2.328,1.724,1.098,1.889,0.97,1.105,-1.075,0.291,-0.264,-0.425,1.065,1.311,0.761,0.967,0.849,0.951,2.22,1.736,1.058,1.195,1.06,0.544,-0.556,2.291,2.122,1.223,0.522,1.788,0.613,1.777,1.961,1.601,1.755
"10","Morocco","October",0.009,1.123,1.085,0.466,-0.363,-0.907,0.391,1.629,-0.841,-0.902,1.405,-0.246,-0.282,-1.558,0.413,-0.413,-0.337,0.009,-0.608,0.463,1.968,-0.199,2.464,0.144,1.486,0.003,0.654,0.842,2.136,1.275,-1.105,-0.648,-0.747,0.591,1.95,0.833,2.081,0.736,1.76,-0.651,3.316,2.276,1.16,2.612,2.209,2.955,1.466,-0.492,3.02,0.698,1.94,1.942,3.137,3.605,2.391,2.744,3.183,0.982,2.339
