"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Mozambique","January",0.192,-0.331,-0.569,-0.052,-0.664,0.564,0.228,0.33,0.59,0.285,-0.219,-0.13,0.628,-0.002,-0.001,-0.304,0.882,0.448,-0.252,0.057,1.01,0.39,1.319,0.381,0.379,-0.197,0.317,0.903,-0.345,0.276,0.501,0.729,0.066,-0.351,0.152,0.331,0.38,0.95,0.524,-0.068,0.282,0.553,0.713,0.831,1.067,0.706,0.174,0.324,1.231,1.231,0.697,0.106,0.567,0.522,0.56,0.956,0.856,-0.306,0.899
"2","Mozambique","February",0.005,-0.07,-0.729,0.363,-0.049,0.05,-0.129,-0.473,0.698,-0.097,-0.646,-0.737,0.385,-0.195,-0.304,-0.245,0.487,0.471,0.201,0.825,0.115,0.11,0.862,-0.115,-0.232,-0.006,1.142,0.232,-0.411,-0.03,0.758,1.423,-0.296,-0.736,-0.06,-0.294,-0.4,1.108,-0.092,0.351,-0.142,0.204,0.752,0.043,1.147,1.134,0.237,0.072,0.467,0.744,0.135,0.946,0.239,0.475,0.605,1.441,0.712,0.639,0.627
"3","Mozambique","March",0.71,0.011,-0.717,0.833,-0.359,-0.267,0.053,-0.583,0.466,-0.151,0.411,-0.274,1.084,-0.209,-0.618,0.1,-0.068,0.547,0.291,0.039,0.079,0.3,1.05,0.121,0.406,0.383,1.156,0.872,0.276,0.308,0.44,1.041,-0.542,0.345,0.504,-0.643,0.595,1.745,0.339,0.852,0.436,0.949,0.703,0.426,0.771,0.561,0.877,-0.124,0.329,1.19,0.964,0.894,0.354,1.17,0.732,2.331,0.313,1.142,1.015
"4","Mozambique","April",0.971,0.351,-0.559,-0.107,-0.605,-0.208,0.481,-0.691,0.486,-0.637,0.753,0.178,-0.404,-0.95,-0.052,-0.216,-0.051,-0.027,0.241,0.386,-0.502,0.005,1.284,-0.131,-0.38,0.481,0.937,1.176,-0.139,0.513,-0.436,1.184,0.703,0.198,0.486,-0.923,-0.699,0.878,-0.026,0.261,0.578,0.5,0.518,0.163,0.733,0.394,0.507,-0.797,-0.349,1.365,0.668,-0.51,-0.076,0.159,0.467,1.123,0.16,0.776,1.103
"5","Mozambique","May",1.387,-1.173,-1.146,-0.523,-0.703,0.126,0.489,-0.067,-0.225,0.153,-0.605,0.153,0.061,-0.449,0.514,-0.657,0.737,-0.013,-0.048,0.237,-0.955,-0.517,1.665,0.853,-0.368,0.079,1.356,0.2,0.36,0.391,0.06,1.385,1.073,0.135,0.074,0.203,-0.628,0.96,0.473,-0.124,0.379,0.564,0.605,-0.633,0.791,0.025,0.286,0.348,0.66,1.263,1.29,0.476,0.296,0.914,0.971,-0.003,0.746,1.375,0.867
"6","Mozambique","June",1.014,0.769,-0.573,-0.293,-0.879,0.627,1.019,-1.436,0.37,0.565,-0.379,-0.852,-0.014,-0.302,0.032,0.098,0.571,-0.156,0.041,-0.571,-0.586,0.449,1.439,0.158,-0.171,-0.242,-0.213,0.777,0.438,1.337,0.248,1.218,0.529,0.267,0.217,-0.173,1.619,0.958,0.875,1.067,0.44,0.202,0.548,-0.244,1.613,0.395,1.047,0.118,1.559,0.928,1.121,0.898,1.188,0.932,1.136,0.989,1.503,1.047,0.983
"7","Mozambique","July",0.634,0.249,0.257,-1.028,-0.097,0.787,-0.285,0.271,0.334,0.787,0.392,-0.382,-0.169,-0.064,0.17,-0.247,0.385,-0.617,-0.121,-0.644,-0.343,0.517,1.07,0.732,0.285,0.017,0.181,0.9,0.464,1.083,0.44,0.667,0.824,-0.161,0.688,-0.017,0.365,0.923,0.745,0.034,0.262,1.521,-0.11,-0.12,0.919,0.658,0.492,0.765,0.245,0.652,0.396,0.685,0.489,0.85,1.864,1.099,1.365,0.369,1.249
"8","Mozambique","August",-0.626,0.556,-0.353,-0.53,0.093,0.36,-0.379,0.31,0.234,0.856,0.215,-0.499,-0.326,0.214,-0.503,-1.087,0.151,1.565,0.298,-0.408,-0.175,0.056,-0.511,-0.256,-0.071,0.47,0.601,0.351,0.827,-0.206,0.283,-0.455,-0.105,-0.25,1.175,0.195,0.597,0.505,0.361,-0.4,1.182,0.979,0.039,0.99,1.456,0.496,0.668,0.684,0.082,-0.415,0.403,1.378,0.932,1.13,0.845,0.762,0.802,2.188,1.776
"9","Mozambique","September",0.344,0.223,0.356,-0.435,-0.487,0.312,-0.468,-0.324,-0.385,1.096,-0.086,0.279,0.521,-0.947,-0.227,-0.004,0.58,0.826,0.402,0.116,-0.446,-0.686,0.931,0.426,0.369,-0.003,0.915,0.268,0.151,-0.36,0.88,0.665,0.446,0.19,0.833,0.712,0.666,0.621,-0.122,0.233,0.588,0.2,0.576,-0.05,0.831,-0.016,1.046,1.009,1.124,0.926,0.906,1.345,1.184,0.764,1.233,1.587,1.024,2.051,0.718
"10","Mozambique","October",0.263,0.614,0.218,0.193,-1.461,-0.804,0.162,0.076,0.691,-0.402,-0.735,-0.08,0.037,-0.336,-1.074,-0.479,0.677,0.425,0.719,-0.49,-1.803,-0.685,-0.629,0.229,-0.144,-0.207,-0.888,0.061,-0.307,-0.001,-0.166,0.752,0.279,-0.934,1.81,0.563,-0.862,0.476,-1.164,-0.074,0.109,0.285,0.66,0.027,0.652,0.895,0.305,0.641,0.678,1.294,0.588,1.259,-0.691,-0.006,1.627,0.794,0.915,-0.471,1.792
"11","Mozambique","November",-0.793,0.381,-0.408,0.055,-0.207,-0.019,-0.168,-1.275,0.406,0.421,-0.893,-0.939,-0.243,0.173,-0.063,1.057,0.221,-0.209,-0.091,0.996,0.526,-0.199,1.069,-0.751,-0.647,-0.292,0.948,-1.07,-0.004,0.387,-0.123,0.683,-0.501,1.143,0.912,1.514,0.602,0.706,0.861,0.048,0.918,-0.291,0.817,0.894,1.48,0.466,1.113,0.858,0.108,1.542,0.851,0.414,0.745,0.75,1.25,1.726,-0.17,-0.014,2.062
"12","Mozambique","December",-0.692,-0.166,-0.13,-0.812,0.164,0.375,-0.681,-0.16,-0.263,0.223,-0.081,0.957,-0.456,-0.261,0.054,0.806,0.745,-0.638,0.016,0.341,-0.102,0.704,0.412,0.064,-0.051,0.075,1.619,-0.51,0.186,0.285,-0.374,0.888,0.85,0.437,0.111,0.464,0.645,0.5,1.336,0.371,0.78,0.501,1.264,0.612,0.905,1.184,0.41,0.74,1.309,0.913,0.774,0.675,0.393,0.682,2.091,1.435,0.194,1.047,0.959
