"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Myanmar","January",0.636,-0.288,-0.746,0.085,-0.448,1.001,0.936,-0.084,0.019,0.041,-0.334,-0.06,0.576,-1.045,0.655,-1.048,0.034,-0.087,0.977,-0.12,0.37,0.109,-0.525,0.227,0.725,0.106,0.814,0.791,0.523,0.796,1.081,-0.41,-0.43,1.527,1.01,0.594,-0.468,1.24,1.698,0.925,1.082,0.785,0.548,1.037,0.966,1.204,0.934,1.021,0.917,1.618,0.696,0.81,0.798,0.58,1.219,0.523,2.129,1.273,1.515
"2","Myanmar","February",0.174,-0.252,0.116,0.313,-0.193,0.857,0.226,-0.89,-0.015,0.047,-0.556,-0.417,1.088,-0.166,0.427,-0.14,-0.148,0.254,0.826,-0.061,0.524,-0.001,-0.408,1.155,0.079,0.542,0.499,1.322,-0.043,0.834,1.104,-0.999,-0.089,0.954,0.022,0.212,-0.635,1.137,2.707,0.674,1.45,1.568,1.145,0.856,2.039,1.933,0.155,0.093,1.722,1.328,1.036,1.147,2.249,0.888,0.845,1.553,1.699,1.251,1.762
"3","Myanmar","March",-0.019,-0.451,-0.201,0.23,-0.962,0.154,-0.699,0.026,0.541,0.201,0.142,-0.095,0.481,-0.433,1.002,0.276,0.465,-0.072,0.455,0.603,0.045,0.137,-0.2,0.12,0.741,-0.384,-0.242,0.765,0.372,0.124,1.615,0.297,-0.122,0.165,0.883,0.841,0.444,1.102,1.439,-0.263,0.88,0.849,-0.085,1.539,0.755,1.518,0.754,0.328,0.892,1.54,-0.194,0.965,1.358,0.976,1.511,2.071,1.064,1.5,0.784
"4","Myanmar","April",0.118,0.089,-0.737,-0.176,-0.284,0.489,-0.618,-0.846,0.301,-0.058,-0.421,-0.946,0.875,-0.613,0.186,-0.316,-0.877,0.178,0.857,1.321,-0.392,-0.674,0.19,0.437,0.489,0.031,-0.082,0.208,0.37,-0.055,0.484,0.985,-0.038,0.313,1.092,0.141,-1.139,0.88,0.935,-0.2,1.346,0.469,0.768,0.353,0.702,0.188,0.598,0.617,0.7,1.597,-0.256,0.396,1.083,1.318,0.532,2.2,0.236,0.912,1.781
"5","Myanmar","May",-0.142,0.099,0.112,-0.476,0.251,0.511,-0.268,-0.528,0.792,-0.227,-0.326,0.442,-0.476,-0.455,-0.71,-0.729,-0.673,0.01,1.258,0.595,-0.189,0.508,0.948,-0.174,-0.221,-0.195,0.982,0.008,0.577,-0.275,0.193,0.63,0.025,0.495,0.653,-0.151,0.785,1.336,-0.707,-0.664,-0.614,-0.364,0.194,-0.128,0.661,-0.515,-0.466,-0.263,0.196,1.733,0.027,1.143,0.392,1.146,1.526,1.316,0.441,0.335,2.14
"6","Myanmar","June",-0.035,-0.15,0.09,-0.032,-0.199,-0.378,0.06,-0.441,0.129,0.262,-0.329,0.354,0.243,-0.271,-0.174,-0.313,0.353,0.166,0.641,0.087,-0.198,-0.049,0.663,-0.296,-0.18,0.576,0.664,0.072,0.077,0.115,0.068,0.906,0.565,0.292,0.694,0.31,0.597,1.256,0.408,0.139,0.141,0.805,0.183,0.204,1.079,0.543,0.821,0.247,0.545,1.162,0.559,0.685,0.97,1.344,1.394,0.869,1.168,0.492,1.717
"7","Myanmar","July",-0.191,0.484,-0.095,-0.222,0.005,0.229,0.045,0.235,0.192,-0.238,-0.438,0.131,0.31,-0.428,-0.196,-0.232,0.259,-0.061,0.569,0.195,0.147,0.186,0.848,-0.014,-0.307,-0.003,0.532,0.331,0.304,0.147,0.451,-0.029,0.823,0.259,0.331,0.218,0.291,0.784,0.481,0.438,0.391,0.524,0.701,0.138,0.918,0.733,0.352,0.248,0.718,1.122,0.799,0.428,0.691,0.894,0.964,0.474,0.825,0.812,1.129
"8","Myanmar","August",-0.167,0.082,0.064,0.136,-0.141,0.051,-0.041,0.084,-0.245,0.088,-0.573,-0.105,-0.055,0.048,0.161,-0.422,0.389,0.301,0.118,0.251,0.418,-0.04,0.397,0.153,0.038,0.382,0.325,0.35,0.27,0.715,0.223,0.479,0.081,0.191,0.5,0.2,0.555,0.728,0.121,0.608,0.787,0.278,0.849,0.829,0.746,0.653,0.841,0.5,0.935,0.943,0.412,0.853,0.644,0.522,1.042,1.405,1.204,0.72,1.372
"9","Myanmar","September",-0.396,0.203,0.51,0.213,-0.234,-0.119,-0.365,0.216,0.188,0.012,0.088,0.297,-0.014,-0.321,-0.174,-0.074,-0.017,-0.257,0.083,0.108,0.418,0.032,0.291,-0.152,-0.051,-0.11,0.382,0.359,0.461,-0.003,0.499,0.134,0.123,0.529,0.036,0.185,-0.308,0.833,0.332,0.145,0.725,0.367,0.581,0.103,0.685,0.323,0.334,0.563,1.024,0.668,0.694,0.573,0.527,0.586,1.284,1.13,1.383,0.971,0.891
"10","Myanmar","October",-0.001,0.031,-0.409,0.494,-0.375,-0.296,-0.529,-0.149,0.103,-0.119,-0.545,0.451,0.404,0.783,0.505,-0.17,-0.305,0.198,-0.346,-0.292,0.538,0.193,0.588,-0.172,0.081,-0.396,0.46,0.493,0.231,0.092,0.403,-0.965,0.269,-0.404,0.702,0.344,0.382,1.429,0.449,0.756,0.448,0.46,0.978,0.335,0.887,0.741,0.31,0.579,1.091,0.735,0.603,0.809,0.17,0.725,0.805,1.632,1.411,0.385,1.544
