"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Namibia","January",-0.242,0.155,-0.966,0.665,0.144,0.178,-0.379,0.114,1.16,1.13,-0.542,-0.598,1.291,-1.268,-0.156,-0.982,0.395,-0.466,0.077,0.721,-0.134,0.804,0.712,0.915,0.668,0.832,1.451,0.559,-1.234,0.088,-0.529,0.664,0.905,-1.114,1.859,-0.398,-1.293,0.015,0.72,-1.642,0.687,0.856,1.628,0.201,0.376,-1.74,1.493,0.609,0.574,-0.328,-1.458,0.086,1.593,0.666,1.494,1.301,-0.048,1.316,1.531
"2","Namibia","February",0.093,-0.377,0.375,1.155,0.615,-0.749,-0.432,-0.05,0.586,0.606,-0.709,0.077,1.373,-0.893,0.572,-1.223,-0.237,-0.75,0.208,0.282,0.661,1.06,1.522,1.794,0.118,-0.098,1.205,0.817,-1.417,0.369,0.016,2.081,-0.361,-0.622,1.512,0.559,-0.45,2.67,1.393,-0.278,0.455,1.264,1.475,0.699,0.736,-0.592,2.219,-0.01,0.161,1.738,-0.65,-1.353,1.888,0.568,1.757,1.929,-0.252,1.33,2.723
"3","Namibia","March",0.077,0.219,-0.165,1.031,0.033,-0.152,-0.55,-0.494,0.135,1.435,0.598,-0.583,1.001,-0.745,-0.605,-0.926,-0.52,0.14,0.253,0.019,-0.49,0.392,1.169,1.736,0.068,-0.073,1.59,0.663,-0.295,0.101,0.255,1.445,0.492,1.47,0.739,1.124,-0.838,2.226,1.241,-0.24,0.748,0.917,2.252,1.314,0.737,-0.994,2.436,-0.388,-0.377,2.196,-1.213,0.416,1.956,0.1,1.585,0.769,-0.171,0.443,3.307
"4","Namibia","April",0.612,-0.309,-0.152,0.412,-0.269,-0.56,-0.973,-0.439,0.349,1.223,0.422,-0.009,0.345,-0.635,-0.534,-0.255,0.021,-0.781,1.251,-0.003,0.205,-0.596,1.702,0.868,0.34,0.347,1.961,0.198,-0.383,0.132,0.592,1.938,-0.316,0.841,1.059,1.512,-0.905,2.321,1.562,-0.112,0.536,1.664,2.13,0.036,0.798,-0.263,2.051,-0.344,1.801,2.477,-0.384,-0.017,0.452,-0.147,1.109,2.118,0.365,0.756,2.409
"5","Namibia","May",-0.575,-0.001,-0.355,0.74,0.312,0.151,-0.02,-0.404,-0.175,0.937,0.428,-0.31,0.567,-0.617,0.051,-0.276,-0.392,0.332,0.651,0.542,0.414,0.233,0.939,0.806,0.619,1.999,2.778,0.57,1.324,1.285,1.475,1.193,1.392,1.304,1.205,1.819,-0.26,1.767,1.836,0.27,0.785,1.299,2.073,3.439,2.696,-0.716,1.222,1.816,1.792,2.456,0.153,1.062,1.319,2.177,2.046,1.277,1.463,2.554,3.714
"6","Namibia","June",-0.06,-0.281,-0.196,-1.35,-0.965,1.32,-0.376,-1.99,0.652,0.144,0.585,-0.083,1.02,0.108,0.73,-0.07,0.14,0.058,0.62,-0.218,-0.584,0.152,0.775,0.652,0.726,0.825,0.128,0.02,-0.537,1.003,0.229,0.766,0.788,-1.254,0.708,1.182,0.83,1.928,1.743,1.276,0.942,0.085,0.969,2.014,2.281,-0.279,0.612,1.21,1.283,0.338,-0.096,-0.351,2.554,1.413,0.994,2.281,2.043,2.383,1.972
"7","Namibia","July",1.579,0.392,-0.353,-0.666,-0.148,-0.079,-0.343,0.375,0.275,-0.194,0.076,0.28,0.416,-0.281,0.277,-0.886,0.096,0.698,-0.089,0.198,0.308,-0.145,0.815,0.302,0.538,0.725,-0.001,0.096,-0.228,0.73,0.124,0.593,1.522,-1.01,0.938,-1.249,0.772,1.872,1.55,0.56,0.084,1.516,1.553,0.548,1.264,0.942,0.839,1.403,-0.638,1.253,-0.753,-0.778,1.247,1.013,0.937,0.71,2.299,2.601,2.1
"8","Namibia","August",0.248,-0.289,0.081,-0.427,0.664,0.219,0.325,0.419,0.731,-0.354,-0.904,-0.075,-0.233,-1.352,-0.377,-0.454,0.508,0.613,0.625,0.504,-0.813,0.478,-0.633,0.885,1.107,0.465,0.395,0.78,0.505,0.911,0.695,-0.258,0.913,0.155,1.362,-0.327,1.653,0.566,0.419,0.897,0.235,1.146,-0.082,2.626,0.97,-0.84,-0.23,1.717,0.638,2.22,0.32,0.179,-0.296,1.176,1.495,2.226,1.26,3.268,1.869
"9","Namibia","September",0.808,0.301,1.408,-0.855,0.395,-0.428,0.394,0.532,-0.837,-0.057,0.167,-0.356,0.01,-0.836,0.674,-0.514,-0.319,-0.327,0.48,0.06,-0.599,0.605,0.684,0.818,0.131,0.423,-0.673,0.147,-0.293,0.495,0.158,0.748,1.291,1.291,1.163,-0.225,0.909,1.327,-0.943,-0.137,-0.77,-0.339,0.558,0.392,0.97,1.253,1.464,0.244,1.582,2.091,1.735,-0.659,-0.138,1.242,1.938,0.966,2.923,1.85,0.997
"10","Namibia","October",-0.395,0.253,0.691,-0.559,-1.329,0.858,0.194,0.488,-0.534,0.493,0.101,1.326,-0.111,-0.507,-0.263,-0.867,0.381,-0.995,-0.013,0.572,-0.539,-0.142,0.499,-0.189,0.535,-0.853,0.371,-0.071,-0.916,0.394,-0.525,-0.059,1.434,0.736,-0.31,-0.128,0.75,0.479,0.206,1.301,0.732,1.462,1.446,0.174,1.017,0.383,0.485,1.582,1.013,1.461,0.01,1.541,1.595,0.818,1.714,2.694,0.02,1.578,2.357
"11","Namibia","November",-0.073,-0.695,-0.158,-0.885,-0.208,0.79,0.068,-0.38,0.288,0.322,-0.542,1.559,0.01,-1.086,-0.255,-0.186,1.345,0.457,-0.048,-1.427,0.739,0.11,-0.358,0.438,0.338,-0.605,1.529,0.288,0.026,0.996,-0.633,-0.069,0.075,0.508,0.379,-1.481,0.014,0.137,0.998,-0.427,0.262,-0.044,0.715,0.644,0.291,0.401,0.539,1.036,0.919,0.417,-0.446,1.615,0.449,-1.741,1.32,1.857,0.471,0.993,2.813
"12","Namibia","December",-0.457,0.679,-0.176,-0.271,-0.259,0.364,-0.095,0.087,0.104,-0.906,-0.185,1.716,-0.849,-0.382,-0.445,0.357,-0.174,0.107,0.363,0.385,0.872,-0.376,-0.648,0.109,-0.978,1.182,0.061,-1.478,1.161,-0.202,-1.708,0.573,0.191,1.097,-0.965,-0.241,0.484,-0.237,-1.193,0.313,0.364,0.575,0.897,0.361,0.131,-0.222,-0.039,-0.34,1.326,-0.001,-0.305,-0.423,0.271,0.01,1.769,1.827,0.241,1.235,-0.429
