"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Nauru","January",0.049,NA,NA,NA,NA,-0.952,NA,NA,NA,NA,-0.102,NA,NA,-0.419,-0.219,0.481,-1.042,0.108,0.361,0.434,0.734,0.308,-0.392,NA,-0.732,-0.092,NA,NA,0.468,-0.732,-0.332,-0.732,-0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Nauru","February",0.592,NA,NA,NA,NA,-0.861,NA,NA,NA,NA,-0.161,NA,NA,0.024,-0.076,0.124,-0.301,0.049,-0.102,0.303,0.003,-0.051,NA,-0.091,0.009,-0.341,NA,NA,-0.241,-0.741,0.209,-0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Nauru","March",-0.52,NA,NA,NA,NA,-0.612,NA,NA,NA,NA,0.098,NA,NA,0.489,-0.211,NA,-0.742,0.208,0.265,-0.109,0.091,0.158,NA,-0.232,0.268,NA,NA,NA,0.168,-0.232,-0.082,-0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Nauru","April",-0.395,NA,NA,NA,NA,-0.637,NA,NA,NA,NA,-0.237,NA,0.725,0.625,-0.275,NA,-0.727,0.023,0.016,0.089,-0.284,-0.377,NA,-0.267,-0.017,0.483,NA,NA,0.033,-0.317,0.783,-0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Nauru","May",-0.741,NA,NA,NA,NA,-0.791,NA,NA,NA,NA,-0.541,NA,0.623,0.323,-0.177,NA,-0.091,0.019,0.413,0.013,0.413,-0.081,NA,-0.321,-0.071,-0.371,NA,0.029,0.179,-0.321,0.379,-0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Nauru","June",-0.864,NA,NA,NA,NA,-0.364,NA,NA,NA,NA,NA,NA,0.845,0.145,-0.255,NA,-0.004,0.038,0.011,0.338,-0.162,-0.104,NA,-0.594,-0.694,NA,NA,-0.144,0.056,-0.294,-0.044,-0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Nauru","July",-0.827,NA,NA,NA,NA,-0.377,NA,NA,NA,NA,NA,NA,0.806,0.506,-0.194,NA,-0.167,0.286,0.013,0.086,-0.014,-0.967,NA,-0.607,-1.007,NA,NA,0.433,0.343,-0.407,0.043,-0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Nauru","August",-0.703,NA,NA,NA,NA,-0.353,NA,NA,NA,NA,NA,NA,1.095,-0.205,-0.105,NA,-0.193,0.466,-0.007,-0.607,0.166,-0.993,NA,-0.443,-0.483,NA,NA,-0.183,-0.133,-0.383,-0.083,-0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Nauru","September",-0.383,NA,NA,NA,NA,-0.233,NA,NA,NA,NA,NA,NA,0.33,0.23,0.23,NA,-0.673,0.42,0.694,-0.423,-0.373,-0.623,-0.163,0.087,0.287,NA,NA,-0.263,-0.013,-0.163,-0.263,-0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Nauru","October",-0.527,NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,NA,-0.013,-0.013,-0.013,-0.367,-0.167,0.845,0.15,-0.017,0.05,-0.917,-0.067,-0.057,0.093,NA,NA,-0.357,0.343,0.343,-0.107,-0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Nauru","November",-0.297,NA,NA,NA,NA,-0.247,NA,NA,NA,NA,NA,NA,-0.005,0.695,-0.205,-0.437,-1.087,0.77,0.37,0.043,0.564,-0.837,0.023,-0.337,0.273,NA,NA,0.123,-0.027,0.373,-1.277,-0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Nauru","December",0.425,NA,NA,NA,NA,-0.125,NA,NA,NA,NA,NA,NA,0.252,0.352,0.152,-0.865,0.025,0.135,-0.465,0.103,0.235,-0.365,0.045,0.095,-0.305,NA,NA,-0.055,-0.555,-0.565,-0.505,-0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
