"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Netherlands","January",-0.009,1.856,-7.121,-1.343,1.096,-1.786,1.439,-0.368,1.995,-1.406,0.223,-1.412,0.874,3.564,4.705,1.907,0.74,0.955,-4.78,-1.701,0.068,-1.095,3.97,1.428,-4.878,0.278,-4.857,3.957,2.831,3.378,1.577,1.147,2.791,3.084,1.35,-1.767,-2.617,2.813,3.283,2.13,1.123,2.307,0.45,1.319,2.984,-0.778,4.948,4.214,-1.19,-2.831,1.462,2.731,0.164,3.363,2.149,2.195,-0.365,3.647,1.328
"2","Netherlands","February",4.082,0.273,-5.8,0.931,-1.017,2.635,2.719,-0.308,-2.407,-1.358,1.4,1.536,0.711,2.61,1.46,0.51,2.584,-1.493,-2.896,2.317,-0.825,0.521,-1.649,-0.141,-2.866,-6.17,-0.414,1.943,2.888,5.349,-2.751,2.597,-0.32,-0.654,4.054,-2.135,3.717,3.97,0.7,3.452,2.03,4.623,-0.619,2.386,-0.236,0.123,3.685,3.143,0.866,-0.859,1.839,-1.695,-0.726,4.254,1.103,2.516,2.811,-1.461,4.436
"3","Netherlands","March",2.54,-3.082,-0.343,-2.262,-0.495,0.109,1.942,1.123,-2.359,-2.089,-2.079,1.613,0.688,1.38,0.019,-1.702,2.307,1.396,-0.25,-0.023,3.22,0.639,0.862,-0.903,-0.711,-0.495,-3.036,-0.078,3.36,3.404,3.441,1.782,0.798,2.412,0.212,-1.722,2.884,2.241,2.32,1.88,0.359,2.206,2.568,1.014,1.142,-1.321,2.947,0.964,1.152,1.146,1.439,3.378,-2.802,3.693,1.491,0.657,3.968,-0.417,3.155
"4","Netherlands","April",2.735,0.268,0.907,1.037,-0.348,0.694,-0.764,1.458,-0.164,-1.845,0.389,-0.179,-1.81,0.981,-0.384,-0.403,-1.548,-0.86,-0.499,-0.37,0.525,-0.265,0.823,-0.362,0.578,-1.489,2.281,0.484,-0.764,0.499,0.225,0.616,3.053,0.732,1.181,1.134,-0.363,1.351,1.953,2.247,0.143,1.284,1.64,2.312,2.21,0.735,4.541,0.615,4.288,1.497,4.712,0.544,0.372,3.935,0.993,0.698,0.45,4.216,2.569
"5","Netherlands","May",-1.141,-2.069,-0.687,1.795,-0.272,1.081,0.48,-1.219,0.764,0.53,1.769,-0.245,0.313,-0.605,-0.793,1.078,-0.42,-0.025,-0.109,-0.778,1.364,0.514,-0.88,-1.305,1.233,1.507,-1.92,2.202,1.999,1.695,-2.008,2.868,2.319,0.489,0.6,-1.293,0.669,2.439,1.934,2.644,2.032,1.571,1.562,0.095,0.685,1.75,1.932,3.05,1.641,-1.49,2.041,2.16,-0.358,1.144,0.226,2.223,2.693,4.182,-0.415
"6","Netherlands","June",0.346,-1.466,0.29,0.529,-0.169,1.621,-0.553,0.373,-0.299,1.778,-1.108,-1.412,0.939,-0.629,-0.333,2.242,-0.491,-0.319,0.436,-0.331,-0.344,1.201,0.945,-1.312,-1.555,0.836,-1.254,-0.296,0.311,-0.011,-2.127,1.897,0.595,0.362,-0.567,0.168,0.684,0.989,-0.056,1.122,-0.343,1.691,3.07,0.454,1.253,1.272,2.271,1.343,0.189,1.097,1.167,-0.182,0.131,0.991,0.27,1.773,2.765,2.307,3.517
"7","Netherlands","July",-1.329,-1.883,0.005,0.552,-1.731,-1.126,1.512,-0.432,1.629,-0.791,0.79,0.723,0.641,-1.307,1.399,2.659,-0.111,-1.254,-0.84,-1.14,-0.179,1.868,3.221,-0.638,0.433,0.403,0.183,-0.159,1.279,0.037,2.194,1.78,-0.339,4.484,3.419,-0.336,0.97,-0.398,2.407,-1.092,1.976,0.986,2.373,0.262,1.4,5.282,0.515,1.492,1.559,3.488,-0.461,0.616,2.422,3.173,2.004,1.859,1.61,3.962,2.392
"8","Netherlands","August",-0.517,-1.135,-0.893,-0.239,-1.305,-0.791,0.072,0.351,0.75,0.436,0.899,-0.774,1.393,0.323,3.087,0.779,-0.385,-1.095,-0.931,0.494,0.241,0.823,1.853,1.205,-0.537,-0.586,-0.451,0.32,0.807,2.038,1.507,1.712,-1.111,1.261,2.787,1.097,4.003,0.135,1.052,1.064,2.198,2.552,3.364,2.486,-0.347,0.002,0.45,1.072,2.082,0.395,0.849,2.102,1.629,-0.108,2.377,1.488,1.023,2.747,2.685
"9","Netherlands","September",2.941,-1.125,-0.021,0.435,-0.834,-0.02,0.302,0.453,0.473,0.317,-0.76,-2.31,0.927,-0.656,1.487,-0.256,-1.057,-0.775,-0.222,1.212,0.816,2.113,0.298,-0.696,0.251,-2.388,0.881,-0.109,1.361,-1.272,1.243,0.356,-1.053,-0.311,-0.012,-1.65,0.385,0.643,3.779,1.383,-0.918,0.594,0.702,1.095,1.888,3.885,-0.258,-0.556,1.232,-0.543,1.802,0.06,0.316,1.921,-0.399,3.853,0.026,1.372,0.767
"10","Netherlands","October",1.404,0.377,-0.731,-2.107,-0.057,1.448,1.581,1.421,2.023,0.262,0.271,-1.396,-1.302,-3.254,-1.425,0.927,1.417,0.57,0.36,-1.069,-1.459,0.732,0.163,1.212,0.278,1.151,0.481,0.518,1.857,1.713,-0.256,-2.411,-1.133,-0.803,2.8,0.54,-0.665,-0.633,0.392,1.109,3.877,-0.696,-2.648,1.071,3.098,3.448,-0.313,-0.095,-0.193,-0.013,1.169,0.172,1.913,3.158,-0.164,-0.27,2.61,2.042,1.634
"11","Netherlands","November",-0.667,-1.534,2.693,0.563,-2.837,-1.656,-0.499,-0.427,0.554,1.709,-0.49,0.14,-0.428,0.813,-0.556,0.63,0.816,0.523,-0.252,-0.934,0.567,2.032,0.265,1.957,-3.249,2.036,0.723,-0.31,-0.459,0.328,-0.233,1.569,-3.25,3.55,0.34,-0.06,0.39,-2.149,0.341,1.889,0.695,1.739,2.19,0.361,0.773,3.073,0.584,0.971,3.468,0.021,1.52,0.955,0.732,2.426,3.783,-0.073,1.231,1.307,0.7
"12","Netherlands","December",-1.396,-3.539,-3.927,-0.732,1.103,0.922,-0.442,-2.98,-4.57,-0.688,2.29,0.539,-0.399,3.799,0.151,-1.959,1.518,-0.931,2.397,0.039,-3.495,0.575,0.314,0.83,2.562,1.361,1.051,2.977,1.603,0.341,0.287,0.649,1.791,2.36,-3.296,-2.687,1.442,0.785,1.3,2.066,-0.539,-0.235,1.035,0.089,0.508,3.427,0.838,-0.512,-0.811,-4.797,2.851,1.265,2.751,1.52,6.179,1.842,1.702,2.937,2.835
