"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Netherlands Antilles (former)","January",0.44,0.104,0.151,0.299,-0.58,0.614,-0.275,-0.403,-0.031,0.745,-0.202,-0.355,0.896,-0.494,-0.307,-1.275,0.568,0.362,-0.055,0.65,1.158,0.364,0.785,0.562,-0.355,0.102,0.423,0.682,-0.283,0.218,0.502,0.439,0.315,0.392,0.922,1.025,0.424,1.787,0.439,0.175,0.73,1.036,1.429,0.45,0.285,0.224,0.896,0.566,0.614,1.687,0.586,0.182,1.113,0.809,1.476,1.086,0.249,1.324,0.998
"2","Netherlands Antilles (former)","February",0.271,-0.258,0.187,0.492,-0.717,0.311,-0.113,-0.337,-0.021,0.566,-0.156,-0.229,0.474,-0.351,-0.139,-0.967,0.485,0.646,0.038,0.582,1.113,0.256,0.72,0.518,0.13,-0.24,0.431,0.569,-0.517,0.025,0.568,0.679,0.46,0.491,0.635,1.085,0.427,1.293,-0.059,-0.422,0.693,0.531,1.37,0.789,-0.124,0.097,0.906,0.54,-0.08,1.893,0.768,0.526,1.143,1.299,1.475,1.164,1.013,0.254,1.039
"3","Netherlands Antilles (former)","March",-0.066,0.042,-0.017,0.156,-0.348,0.197,-0.54,-0.176,0.829,0.248,-0.116,-0.062,0.428,-0.417,-0.061,-1.055,0.065,0.49,0.279,0.618,0.977,-0.059,1.313,0.206,-0.173,0.157,0.488,0.275,-0.398,-0.042,0.349,0.683,0.503,0.658,0.163,0.922,0.033,1.096,0.594,-0.556,0.517,0.796,1.011,0.581,1.363,0.279,0.946,0.207,-0.518,2.533,-0.307,0.256,1.287,0.986,0.758,1.157,1.164,0.857,1.038
"4","Netherlands Antilles (former)","April",0.067,-0.034,-0.095,0.108,-0.41,0.208,-0.585,-0.562,1.006,0.43,-0.34,-0.137,0.089,-0.733,-0.519,-0.842,0.5,0.207,0.369,0.91,0.346,0.149,0.807,0.236,-0.194,0.259,1.167,0.457,0.072,0.176,0.256,0.848,0.327,0.286,0.524,0.613,0.364,0.972,0.004,0.138,0.202,0.352,1.252,0.862,1.207,0.489,1.096,0.381,0.241,1.196,0.07,0.371,0.942,1.077,1.617,0.983,1.354,0.939,0.759
"5","Netherlands Antilles (former)","May",-0.099,0.058,-0.347,0.154,-0.062,-0.51,-0.531,0.186,0.894,0.388,-0.377,-0.17,0.3,-0.936,-0.428,-0.504,0.896,0.294,0.443,1.129,0.412,0.245,0.67,0.158,0.142,-0.026,0.81,0.703,-0.266,0.285,0.403,1,-0.125,0.505,0.759,0.999,0.833,1.357,0.639,0.21,0.581,0.501,1,0.018,1.208,0.902,1.226,0.14,0.986,1.49,0.211,0.574,0.813,0.432,0.853,1.161,1.215,0.62,0.773
"6","Netherlands Antilles (former)","June",-0.286,0.009,0.012,-0.122,-0.46,-0.144,-0.274,-0.111,0.832,0.266,-0.408,0.202,0.029,-0.538,-0.371,-0.58,-0.603,-0.169,0.138,1.124,0.237,0.191,0.868,-0.103,0.005,0.199,1.047,0.701,-0.279,0.424,0.392,0.68,0.289,0.354,0.569,0.49,0.734,1.283,0.411,-0.058,0.358,0.31,0.477,0.498,1.043,0.834,0.971,0.914,1.138,1.622,0.711,0.852,0.849,0.905,0.617,1.242,0.903,0.635,0.868
"7","Netherlands Antilles (former)","July",-0.318,0.311,-0.148,-0.027,0.005,0.249,-0.414,-0.085,0.433,0.068,-0.467,-0.165,0.153,-0.37,-0.468,-0.48,0.03,-0.411,-0.147,0.981,0.697,0.136,0.475,-0.174,0.223,0.192,0.678,0.763,0.422,0.355,0.473,-0.314,0.944,-0.165,0.362,0.403,0.38,0.877,0.393,0.361,0.826,0.643,0.494,0.511,1.132,0.697,0.996,0.681,0.987,1.073,0.549,0.841,1.017,0.657,1.154,1.455,1.383,0.74,0.976
"8","Netherlands Antilles (former)","August",-0.064,-0.024,-0.053,0.316,-0.331,0.183,-0.233,-0.187,0.087,0.048,-0.571,-0.385,-0.065,-0.442,-0.346,0.152,0.198,-0.414,0.288,0.658,0.227,0.266,0.401,-0.126,0.005,0.09,0.738,-0.216,0.332,0.13,0.451,-0.084,0.365,0.237,0.351,0.565,0.663,1.092,0.578,0.713,1.023,1.017,0.752,0.89,0.983,0.581,0.756,0.658,1.284,1.017,0.618,0.604,0.959,0.954,1.498,1.453,1.305,0.774,1.232
"9","Netherlands Antilles (former)","September",-0.191,0.311,0.348,0.241,0.196,-0.092,-0.219,0.144,0.425,-0.388,-0.489,0.004,-0.248,-0.584,-0.499,-0.053,0.098,0.149,-0.122,0.634,0.103,0.258,0.522,-0.431,-0.08,-0.226,0.744,-0.03,0.054,0.632,0.241,-0.093,-0.159,0.324,0.713,0.715,0.644,0.888,0.338,0.478,0.615,0.933,1.038,0.598,0.924,0.622,0.483,0.44,1.561,0.304,0.367,0.817,1.078,0.922,1.861,0.663,1.562,1.01,1.099
"10","Netherlands Antilles (former)","October",0.071,0.196,0.589,-0.265,0.12,-0.247,-0.122,0.127,-0.057,-0.262,-0.678,0.095,-0.411,-0.41,-0.846,0.014,0.162,-0.199,0.482,0.98,0.419,-0.066,0.147,-0.355,-0.455,-0.112,0.54,-0.392,-0.029,0.251,0.378,0.225,0.376,0.257,0.058,0.107,0.696,0.435,-0.298,0.604,0.83,0.681,0.235,0.355,0.173,0.685,0.269,-0.755,1.481,0.271,0.388,0.295,1.113,1.028,1.152,0.916,0.643,0.031,1.032
