"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","New Caledonia","January",-0.853,0.537,-0.013,0.321,-0.505,-0.711,-0.156,-0.666,-0.724,0.799,0.106,-0.268,0.845,0.326,0.317,0.535,-0.105,0.014,-0.329,1.342,-0.371,0.899,1.197,-0.461,0.648,1.483,-0.745,0.148,0.342,0.487,0.709,0.603,-0.412,0.734,0.058,0.612,-0.442,0.81,0.902,-0.009,0.446,1.608,0.026,0.991,1.43,0.641,-0.282,1.002,0.726,-0.322,0.847,0.092,-0.069,0.643,0.991,0.915,1.216,1.469,0.131
"2","New Caledonia","February",-0.147,0.123,0.577,0.59,-0.339,0.171,-0.279,-0.666,-1.187,-0.403,0.431,-0.547,0.291,0.308,-0.893,-0.279,-0.209,0.235,-0.232,1.636,0.936,0.086,-0.566,-0.867,1.134,0.603,-0.965,0.114,-0.16,0.022,0.779,0.657,-0.461,-0.118,0.192,1.638,0.149,0.965,0.803,0.022,0.288,0.829,0.447,1.868,1.038,-0.234,0.546,0.593,0.82,-0.188,0.594,0.543,-0.071,-0.163,1.677,2.252,0.703,0.587,1.062
"3","New Caledonia","March",0.03,-0.281,0.357,0.252,-1.289,-0.695,0.546,-0.197,-0.954,0.975,-0.231,0.652,0.477,0.424,0.402,0.685,0.237,0.353,0.873,0.173,0.87,0.11,0.21,0.038,-0.107,-0.56,-0.815,-0.78,-0.242,0.942,-0.611,0.253,0.4,-0.115,0.925,0.425,0.678,1.029,1.329,0.006,1.356,0.119,0.662,0.293,-0.09,0.498,0.334,0.393,0.765,-0.271,0.596,0.506,0.374,0.168,0.862,1.408,1.511,1.043,1.497
"4","New Caledonia","April",-0.067,-0.155,-0.228,0.367,-0.702,-0.317,-0.182,-0.471,0.52,0.254,-0.882,0.139,-0.093,0.854,0.565,0.336,0.045,0.879,0.252,-0.547,0.634,0.097,1.354,0.689,1.75,0.46,-0.179,0.872,0.394,1.274,-0.075,0.129,-0.613,-0.132,1.111,1.655,0.008,2.192,1.33,0.633,0.121,0.567,0.512,0.262,0.132,1.654,0.355,0.835,0.96,0.54,0.617,0.593,1.212,1.472,1.298,1.996,1.552,1.31,1.215
"5","New Caledonia","May",-0.948,1.227,0.246,0.082,-0.965,-1.292,-0.277,-0.011,0.645,-0.317,-0.25,-0.013,0.813,0.274,0.277,0.355,0.242,-0.01,-0.12,0.72,0.47,0.267,0.993,0.195,-0.151,0.201,0.846,1.069,0.043,1.122,-0.767,0.141,-0.351,-0.278,-0.033,0.031,0.725,1.83,1.656,1.504,0.665,0.145,1.135,0.724,0.431,0.118,0.541,-0.938,-0.622,0.517,0.231,0.069,0.055,0.578,0.693,1.958,1.652,0.745,1.202
"6","New Caledonia","June",0.26,-0.171,0.438,0.342,-0.637,-0.652,0.556,-0.688,0.044,0.263,0.064,-1.011,1.341,0.093,-0.268,0.376,0.299,0.582,0.522,-0.125,0.46,-0.853,0.177,0.567,-0.463,-0.201,0.008,1.455,1.107,0.608,-0.026,0.271,-0.145,-0.286,-0.324,0.18,0.265,1.659,-0.23,-0.142,-0.233,1.246,0.942,0.228,-0.015,-0.403,2.05,-0.184,0.24,1.032,0.952,0.809,0.459,0.989,0.331,1.577,1.344,-0.01,0.661
"7","New Caledonia","July",-0.071,0.224,-0.506,0.559,-0.724,-0.532,0.338,-0.61,-0.226,-0.099,-0.096,-0.478,1.244,0.301,0.221,-0.095,0.463,0.556,0.276,0.018,-0.199,-0.682,0.039,0.534,-0.18,-0.303,-0.035,0.804,0.248,0.724,0.405,0.154,1.009,-0.911,0.511,0.187,-0.415,2.016,1.412,0.241,0.206,-0.021,0.394,-0.071,0.33,-0.411,0.095,1.275,0.235,0.702,0.515,0.502,1.052,0.142,0.863,1.838,0.69,1.248,0.409
"8","New Caledonia","August",-0.724,-0.347,-0.155,0.185,-1.095,-0.734,1.084,-0.367,0.202,1.426,0.61,-0.626,0.994,-0.311,0.492,-0.24,-0.015,0.171,-0.918,-0.095,-0.354,-0.547,0.119,0.316,-0.087,-0.182,0.792,1.082,-0.138,0.49,0.345,0.234,-0.127,-0.497,0.034,-0.05,-0.723,2.174,-0.091,0.477,0.545,0.528,-0.66,-0.448,-0.425,-0.207,1.42,0.587,-0.073,1.572,0.46,0.222,0.339,1.586,0.397,1.063,1.554,0.48,0.948
"9","New Caledonia","September",0.006,0.02,-0.797,-0.047,-0.506,-0.356,-0.064,-0.845,0.21,1.276,0.963,-0.512,1.083,0.297,0.955,-0.92,-0.634,0.063,-0.292,-0.217,0.072,-0.563,1.033,0.179,-0.068,-0.519,0.116,1.686,0.272,-0.419,0.379,0.576,-0.211,-0.841,0.588,1.098,0.084,1.681,0.912,0.748,0.849,0.622,0.268,0.269,0.586,0.144,1.194,1.014,0.725,3.119,-0.23,0.487,0.513,0.648,0.252,1.569,1.285,0.329,0.981
"10","New Caledonia","October",0.233,0.59,-1.176,0.467,-0.981,-0.844,0.486,-0.314,-0.507,0.97,0.955,-0.172,1.479,-0.233,0.275,-0.124,-0.762,-0.762,0.378,0.091,0.547,-0.537,0.792,0.19,0.179,0.76,0.562,1.701,0.46,0.306,-0.047,-0.924,0.173,-0.244,0.915,0.616,-0.509,2.366,1.039,0.859,0.89,0.639,0.339,0.825,0.414,-0.422,0.983,0.467,-0.123,1.61,0.584,0.597,0.979,0.341,-0.099,1.214,1.873,1.664,0.817
"11","New Caledonia","November",0.539,-0.864,-0.804,-0.216,-0.878,-0.952,-0.535,-0.198,0.179,-0.204,-0.283,0.677,1.654,-0.052,0.213,0.1,0.074,0.018,0.305,-0.105,-0.435,0.134,-0.047,0.466,-0.096,-0.039,-0.553,1.58,0.259,-0.158,-0.755,0.013,0.216,0.375,0.946,-0.054,0.712,0.341,-0.292,0.148,1.191,-0.739,-0.289,-0.013,-0.007,0.552,0.391,0.644,-0.353,0.422,0.29,-0.016,0.583,0.178,0.723,1.277,1.581,1.078,0.325
"12","New Caledonia","December",0.379,-0.191,-0.693,-0.836,-0.607,-0.961,0.079,-0.041,0.652,0.25,-0.243,-0.445,0.767,-0.521,0.284,0.571,-0.197,0.058,0.364,-0.132,1.171,0.414,-0.728,0.689,-0.149,-1.118,-0.1,0.065,0.67,0.682,0.261,-0.226,-0.088,-0.796,0.871,1.005,1.858,0.699,-0.72,0.312,1.241,0.401,0.665,0.018,0.742,-0.308,0.622,0.904,0.333,1.587,1.136,0.701,0.434,1.486,0.865,0.372,1.102,0.963,0.914
