"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","New Zealand","January",-0.234,1.277,0.349,-1.509,0.908,-0.363,-0.628,-0.669,-0.486,1.381,1.144,-0.642,0.102,-0.487,1.727,-0.213,-1.09,0.824,0.42,0.143,1.213,0.189,-1.237,-1.466,1.364,1.803,1.121,0.287,1.639,0.45,0.304,0.099,-1.096,0.691,0.212,0.906,-1.016,0.854,1.697,-0.297,-0.67,0.402,-0.137,1.171,0.293,0.468,-0.043,1.463,1.08,0.049,0.755,-0.17,0.728,-0.409,1.672,0.737,-0.099,3.583,2.237
"2","New Zealand","February",-0.344,-0.294,0.631,-0.305,-1.197,1.501,-0.826,-0.383,-0.96,-0.166,1.305,-0.793,0.334,1.643,0.885,-2.297,-0.213,0.878,-0.296,-0.169,0.646,0.788,-1.226,-0.291,0.074,0.351,-0.602,0.666,-0.003,1.776,-0.288,-0.982,-1.09,0.697,0.576,0.335,0.389,2.512,1.099,0.152,0.719,-0.602,-0.41,-0.649,1.457,0.309,0.006,0.636,-0.054,0.963,0.852,-0.266,0.175,0.271,0.322,2.638,0.52,1.294,1.013
"3","New Zealand","March",-1.17,0.03,-0.914,-0.606,-0.607,0.54,0.2,1.964,-0.41,0.837,0.236,0.988,0.243,-1.126,1.266,-0.028,0.192,0.562,0.878,-0.928,1.335,-0.157,-0.257,0.848,-0.379,-0.137,-0.917,-0.799,0.515,0.961,0.045,-1.875,-1.356,-1.134,0.157,-0.856,-0.765,1.309,1.717,-0.36,-0.095,0.35,0.646,-1.075,0.379,-1.117,1.197,0.804,-0.354,0.499,0.211,-1.04,0.918,-0.225,0.866,1.268,0.404,1.249,1.76
"4","New Zealand","April",-0.402,-0.111,-1.366,-0.598,-0.649,-0.013,0.016,-0.175,-0.905,0.651,0.453,0.386,0.044,0.503,0.632,0.025,-0.037,2.125,0.038,-0.455,1.176,-1.382,-0.388,-0.085,0.081,0.883,-0.035,-1.052,0.268,0.756,-0.579,-2.065,-1.071,0.155,1.061,0.759,-0.553,0.523,0.244,0.557,0.337,-0.034,-0.334,-1.176,-0.422,1.573,-0.278,0.359,0.115,1.224,-0.185,0.582,1.109,1.076,0.869,1.2,1.013,0.453,-0.296
"5","New Zealand","May",-0.343,1.679,-0.219,-0.76,-0.594,-0.99,0.15,0.814,-0.092,-0.762,1.102,-0.269,0.488,0.354,0.848,-0.327,-1.449,0.501,-0.284,0.414,-0.286,0.203,-0.197,-0.621,-0.255,0.079,0.737,-0.232,0.523,1.035,0.292,-1.457,0.413,0.67,0.674,0.285,1.039,1.077,1.908,1.196,1.038,1.053,1.186,0.736,0.979,0.229,2.308,-0.923,-1.086,0.785,2.3,-0.017,0.751,0.991,0.866,2.724,-0.017,0.813,1.886
"6","New Zealand","June",-0.191,1.164,-0.496,-0.226,-0.06,-0.252,-0.697,0.293,-1.06,0.692,1.834,-1.275,0.491,0.037,-0.664,-0.61,0.135,-0.495,0.903,-0.025,1.022,-0.849,0.13,1.012,1.062,0.156,0.573,0.96,0.701,0.477,-0.32,-0.555,1.596,-0.238,0.31,-0.301,0.329,1.007,0.955,1.304,0.812,2.023,2.341,1.626,0.171,-0.94,0.269,1.311,-0.651,0.389,1.372,0.007,0.699,2.015,0.728,1.842,0.488,0.35,0.611
"7","New Zealand","July",-0.125,0.842,-0.045,0.995,-1.029,-0.245,-0.273,-0.654,-0.82,0.931,-0.093,0.406,-0.416,0.965,-0.147,0.144,0.449,0.789,0.761,0.028,0.405,-0.644,-0.477,1.01,1.128,-0.323,0.412,1.476,-0.231,0.73,-0.251,0.668,0.62,0.191,-0.552,-0.034,0.007,2.105,1.069,1.63,-0.334,0.785,-0.13,-0.051,1.709,0.547,0.525,0.95,-0.032,0.135,0.784,0.875,1.769,0.588,0.459,1.197,0.244,1.449,1.964
"8","New Zealand","August",-0.632,0.273,-0.956,-0.084,-0.498,-0.982,1.423,0.403,0.109,0.776,0.955,-1.017,0.077,-0.354,0.677,0.438,0.06,0.484,-0.2,0.123,-0.787,0.316,0.199,1.097,-0.144,-0.625,1.202,0.662,0.716,0.637,1.172,-0.561,-0.442,0.531,-0.069,-0.281,0.076,0.218,0.229,0.37,0.956,0.737,0.267,-0.808,1.055,0.303,0.764,0.076,1.72,1.011,-0.135,1.05,1.904,0.291,0.076,-0.125,1.411,0.983,0.644
"9","New Zealand","September",-0.639,-0.157,-0.13,-0.263,-0.079,-0.345,-0.723,-0.837,1.243,0.36,0.275,0.809,0.84,0.777,0.19,-0.571,-1.672,0.078,0.36,0.685,-0.338,-0.293,0.285,0.032,0.512,-0.194,0.336,1.598,1.274,-0.488,0.682,-1.231,-0.798,-0.696,0.026,1.36,-0.567,1.074,0.835,0.471,1.114,0.932,0.384,-0.351,1.117,1.437,0.602,0.839,0.512,0.973,-0.271,0.737,0.65,0.607,-0.392,1.15,1.058,0.387,0.374
"10","New Zealand","October",1.375,1.244,0.303,-0.321,-1.161,-0.4,0.461,-0.869,-1.13,0.433,0.133,0.393,0.343,0.121,0.27,-0.867,-0.383,-0.707,0.066,0.971,0.034,-1.342,0.555,-0.205,-0.68,0.573,0.41,1.046,1.195,0.532,-0.154,-0.713,0.364,-0.817,-0.266,0.529,0.216,1.138,1.281,0.42,1.441,-0.872,-0.331,-0.017,0.124,-0.016,-0.195,0.022,-1.212,-0.116,0.412,-0.046,0.892,0.2,0.665,0.818,1.115,0.271,0
