"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Nicaragua","January",-0.16,-0.181,-0.189,-0.083,-0.647,0.389,-0.188,-0.106,0.329,-0.071,-0.231,0.16,0.615,0.023,0.275,-0.682,0.11,0.409,0.436,0.957,-0.176,0.84,0.879,-0.092,-0.133,-0.18,0.193,1.13,0.725,0.798,0.411,0.784,0.301,0.721,1.108,-0.135,0.574,1.83,0.662,0.002,0.051,0.987,0.42,0.913,0.695,0.699,1.428,1.141,0.697,0.854,1.126,0.96,1.676,0.076,0.861,1.557,0.731,0.453,1.063
"2","Nicaragua","February",0.151,0.068,-0.01,0.914,0.083,0.751,-0.697,-1.098,0.308,-0.369,-0.121,-0.009,0.406,-0.625,0.129,-0.725,0.448,0.578,0.411,0.666,0.283,1.123,1.068,0.059,-0.013,0.272,0.662,0.883,-0.005,0.547,0.444,0.44,0.855,0.665,0.905,-0.104,0.518,1.894,0.128,-0.095,0.8,0.959,1.258,0.949,0.931,-0.165,1.143,0.804,0.177,1.729,1.316,0.768,1.234,1.324,0.766,0.216,1.385,0.21,1.331
"3","Nicaragua","March",-0.05,0.008,-0.078,0.836,0.022,0.049,-0.759,-1.278,0.493,0.318,-0.571,-0.296,0.901,-0.539,0.426,-0.193,0.716,0.346,0.12,0.816,0.914,0.218,0.616,0.197,0.086,-0.599,0.643,0.538,-0.634,0.169,0.959,0.884,0.22,0.87,1.009,-0.867,0.431,0.989,0.291,0.245,0.376,0.406,1.334,0.617,1.916,0.571,0.794,0.478,-0.628,1.059,0.259,0.462,0.809,1.326,0.731,1.793,0.661,0.94,1.032
"4","Nicaragua","April",0.263,-0.183,-0.635,0.227,-0.154,0.827,-0.619,-0.779,0.595,0.406,-0.98,0.063,1.091,-0.266,0.247,-0.256,0.233,0.038,-0.035,0.606,0.164,0.816,0.925,0.288,-0.03,0.649,0.174,0.51,0.233,0.507,0.734,0.471,0.706,0.539,0.898,0.398,0.938,1.338,0.628,0.361,0.821,0.734,0.599,0.407,1.558,0.412,0.781,0.267,0.74,0.609,0.249,-0.337,1.261,0.963,1.389,1.6,1.224,0.861,1.127
"5","Nicaragua","May",0.176,-0.999,-1.109,0.139,-0.307,-0.059,-0.002,-0.515,0.577,-0.335,0.044,-0.044,0.55,-0.047,0.727,0.091,0.044,0.668,0.529,0.94,0.452,0.622,1.061,0.429,0.11,0.461,0.43,0.476,0.226,0.381,0.102,0.23,0.13,0.448,0.65,-0.207,1.104,1.413,0.003,0.206,0.646,0.559,0.672,0.308,0.711,0.579,0.797,0.715,0.626,0.824,0.878,0.097,0.958,0.377,0.825,1.588,0.979,0.456,1.173
"6","Nicaragua","June",-0.093,-0.824,-0.234,-0.967,-0.02,-0.439,-0.128,-0.22,0.621,-0.063,-0.063,0.574,0.251,0.367,0.938,-0.377,-0.2,0.387,0.174,0.808,0.187,0.661,1.236,0.211,0.303,0.147,1.047,0.533,0.459,0.672,0.717,1.022,0.249,0.398,1.181,0.205,0.346,1.311,0.301,-0.185,0.986,0.696,0.485,0.78,0.976,0.862,1.24,0.357,0.878,1.219,0.942,1.214,0.971,0.844,0.817,1.13,0.919,1.307,1.874
"7","Nicaragua","July",-0.248,-0.141,-0.673,-0.776,0.141,0.326,0.063,0.213,0.085,-0.221,-0.155,0.666,0.204,0.154,0.26,0.22,0.524,-0.109,0.862,0.855,0.392,0.254,0.581,-0.319,0.062,0.219,0.142,0.107,0.2,0.368,0.656,-0.086,0.509,1.054,0.66,0.107,1.211,0.674,0.301,0.342,1.18,0.588,1.035,0.519,1.045,0.84,1.238,0.31,1.276,0.664,0.885,0.879,1.369,1.064,0.924,1.512,0.861,1.379,1.385
"8","Nicaragua","August",0.19,0.191,0.471,-0.408,-0.345,0.188,-0.187,0.006,0.357,-0.178,-0.513,-0.337,-0.151,-0.088,-0.444,0.167,0.5,0.304,0.172,0.732,0.161,1.127,0.569,-0.351,-0.116,0.405,0.406,-0.158,0.637,0.287,0.695,0.184,0.425,0.687,0.531,0.005,1.313,1.048,0.245,0.375,1.275,0.669,0.783,0.846,1.156,1.271,0.646,0.769,1.153,0.67,1.026,0.47,0.466,1.28,1.811,1.224,1.204,1.037,1.579
"9","Nicaragua","September",-0.9,-0.454,-0.115,-0.463,0.237,-0.183,-0.286,-0.285,-0.175,-0.724,-0.568,0.04,0.254,-0.041,-0.637,0.518,0.382,0.037,0.424,1.007,0.289,0.331,0.333,-0.446,0.201,-0.201,0.633,-0.324,-0.244,0.565,0.663,0.204,-0.285,0.762,0.2,0.359,0.861,1.247,-0.094,0.48,0.044,1.312,0.672,1.362,1.074,1.022,0.715,1.031,1.466,0.506,1.061,0.998,0.582,0.306,1.185,1.273,1.741,1.086,1.829
"10","Nicaragua","October",-1.026,-0.297,-0.048,-0.609,0.072,-0.298,-0.445,-0.306,0.04,0.341,-0.041,0.245,-0.16,-0.875,-0.398,0.748,0.538,0.359,0.39,0.745,0.178,0.305,0.263,0.172,0.004,0.295,0.325,-0.168,0.12,0.516,0.617,0.525,0.632,1.06,0.42,0.38,0.997,0.399,-0.337,0.581,0.74,1.06,0.821,0.887,0.387,1.06,0.715,0.298,1.165,0.494,-0.002,1.009,1.059,0.479,1.562,0.948,0.709,1.293,1.106
