"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Niger","January",0.401,-1.445,0.859,0.303,2.122,0.357,-2.06,-0.741,-0.37,1.551,-1.412,-0.16,0.823,-1.099,-2.76,-0.219,0.58,0.006,0.934,1.349,-2.365,0.185,-3.652,-1.238,2.281,-0.538,0.276,0.109,-2.414,1.813,0.108,-1.122,-2.201,0.094,-1.383,2.349,1.395,-0.205,0.774,2.736,-0.268,-1.533,0.871,0.772,-0.475,3.609,-1.045,-2.044,1.729,1.811,-0.002,-0.312,0.658,1.293,-0.69,0.116,1.274,-0.493,-0.274
"2","Niger","February",-2.901,-0.881,3.387,-1.179,1.196,-0.888,0.193,0.378,1.385,-0.448,0.833,0.386,1.014,-0.65,-0.721,1.669,-1.484,0.327,-0.036,0.371,-0.106,-0.591,0.71,-1.375,-1.66,1.084,0.637,0.291,-3.005,-2.047,2.495,-1.646,-0.398,-0.836,-1.591,2.204,-1.858,1.318,0.069,-2.153,-1.531,-0.977,2.1,-0.092,4.391,2.835,1.094,-1.374,2.46,3.705,2.838,2.284,1.389,0.268,2.343,0.057,-0.071,1.948,-1.152
"3","Niger","March",-3.009,0.79,-1.087,0.86,-1.102,-0.543,-0.711,0.156,2.19,-0.749,2.233,0.779,-0.273,0.441,-0.24,-1.323,-2.531,0.425,1.362,0.167,0.222,0.161,-2.328,1.007,1.821,1.384,0.636,1.124,-1.371,-2.405,0.749,0.662,0.716,1.847,2.429,2.056,-0.166,-1.39,2.282,-0.905,0.418,1.151,-0.343,-0.788,2.922,0.949,0.99,1.078,1.029,1.189,3.017,-0.665,3.331,0.922,0.727,3.136,0.67,1.813,1.592
"4","Niger","April",-0.486,0.49,-0.441,0.823,-1.134,0.091,1.465,-0.617,1.032,-0.412,-0.596,-0.064,0.517,1.031,0.92,-0.505,-1.489,1.766,-0.603,0.292,0.968,1.394,0.121,0.937,-1.476,2.764,-1.49,2.143,-0.28,2.343,1.347,0.623,0.488,1.413,0.898,0.457,0.561,1.62,1.183,1.507,1.452,1.901,2.025,1.539,1.361,0.001,2.759,0.318,2.071,2.484,0.738,2.563,0.778,2.258,-1.376,2.728,0.886,1.447,1.349
"5","Niger","May",-0.15,-0.366,-0.121,-0.229,-0.34,-0.562,0.06,-1.066,0.398,0.242,0.351,0.066,-0.144,-0.145,0.517,0.665,-0.225,0.839,0.667,1.673,0.789,0.453,1.711,2.015,1.176,1.009,1.134,1.526,0.018,0.82,-0.181,-0.183,0.989,0.551,0.693,1.748,0.273,1.958,0.445,2.689,0.944,1.104,-0.15,1.914,1.184,0.954,1.465,0.845,0.574,2.287,1.288,1.003,1.453,0.743,1.276,2.22,1.396,2.259,2.071
"6","Niger","June",0.095,-0.069,0.528,0.013,-0.414,0.052,-0.14,-0.672,0.617,0.374,0.035,-0.289,1.147,0.273,0.306,-0.048,0.44,-0.488,0.353,0.397,0.434,0.573,0.811,0.303,0.88,1.471,0.586,0.872,1.069,1.192,1.032,0.813,0.614,0.93,1.696,0.798,0.43,1.278,1.699,0.523,0.308,1.08,0.639,1.233,0.641,1.355,1.464,1.491,1.361,1.582,1.285,0.91,1.054,1.798,2.226,1.29,1.271,1.251,1.548
"7","Niger","July",-0.67,-0.144,0.38,-0.376,0.093,0.749,-0.258,-0.288,0.186,0.402,0.282,1.402,0.888,-0.448,-0.377,0.299,0.487,-0.406,0.607,0.078,0.275,1.075,1.349,0.431,0.215,0.099,2.71,0.217,0.909,0.332,0.355,-0.038,1.103,-1.079,1.475,1.672,1.198,1.305,0.41,0.429,1.245,1.405,0.99,0.606,1.038,1.535,1.109,0.759,1.743,0.707,1.537,0.485,0.977,2.431,1.925,1.034,1.017,1.269,1.703
"8","Niger","August",-0.846,-0.501,0.207,-0.902,-0.425,0.442,-0.57,1.287,0.432,0.187,-0.275,1.231,0.785,-0.069,0.633,0.422,0.31,0.543,1.082,0.764,0.964,0.211,1.538,1.873,0.846,1.267,2.016,-0.09,0.011,1.312,0.269,0.196,0.981,-0.294,1.784,1.332,1.678,1.242,-0.508,1.052,1.28,0.994,1.189,1.223,1.159,1.343,0.744,1.122,1.467,1.101,1.063,0.555,0.118,0.98,1.53,1.375,1.249,0.674,0.719
"9","Niger","September",-1.083,-0.083,0.557,-0.823,-0.051,0.067,-0.338,0.744,0.687,-0.141,-0.01,1.349,0.963,-0.033,-0.613,0.253,0.635,0.036,1.116,0.633,0.805,1.096,0.798,1.048,0.515,0.492,2.081,0.814,1.259,1.017,1.225,0.123,1.112,-0.427,1.777,0.516,1.771,0.861,0.167,0.975,0.836,1.655,0.959,0.8,1.208,0.867,0.945,1.227,1.177,0.796,0.948,0.44,0.81,0.929,1.737,1.429,1.637,1.095,1.752
"10","Niger","October",-1.261,0.203,0.781,-1.498,0.32,0.42,-0.918,0.138,0.885,-0.821,-0.935,1.072,0.282,0.186,-0.876,1.031,-0.202,1.02,1.071,0.921,1.088,1.003,-0.982,0.817,-0.067,0.102,0.527,-0.865,0.099,0.472,0.811,-0.447,0.603,1.699,1.278,0.557,2.187,0.864,0.21,0.411,0.043,0.375,1.432,0.969,0.894,2.311,2.559,0.895,2.356,1.911,1.411,1.152,0.148,0.828,2.181,0.98,0.685,1.289,1.76
"11","Niger","November",-0.838,2.438,-0.749,-0.933,-1.483,0.325,-0.707,-0.048,0.499,-1.148,-0.612,-1.655,-1.063,-0.766,0.637,0.97,-1.156,-0.187,1.835,0.917,-1.029,-1.374,0.281,0.813,0.551,0.806,0.852,0.105,0.095,1.556,0.265,-0.493,2.549,-0.297,-0.034,-1.268,1.805,1.205,1.035,1.69,0.666,0.488,1.606,1.666,0.61,-0.908,2.329,0.754,0.649,2.395,0.15,2.312,1.247,1.689,0.403,2.286,0.483,1.63,3.311
"12","Niger","December",-2.211,0.953,0.924,1.372,-1.538,-0.23,1.951,1.035,1.685,-0.941,-0.046,0.452,1.467,-2.132,0.429,0.542,-1.347,0.395,-1.095,-1.405,0.236,0.183,0.83,-1.503,-0.938,-1.908,0.897,-0.926,-0.063,3.001,-1.145,-1.075,-0.069,-2.194,2.181,0.305,-0.132,1.218,1.806,-0.823,1.327,0.626,-0.156,1.61,1.788,-1.336,0.781,1.65,1.476,0.091,-0.844,0.529,0.6,0.246,-2.342,1.815,0.683,-0.82,0.329
