"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Nigeria","January",0.508,-1.324,0.47,-0.066,0.903,0.275,-1.335,-0.559,-0.593,0.537,-1.026,0.085,1.451,-0.587,-1.852,-0.041,0.436,-0.042,0.344,1.195,-1.582,0.629,-2.848,-0.664,1.703,-0.31,0.413,0.547,-2.22,1.509,0.636,-0.865,-1.345,0.255,-0.527,1.308,1.132,0.244,1.035,2.182,-0.416,-1.457,0.847,1.108,-0.121,2.77,-0.676,-1.003,1.682,1.679,-0.117,0.215,1.277,1.146,-0.046,0.604,1.987,-0.117,1.318
"2","Nigeria","February",-2.261,-0.358,1.553,-0.588,0.247,-0.781,0.177,-0.173,1.058,-0.246,0.083,0.329,1.541,-0.082,-0.138,1.151,-0.502,0.87,0.557,0.558,0.231,-0.233,0.579,-0.255,-1.035,1.36,0.73,0.48,-2.315,-1.203,2.095,-1.012,-0.284,-0.113,-1.031,1.61,-1.356,1.542,0.899,-1.496,-0.833,-0.136,1.329,0.119,3.265,2.784,1.231,-0.628,1.988,3.292,2.116,1.894,1.597,0.969,1.972,0.584,0.467,2.366,0.492
"3","Nigeria","March",-1.063,0.049,-0.773,0.39,-0.66,0.009,-0.56,-0.238,1.199,-0.057,0.842,0.251,0.389,0.174,0.1,-0.014,-0.595,0.337,0.913,0.407,0.494,0.421,-1.089,0.839,1.11,1.184,0.524,1.257,-1.069,-1.105,0.813,1.062,0.286,1.205,1.201,1.395,0.392,-0.32,1.455,-0.311,0.445,1.05,0.276,0.014,2.366,1.071,0.572,1.602,1.453,1.585,1.716,0.599,2.124,1.25,1.431,2.741,1.297,1.436,2.196
"4","Nigeria","April",0.047,-0.302,-0.308,-0.039,-0.504,-0.285,0.229,-0.828,0.539,0.589,-0.015,-0.449,1.263,0.565,0.089,-0.011,0.51,0.009,0.377,0.888,0.788,1.048,1.092,0.902,-0.472,1.597,0.326,1.389,0.14,1.23,0.62,0.736,0.521,0.813,1.021,0.849,0.197,1.847,0.895,1.233,1.073,1.469,1.113,1.123,1.476,0.645,1.878,0.601,1.333,2.597,0.98,1.725,0.701,1.287,0.416,2.028,1.566,1.365,1.965
"5","Nigeria","May",0.598,-0.096,0.128,-0.148,0.015,-0.284,0.385,-0.609,0.612,0.268,0.263,-0.078,0.75,-0.253,-0.025,0.066,1.001,-0.048,0.187,-0.008,0.483,0.326,1.732,1.036,1.313,0.881,1.827,1.281,-0.166,0.558,-1.297,-0.091,0.899,0.96,0.972,0.901,-0.189,1.991,0.729,1.54,1.16,1.444,1.25,0.618,0.959,0.748,1.332,0.769,0.909,1.668,1.123,0.392,0.948,0.636,1.797,1.424,1.381,1.357,1.57
"6","Nigeria","June",0.028,-0.478,0.431,0.031,-0.318,-0.09,0.03,-0.664,0.332,0.792,0.349,-0.264,1.247,0.725,0.206,-0.255,0.724,-0.146,-0.078,-0.298,0.919,0.853,0.841,0.896,0.809,1.026,1.015,0.474,0.494,1.42,0.731,0.497,1.083,0.763,1.253,0.352,0.339,1.565,1.502,0.867,0.323,1.244,0.148,0.628,0.497,1.309,0.876,1.122,1.525,1.11,1.223,0.234,1.196,1.622,2.194,0.898,1.088,1.066,1.408
"7","Nigeria","July",-0.473,0.247,0.44,-0.542,0.089,0.938,-0.368,-0.086,0.09,0.336,-0.035,1.032,1.137,-0.208,-0.177,-0.161,0.718,-0.575,0.332,0.124,0.071,0.683,0.889,0.796,0.109,-0.164,2.021,0.246,0.208,0.003,0.051,-0.288,0.947,0.419,0.997,1.13,0.851,1.105,0.526,0.391,0.517,1.338,0.669,0.454,1.02,1.58,1.296,0.845,1.418,0.858,1.26,0.181,1.494,1.686,1.808,1.16,1.105,0.926,1.353
"8","Nigeria","August",-0.454,-0.346,0.252,-0.589,-0.251,0.3,-0.468,0.738,0.101,-0.049,-0.283,0.515,0.646,0.305,0.091,0.075,0.255,0.554,0.754,0.277,0.39,0.251,0.835,2.367,0.793,0.537,1.206,-0.127,0.025,1.225,0.232,-0.076,0.825,0.073,0.778,0.607,1.307,0.834,0.226,0.565,0.34,1.119,0.664,0.907,1.041,1.061,0.844,0.801,1.378,0.818,0.729,0.174,0.055,0.467,1.371,1.146,0.907,0.932,1.054
"9","Nigeria","September",-0.226,-0.211,0.481,-0.58,0.05,-0.175,-0.366,0.352,0.172,-0.063,-0.241,0.811,0.943,-0.12,-0.319,0.219,0.699,-0.021,0.67,0.936,0.433,0.864,0.731,1.001,0.087,0.131,1.336,0.045,0.457,1.054,1.004,-0.083,0.793,0.078,0.721,0.156,1.809,0.522,0.149,0.772,0.142,1.152,0.79,1.149,1.163,0.76,0.852,0.981,1.15,0.412,0.781,0.186,0.466,0.646,0.815,1.457,1.266,0.828,1.42
"10","Nigeria","October",-0.455,-0.023,0.094,-0.738,0.119,0.042,-0.597,0.244,0.077,-0.088,-0.016,0.574,1.018,0.131,-0.107,0.085,0.273,0.374,0.819,0.616,1.187,0.191,0.16,1.089,0.476,0.608,1.025,0.107,0.048,1.265,0.278,0.239,1.037,0.495,0.995,0.481,1.883,1.448,0.007,0.267,0.43,0.272,1.398,1.159,0.74,1.272,1.542,1.201,1.198,0.858,0.673,0.981,0.742,1.217,1.639,1.744,1.619,0.889,0.454
