"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Niue","January",0.33,-0.88,-0.17,0.33,-0.67,-0.47,-0.63,-0.23,NA,NA,NA,NA,0.52,0.32,0.01,0.47,0.32,0.97,-0.53,0.52,-0.13,0.72,0.01,1.01,0.47,0.27,0.76,0.52,-0.13,0.52,0.97,-0.23,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Niue","February",0.66,-0.24,-0.59,0.41,-0.34,-0.95,-0.06,-0.45,NA,NA,NA,0.19,0.94,-0.85,-0.56,1,1.4,0.4,0.55,0.6,0.2,0.6,1.75,1.55,0.75,0.69,1.2,1.6,-0.1,0.1,0.85,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Niue","March",-0.039,0.111,-1.039,-0.239,-0.189,0.061,0.201,-0.349,NA,NA,NA,0.051,0.901,-0.199,-0.749,0.501,0.951,0.151,0.301,0.951,0.051,1.051,1.001,0.601,0.951,0.901,0.751,1.051,0.701,-0.509,1.151,0.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Niue","April",0.558,0.108,-0.242,0.058,-0.292,-0.302,-0.252,-0.952,NA,NA,NA,0.248,0.798,-0.852,NA,-0.102,0.648,-0.602,-0.452,0.698,-0.052,0.798,0.138,1.448,0.098,0.498,0.298,0.198,0.298,NA,0.948,-0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Niue","May",0.547,-0.303,-0.253,-0.453,-0.103,-0.063,-0.863,-0.263,NA,NA,NA,0.187,1.087,-0.363,-0.313,0.237,-0.223,0.137,0.937,-0.863,-0.563,0.387,0.637,0.737,0.187,-0.613,-0.463,1.387,0.587,1.087,-0.263,-0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Niue","June",0.529,-0.381,0.229,-0.071,-0.571,-0.581,-0.531,0.369,NA,NA,NA,-0.131,0.569,-0.481,-1.031,0.469,-0.381,0.669,1.119,-0.741,0.019,0.269,-0.081,0.319,-0.181,1.169,-0.431,0.569,0.369,0.969,0.369,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Niue","July",0.487,-0.113,0.637,-0.013,-0.113,0.127,-0.433,0.577,NA,NA,NA,-0.623,0.577,0.067,0.227,-0.373,-0.073,-0.123,-0.373,-0.323,-0.773,0.177,0.227,0.177,0.527,-0.323,NA,0.827,0.077,0.527,0.727,1.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Niue","August",0.087,-0.413,-0.713,1.037,-0.513,-0.933,-0.023,NA,NA,NA,NA,0.027,0.627,0.067,0.067,-0.823,-0.223,1.177,-0.023,-0.223,-0.123,-0.573,-0.373,-0.023,0.427,-0.323,NA,-0.023,-0.323,0.677,0.777,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Niue","September",1.105,-0.695,-0.595,0.405,-1.195,-0.805,0.995,NA,NA,NA,NA,0.195,0.945,0.945,0.245,-0.455,-0.405,-0.405,0.695,0.445,0.595,-1.005,0.645,-0.155,-0.505,-0.505,NA,0.835,0.895,0.895,-0.005,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Niue","October",-0.725,-0.025,-1.225,0.425,-0.575,-0.335,-0.635,NA,NA,NA,NA,-0.585,-0.035,0.915,0.415,0.365,-0.045,0.065,0.965,0.765,-0.085,-0.935,-0.035,-0.585,0.415,0.365,-0.545,0.765,1.115,0.815,0.565,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Niue","November",-0.923,-0.733,-0.723,0.027,-1.073,-0.233,-0.783,NA,NA,NA,NA,-0.583,0.467,1.367,2.117,0.967,0.617,-0.183,-0.483,0.317,0.717,-0.343,1.217,0.317,-0.033,-0.433,0.367,0.217,0.267,0.867,1.367,-0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Niue","December",-0.413,-0.613,-0.613,-0.463,-0.423,-0.223,-0.173,NA,NA,NA,NA,0.177,0.827,-0.173,1.377,-0.873,1.277,0.127,-0.223,-0.323,0.927,0.077,1.027,0.977,0.977,0.717,0.677,0.127,-1.173,0.527,0.477,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
