"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Non-Annex I countries","January",0.108,-0.305,0.203,-0.238,0.104,0.705,-0.407,-0.389,-0.111,0.369,-0.184,0.022,0.378,-0.307,-0.171,-0.144,-0.345,0.071,0.746,0.338,-0.118,0.59,-0.166,-0.239,0.432,0.208,0.651,0.743,-0.398,0.457,0.402,0.061,-0.13,0.688,0.392,0.529,0.626,0.659,0.843,0.341,0.279,0.722,1.041,1.055,0.572,0.816,0.827,-0.29,0.897,1.428,0.171,0.112,0.93,1.165,1.045,1.304,1.208,0.811,1.319
"2","Non-Annex I countries","February",-0.384,0.054,0.545,-0.495,0.033,0.499,-0.25,-0.811,-0.011,0.487,-0.36,-0.848,0.91,-0.557,0.026,-0.01,0.119,0.305,0.764,0.221,0.236,-0.08,0.15,-0.283,0.072,0.328,1.014,0.463,-0.384,0.344,0.528,-0.046,0.295,0.209,0.596,0.55,0.007,1.415,1.264,-0.064,0.552,1.189,1.172,1.069,0.74,1.409,1.54,-0.012,1.452,1.69,0.818,0.075,1.122,0.467,1.332,1.603,1.234,1.244,1.059
"3","Non-Annex I countries","March",-0.163,0.14,0.026,0.475,-0.326,-0.029,-0.365,-0.243,0.815,-0.358,-0.028,0.01,0.502,-0.233,0.072,-0.737,0.431,0.107,0.126,0.311,0.54,0.001,0.119,0.409,0.124,0.06,0.308,0.385,-0.042,0.333,0.426,0.119,0.301,0.387,0.433,0.342,0.368,0.64,0.468,0.291,1.059,1.315,0.649,1.218,1.183,0.986,0.827,1.452,1.045,1.483,0.512,0.437,1.571,0.942,1.11,1.889,0.964,2.012,1.282
"4","Non-Annex I countries","April",0.238,-0.144,-0.111,0.203,-0.554,-0.008,-0.107,-0.507,0.231,0.418,-0.15,-0.155,0.655,0.098,0.15,-0.436,0.129,0.299,0.273,0.482,0.599,0.269,0.385,0.299,0.18,0.433,0.554,0.689,0.305,0.453,0.359,0.535,0.324,0.587,0.275,0.216,0.167,1.716,0.817,1.122,0.92,0.943,0.965,1.105,1.13,0.865,1.099,0.903,1.027,1.237,1.034,1.115,0.874,1.281,1.161,1.805,1.379,1.444,1.594
"5","Non-Annex I countries","May",0.397,-0.171,-0.355,-0.041,-0.138,0.059,0.377,-0.434,0.437,0.295,-0.202,0.022,0.261,-0.004,-0.114,-0.223,-0.046,0.268,0.067,0.528,0.278,0.07,0.823,0.445,0.369,0.455,0.459,0.536,0.206,0.39,0.225,0.169,0.211,0.82,0.564,0.694,0.4,1.017,0.627,0.882,0.86,0.982,0.853,0.494,0.84,0.558,0.914,0.779,0.994,1.235,0.887,1.181,1.082,0.989,1.433,1.197,1.606,1.241,1.371
"6","Non-Annex I countries","June",0.058,-0.203,-0.005,-0.36,0.128,0.26,-0.313,-0.323,0.29,0.171,-0.331,0.241,0.407,-0.067,0.082,-0.315,0.235,0.024,0.146,0.304,0.201,0.276,0.248,0.015,0.202,0.324,0.383,0.387,0.195,0.564,0.517,0.496,0.463,0.547,0.794,0.135,0.765,1.025,0.799,0.648,0.599,0.695,0.881,0.629,1.124,0.974,0.943,0.673,0.964,1.277,1.034,1.09,1.067,1.177,1.202,1.119,1.328,1.077,1.656
"7","Non-Annex I countries","July",0.031,-0.04,0.25,-0.44,-0.032,0.221,-0.148,0.1,0.087,0.071,0.025,0.231,0.181,-0.168,-0.287,-0.219,0.431,0.154,0.19,0.246,0.122,0.358,0.51,0.053,-0.022,0.145,0.934,0.258,0.112,0.163,0.259,-0.193,0.314,0.261,0.655,0.356,0.915,1.171,0.581,0.528,0.747,1.106,0.692,0.534,0.956,1.105,0.662,0.994,0.942,1.086,0.996,0.846,0.853,1.104,1.393,1.268,1.439,1.295,1.343
"8","Non-Annex I countries","August",-0.007,-0.01,0.238,-0.178,-0.095,0.209,-0.058,0.007,-0.018,0.124,-0.218,-0.027,0.021,-0.096,-0.098,-0.278,0.266,-0.071,0.421,0.245,0.26,0.243,0.358,0.071,0.281,0.416,0.588,0.374,0.403,0.505,0.246,-0.018,0.256,0.434,0.763,0.525,0.815,1.012,0.586,0.628,0.926,1.061,0.622,0.762,0.977,1.054,0.635,0.857,1.087,0.948,0.987,1.028,0.627,1.049,1.543,1.399,1.331,1.107,1.322
"9","Non-Annex I countries","September",-0.07,0.119,0.336,-0.355,-0.059,-0.132,-0.182,-0.1,0.178,-0.022,-0.146,0.138,0.174,-0.287,0.089,-0.085,0.377,0.012,0.04,0.099,-0.009,0.281,0.36,0.057,-0.01,0.136,0.669,0.362,0.24,0.325,0.361,-0.061,0.401,0.316,0.651,0.478,0.784,0.935,0.675,0.528,0.768,0.8,0.772,0.73,0.908,0.686,0.988,0.871,1.008,1.062,0.909,0.894,0.843,1.098,1.378,1.281,1.521,1.249,1.523
"10","Non-Annex I countries","October",-0.166,0.021,0.232,-0.503,0.127,0.11,-0.083,-0.115,0.163,-0.054,-0.448,0.188,0.047,-0.252,-0.123,0.039,0.284,0.056,0.659,0.268,0.006,0.285,0.082,0.191,0.176,0.018,0.458,0.251,0.288,0.78,0.153,0.079,0.489,0.285,0.603,0.277,0.712,0.979,0.519,0.312,0.876,0.872,1.139,0.829,0.892,1.379,0.721,1.012,1.087,1.161,0.72,1.113,0.899,1.128,1.671,1.273,1.14,1.052,1.388
"11","Non-Annex I countries","November",0.022,0.084,0.169,-0.347,0.119,0.104,-0.442,0.33,0.111,-0.138,-0.123,0.068,-0.166,-0.103,-0.275,-0.386,0.231,-0.129,0.138,0.644,-0.222,-0.259,0.561,0.142,0.444,-0.073,0.686,0.345,0.462,1.137,0.231,-0.052,0.399,0.883,0.683,0.135,0.762,0.924,0.641,0.163,0.86,0.728,0.88,0.999,1.002,0.78,0.871,0.91,0.684,1.208,0.698,1.077,0.987,0.896,1.303,1.06,0.989,1.163,1.547
"12","Non-Annex I countries","December",-0.258,0.263,0.192,-0.415,-0.184,-0.296,-0.491,0.505,0.272,-0.094,-0.151,0.186,-0.221,-0.797,-0.417,0.234,0.402,0.638,0.319,0.148,0.491,-0.133,0.256,-0.38,0.055,-0.037,0.865,0.293,0.634,0.911,0.04,0.371,0.566,0.383,0.589,0.774,0.737,0.989,0.549,0.608,0.805,0.617,0.695,0.842,0.719,0.42,0.753,0.965,1.062,0.858,0.252,0.608,0.736,0.734,1.196,1.653,1.111,0.931,1.248
