"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Norfolk Island","January",-1.255,0.945,0.095,0.495,-0.255,-0.505,-0.555,0.295,-0.415,1.145,1.095,-0.805,0.545,0.395,NA,NA,-1.165,-0.605,0.295,0.695,0.195,0.585,-0.605,-0.705,0.695,1.045,-0.305,-0.105,0.495,0.245,0.785,-0.005,0.085,1.445,0.545,0.795,-0.855,0.895,NA,NA,-0.555,0.345,-0.655,1.085,0.145,0.395,-0.755,0.195,-0.205,NA,1.045,-0.255,0.145,0.245,0.845,0.895,0.495,1.045,1.145
"2","Norfolk Island","February",-0.407,0.643,0.683,-0.057,-0.757,0.943,-0.157,-0.407,-0.657,0.183,0.893,-1.057,0.043,1.093,NA,-1.107,-0.357,-0.307,-1.007,0.243,1.443,0.293,-0.357,-0.457,-0.167,0.193,-0.357,0.133,0.043,1.243,0.393,0.593,-0.707,-0.117,0.043,1.793,-0.547,2.033,NA,NA,-0.257,0.143,-0.007,1.093,0.293,0.293,-0.407,0.043,NA,NA,0.743,0.643,-0.117,-0.557,0.643,1.943,1.393,1.143,1.543
"3","Norfolk Island","March",-0.55,0,0.55,0.4,-1.25,0.1,0.19,0.75,-1,0.45,-0.4,1.1,0.6,0.3,NA,0.65,0.05,0.15,0.3,-1.36,1.5,0.05,0.45,0.25,-0.25,0.15,-0.65,0.15,0.09,1.35,-0.3,-0.25,-0.55,-1.01,0.34,0.15,-0.12,1.42,NA,-1.05,0.65,0.19,-0.25,0.04,0.05,0.05,0.6,0.3,NA,NA,1.15,0.05,0.2,-0.81,0.5,1.45,1.1,1.35,1.25
"4","Norfolk Island","April",-0.125,0.485,-0.315,0.335,0.125,-0.075,0.125,0.235,-0.515,0.175,-0.165,-0.015,0.125,0.425,NA,-0.015,-0.165,0.335,0.235,-0.515,0.485,-0.665,0.985,-0.525,0.735,0.485,-0.315,0.225,0.985,0.985,-0.365,-0.765,-0.915,-0.665,0.935,1.135,-1.095,0.845,NA,-0.365,0.135,-0.015,0.135,-0.615,0.185,0.735,-0.015,0.485,NA,NA,0.205,0.435,0.185,0.135,1.025,1.735,1.435,1.135,0.385
"5","Norfolk Island","May",-0.906,1.054,0.304,-0.296,-0.796,-1.196,0.054,0.554,0.004,-0.156,0.344,-0.406,0.904,0.404,NA,-0.496,-0.046,-0.106,0.054,0.094,0.454,-0.246,0.844,0.004,-0.446,1.004,0.604,1.054,0.104,0.754,-0.706,-0.296,-0.406,0.004,0.544,0.394,0.124,1.424,NA,0.154,0.254,0.104,0.454,0.254,0.544,-0.046,0.694,-0.846,NA,NA,0.604,-0.146,-0.096,-0.096,0.754,1.654,1.204,0.504,1.154
"6","Norfolk Island","June",0.037,0.287,-0.063,0.627,-0.623,-0.413,0.337,-0.413,-0.013,0.127,0.427,-0.763,1.337,NA,NA,-0.313,-0.463,0.487,0.587,0.127,0.627,-0.463,0.577,0.487,0.337,-0.123,-0.023,1.227,0.937,-0.063,-0.113,0.077,-0.163,-0.313,-0.413,0.037,-0.223,1.537,NA,-0.613,-0.613,0.337,0.837,0.337,0.127,-0.713,0.987,0.127,NA,NA,1.137,0.087,-0.313,0.787,0.237,1.187,0.587,0.487,0.737
"7","Norfolk Island","July",0.013,0.313,0.363,0.963,-0.747,-0.237,0.753,-0.437,-0.587,0.253,-0.087,0.163,0.813,NA,NA,-0.187,0.113,0.163,0.063,0.163,0.363,-0.187,-0.387,0.853,0.313,0.063,-0.047,1.103,0.663,0.553,0.613,-0.037,1.053,-0.547,0.263,0.803,-0.307,1.593,NA,0.913,0.263,-0.137,0.203,0.063,0.703,-0.237,0.653,0.803,NA,NA,0.403,0.713,0.313,0.103,0.213,1.613,0.463,0.963,0.913
"8","Norfolk Island","August",-0.637,0.053,-0.037,0.513,-0.687,-0.487,0.803,-0.037,-0.287,0.763,0.513,-0.287,0.913,NA,NA,0.263,-0.087,-0.037,-0.447,-0.447,-0.237,-0.837,-0.037,0.963,0.013,-0.087,0.713,0.713,0.213,0.603,0.313,-0.137,0.363,-0.337,-0.437,1.063,-0.787,1.113,NA,0.263,0.363,-0.337,-0.637,-0.597,0.113,-0.237,0.613,0.013,NA,1.163,0.263,0.213,0.613,0.363,0.513,0.413,1.163,0.513,0.563
"9","Norfolk Island","September",-0.38,0.27,0.17,0.02,0.02,0.11,0.17,-0.88,0.32,0.61,0.67,-0.03,0.77,NA,NA,-0.53,-1.28,-0.14,-0.14,0.27,-0.53,0.07,0.77,0.42,0.52,-0.64,0.51,1.37,0.62,-0.28,0.67,-0.08,0.22,-0.23,1.11,1.61,0.52,1.42,NA,0.62,0.42,0.72,0.12,-0.18,0.62,0.31,0.82,0.37,NA,1.42,0.17,0.32,0.77,0.82,0.72,1.52,0.72,0.12,0.92
"10","Norfolk Island","October",0.459,0.669,-0.081,-0.181,-0.131,-0.541,0.869,-0.041,-0.731,0.819,0.869,0.019,0.919,NA,NA,-0.381,-0.331,-1.081,-0.381,0.169,-0.581,-0.431,0.619,-0.381,0.169,0.519,0.609,2.269,0.619,0.369,0.069,-0.841,0.269,-0.191,0.769,0.819,-0.141,1.619,NA,0.169,1.269,0.169,0.259,0.769,0.559,-0.081,0.969,-0.321,NA,0.619,0.669,0.369,0.619,0.369,0.469,0.669,0.769,0.869,-0.031
"11","Norfolk Island","November",0.628,-0.622,-0.522,-0.772,-0.322,-0.822,0.068,0.178,0.068,0.478,-0.522,1.228,2.278,NA,NA,-0.722,0.428,0.028,0.428,-0.822,-1.072,0.078,0.068,1.028,-0.522,0.128,-0.622,1.168,0.328,0.128,-1.322,-0.022,-0.672,0.228,1.368,-0.122,0.558,0.528,NA,-0.672,0.728,-0.672,-0.322,0.128,-0.072,0.578,0.228,0.328,NA,-0.222,0.318,-0.472,0.328,0.028,0.628,0.428,0.528,0.728,0.178
"12","Norfolk Island","December",0.418,-0.182,-0.232,-0.232,-0.282,-0.482,-0.092,-0.792,0.268,0.668,-0.432,-0.382,1.168,NA,NA,0.118,-0.532,-0.042,0.768,-0.542,1.018,0.068,-0.382,0.918,0.418,-0.532,0.068,0.868,-0.282,1.308,-0.182,-0.092,-0.432,0.258,1.108,0.658,2.248,NA,NA,0.118,0.918,0.168,0.918,0.418,1.218,-1.092,0.468,-0.082,NA,1.718,0.818,0.758,0.118,1.408,0.668,0.318,1.118,0.818,0.918
