"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","North Macedonia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174,-0.335,2.885,-0.035,0.734,2.006,2.309,1.055,-2.925,3.148,-1.091,2.195,-0.592,0.951,-1.206,4.02,0.934,1.132,1.454,1.005,-1.085,2.055,3.613,1.589,1.355,-3.327,2.593,-0.589
"2","North Macedonia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.815,-2.503,0.405,3.077,-1.317,0.987,2.201,-1.268,0.369,1.547,3.724,-4.016,0.543,-2.418,-0.951,2.577,1.594,-0.338,0.954,0.349,-3.475,1.891,3.633,0.557,5.599,2.56,1.29,1.776
"3","North Macedonia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301,-0.739,2.594,0.22,-3.019,-0.295,-1.633,1.175,0.133,4.925,2.902,-0.767,0.931,-0.066,0.588,2.362,2.552,0.229,1.161,1.039,1.726,1.316,2.913,0.305,2.118,3.827,2.049,3.705
"4","North Macedonia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396,0.285,1.164,-0.349,-0.807,-3.908,1.797,1.321,2.654,-0.057,0.002,-1.194,1.221,0.421,1.522,1.395,1.295,1.497,1.455,0.453,1.498,2.287,0.987,0.351,3.737,0.881,4.945,1.518
"5","North Macedonia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.487,0.99,1.154,-0.196,1.776,1.306,-0.029,1.221,1.936,1.236,0.915,3.35,-1.333,1.243,0.788,2.007,1.061,1.832,1.039,0.128,0.601,2.454,0.152,2.268,-0.02,1.103,3.149,-0.34
"6","North Macedonia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.118,0.999,0.407,1.114,1.288,1.432,1.582,1.342,1.521,0.321,1.879,3.149,0.358,-0.014,0.463,2.766,1.902,0.831,0.806,0.892,2.894,0.965,0.736,0.563,2.187,2.453,1.304,3.008
"7","North Macedonia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.611,0.425,1.215,1.039,0.36,0.425,1.62,1.011,1.706,1.936,1.774,1.663,0.787,1.127,0.678,3.251,1.232,1.387,1.214,1.526,4.062,0.935,0.489,2.997,1.983,2.375,1.352,1.44
"8","North Macedonia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.745,1.748,1.977,-0.715,0.655,-0.997,2.271,1.917,1.945,2.478,-0.058,2.76,0.338,0.17,0.948,2.128,2.579,1.336,2.859,1.947,2.857,2.511,1.481,2.239,1.134,2.563,1.893,2.916
"9","North Macedonia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,0.609,3.692,-0.756,-2.248,-0.628,-0.295,1.565,0.602,0.776,-0.961,-0.323,0.456,0.911,0.783,-0.568,-0.333,1.067,0.634,3.517,2.585,0.562,0.27,2.543,0.741,1.346,1.707,2.359
"10","North Macedonia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.992,2.782,1.138,-0.17,-0.808,-1.965,1.105,1.645,1.331,2.934,0.337,0.283,2.638,0.199,1.834,0.367,1.364,0.647,-1.022,-0.781,3.109,1.637,0.762,1.238,0.688,0.848,2.39,3.258
"11","North Macedonia","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457,-2.372,-0.127,-3.277,1.086,0.109,-1.361,-0.16,3.18,-1.049,1.115,1.227,-0.173,-1.35,-0.81,-1.79,1.16,1.251,3.725,-1.903,2.492,2.12,1.521,2.253,0.07,0.201,1.408,4.166
"12","North Macedonia","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.362,1.714,0.003,1.377,0.64,0.182,-2.973,1.204,1.632,-5.493,0.009,-0.168,1.373,0.578,0.305,-1.289,1.534,2.368,0.716,0.449,-0.989,-0.314,1.267,1.051,-1.279,1.543,-0.288,2.086
