"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Northern Africa","January",0.127,-0.024,1.337,-0.752,0,1.04,-0.798,-1.078,-0.035,1.284,0.305,-0.097,-0.287,-0.439,-0.717,-0.979,0.381,-0.024,1.521,0.007,-1.421,0.889,-2.245,-0.83,0.855,-0.112,0.055,0.59,-1.873,0.139,-0.377,-1.114,-0.661,0.676,-0.482,1.548,1.213,0.388,0.489,-0.683,0.375,-0.495,1.063,0.75,-0.731,0.435,0.215,0.102,1.378,2.44,1.442,-0.921,0.587,1.427,-0.344,1.683,-1.212,1.248,-0.544
"2","Northern Africa","February",-0.907,-1.12,0.553,-0.395,-0.444,0.644,-0.415,-0.278,1.443,0.366,-0.753,-0.401,0.105,-0.428,-0.125,-1.142,1.081,1.453,1.061,0.094,-0.884,-1.016,-0.459,-0.436,0.462,0.973,0.802,0.431,-1.55,0.077,-0.349,-1.709,-1.243,-0.376,0.432,0.257,-0.618,0.716,0.039,-0.382,-0.315,1.033,-0.311,0.93,0.484,0.634,1.07,-0.036,0.834,3.443,-0.034,-2.011,-0.133,1.132,-0.319,1.641,1.226,0.603,-0.839
"3","Northern Africa","March",-1.004,0.793,-0.519,1.218,0.303,-0.952,-0.873,-0.512,2.097,-0.082,0.074,-0.269,-0.426,-0.173,-0.206,-1.038,0.15,0.034,0.731,0.268,1.341,-0.386,-0.463,0.412,0.235,0.308,0.325,0.352,-0.137,0.042,0.512,-0.412,-0.189,0.338,0.314,0.438,-0.537,-0.539,0.455,0.32,2.696,1.441,0.073,1.375,1.72,1.365,0.402,1.83,0.735,2.479,1.122,-0.312,2.922,0.684,0.096,0.587,1.233,2.678,0.248
"4","Northern Africa","April",0.571,0.113,0.344,-0.191,-1.002,0.317,0.077,0.164,-0.434,0.021,-0.167,-0.138,0.155,-0.2,0.194,-0.642,0.048,0.479,0.292,0.532,1.127,0.234,0.481,0.834,0.184,0.422,0.456,1.526,0.84,0.907,0.227,0.083,0.773,0.335,-0.238,0.324,0.014,2.09,1.412,1.906,1.287,1.144,1.325,1.079,1.691,1.982,1.17,1.581,0.925,3.007,1.382,1.566,1.795,2.105,1.421,2.921,1.551,2.315,1.017
"5","Northern Africa","May",0.932,0.117,-1.164,-0.065,-0.354,-0.154,-0.009,0.168,0.213,-0.06,-0.224,-0.92,0.953,0.03,-0.372,-0.501,0.199,0.35,-0.032,0.226,0.39,-0.254,1.023,0.77,0.204,0.017,0.651,1.388,0.309,0.269,-0.555,-0.175,0.32,1.186,0.949,1.159,0.733,0.903,1.938,1.308,1.196,1.358,1.512,0.551,1.586,1.42,1.182,1.396,0.656,1.125,0.987,1.904,1.85,1.895,2.107,2.294,2.819,1.58,1.476
"6","Northern Africa","June",0.204,-0.281,-0.079,0.203,-0.084,0.28,-0.357,-0.142,0.449,-0.037,-0.164,-0.018,0.521,0.166,-0.624,-0.427,-0.314,-0.218,0.206,0.349,0.668,0.43,0.309,-0.14,0.953,0.112,0.619,0.981,0.119,0.978,0.403,0.251,1.052,0.514,1.333,-0.229,1.254,0.897,1.462,0.503,0.865,0.661,1.156,0.716,0.793,0.971,1.058,1.268,1.583,1.502,0.87,2.41,0.581,0.865,0.482,2.077,1.747,1.037,1.893
"7","Northern Africa","July",-0.167,0.298,0.499,-0.41,0.503,0.394,-0.445,-0.021,-0.65,-0.1,-0.43,0.238,0.731,-0.611,-0.151,-0.262,0.539,-0.355,0.305,0.131,0.179,0.596,0.757,-0.11,0.208,0.487,1.226,1.21,0.421,0.426,0.649,0.24,0.652,0.57,0.956,0.5,1.168,1.361,1.152,1.29,1.399,2.143,1.721,1.049,1.544,1.24,1.027,1.674,1.916,1.574,1.943,2.275,1.097,1.853,1.265,1.387,1.865,2.739,2.197
"8","Northern Africa","August",-0.44,-0.07,0.284,-0.098,-0.27,0.578,-0.141,0.235,-0.052,0.207,-0.229,-0.043,-0.076,-0.319,-0.413,-0.302,0.146,-0.418,0.569,0.321,-0.091,0.205,0.667,0.227,0.224,0.723,1.072,0.797,0.934,0.384,0.403,0.34,0.582,0.87,1.41,1.073,0.859,1.404,1.757,0.594,1.204,1.486,1.255,1.342,1.481,1.731,1.102,1.276,1.387,1.587,1.33,1.808,0.849,2.234,2.234,0.947,1.817,1.275,2.055
"9","Northern Africa","September",-0.755,0.305,0.353,-0.83,-0.129,0.054,-0.169,0.239,0.509,-0.12,-0.34,0.572,0.266,-0.267,-0.149,-0.112,-0.011,-0.165,0.05,0.27,0.24,0.463,0.395,0.561,-0.087,0.71,1.16,0.434,1.435,1.177,0.711,0.097,1.011,0.686,1.249,1.191,0.986,1.787,1.69,0.927,1.925,1.762,1.452,0.602,1.178,1.027,0.937,1.512,1.205,1.439,1.918,1.132,1.317,2.501,1.923,1.57,1.455,1.553,1.895
"10","Northern Africa","October",-0.559,0.624,0.182,-0.299,0.151,0.565,-0.175,-0.366,0.135,-0.563,-0.661,0.29,0.352,-0.227,-0.263,0.253,-0.602,-0.39,0.846,0.357,1.287,0.853,-0.254,0.35,0.012,0.252,0.848,0.311,0.508,1.666,0.705,1.111,1.33,0.963,0.518,0.076,0.886,0.782,1.693,0.021,1.728,0.973,2.435,2.098,1.539,1.444,1.382,0.736,1.531,1.76,0.446,2.473,2.005,1.531,2.702,2.984,0.552,1.491,2.182
"11","Northern Africa","November",0.489,0.791,0.475,-0.61,-0.178,0.218,-0.309,0.293,0.875,-0.201,-0.864,-0.212,-0.717,-0.727,-0.592,-0.505,-0.133,-1.427,-0.029,0.832,-0.564,-1.101,1.262,0.16,1.22,-0.511,0.476,0.291,0.783,1.698,0.089,0.124,1.097,0.455,0.222,0.356,1.036,0.465,0.734,0.915,0.921,0.99,1.237,0.633,0.905,0.195,0.827,0.676,0.879,2.161,0.552,2.516,1.219,1.694,1.056,1.66,0.376,1.271,1.513
"12","Northern Africa","December",0.007,0.042,1.23,-0.33,0.014,-0.583,-0.653,0.324,-0.148,-0.502,-0.755,-0.491,-0.281,-0.887,0.16,1.172,0.138,1.207,-0.483,-0.617,1.43,-0.921,0.039,-0.114,0.39,-1.152,1.604,-0.585,1.418,1.225,-1.371,0.279,0.921,-0.339,1.474,1.163,0.729,0.156,0.232,1.078,0.937,1.328,0.679,0.712,1.412,-0.171,0.47,0.895,2.166,2.063,0.285,0.794,0.266,0.538,0.797,1.121,0.436,1.014,1.875
