"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Northern Europe","January",0.992,1.179,-2.68,3.445,0.857,-3.756,-2.01,-2.99,-0.381,-1.56,1.803,0.088,4.311,3.57,3.225,-1.696,-0.212,0.211,-3.582,-1.579,0.478,-2.594,3.243,-0.586,-4.526,-2.466,-5.091,2.473,5.301,2.102,2.405,4.219,3.276,0.565,2.201,1.58,1.548,3.069,0.712,3.072,3.332,2.354,-1.086,0.461,4.366,2.082,3.003,4.425,2.257,-2.517,1.077,1.997,1.131,0.738,2.55,-1.068,3.324,2.133,0.939
"2","Northern Europe","February",3.896,1.712,-2.813,0.225,0.887,-4.872,2.344,-0.684,-3.206,-4.222,1.276,1.654,1.813,3.903,3.463,1.797,-0.825,-2.319,-1.707,-1.049,0.175,2.108,0.259,2.74,-4.835,-2.339,-0.221,1.575,4.673,6.67,-0.162,4.305,3.6,-2.068,4.002,-1.516,2.83,2.41,1.039,3.451,-0.061,4.1,2.3,2.141,1.973,0.866,-0.418,4.971,0.582,-1.833,-0.924,0.465,2.448,5.965,4.521,3.767,3.36,-0.287,4.136
"3","Northern Europe","March",2.8,-4.341,-1.979,0.05,-0.837,-1.336,2.731,0.766,-2.261,-0.235,-1.902,1.322,2.536,1.978,1.903,-1.098,1.192,0.079,-0.07,-1.589,-1.802,2.025,0.918,-0.873,0.211,1.849,-2.182,-0.328,3.382,3.237,2.039,3.201,1.728,0.777,2.12,0.266,2.128,0.343,1.614,1.811,-1.365,2.09,3.138,2.332,-0.304,-2.257,4.533,1.159,1.589,0.304,1.478,3.964,-2.516,4.177,3.871,3.109,2.882,-1.522,2.16
"4","Northern Europe","April",0.056,0.837,0.444,0.783,0.639,-1.947,0.253,0.608,-0.057,-1.667,-0.587,0.338,-0.206,1.362,0.009,-0.006,-1.44,-0.773,-0.481,1.417,0.039,0.825,0.889,1.525,-1.182,-1.037,0.83,-0.962,1.476,1.682,0.997,-0.541,1.236,1.956,0.376,0.734,-0.65,-0.039,2.284,1.741,0.917,2.643,1.21,2.394,1.933,1.267,2.696,1.648,2.394,1.689,3.845,0.421,0.195,2.625,2.089,1.71,0.442,2.032,3.151
"5","Northern Europe","May",0.274,-0.804,2.127,1.096,-1.443,-0.351,-0.332,-1.639,-0.729,0.462,0.45,0.162,0.248,-0.086,0.675,1.009,-0.319,0.478,-0.265,0.158,1.074,-0.033,0.791,2.032,-0.181,1.133,-0.431,1.269,1.397,1.113,-0.442,2.119,1.948,-0.402,-0.246,-1.012,-0.571,0.759,-0.268,1.622,0.692,2.323,1.179,1.182,0.113,1.271,1.048,1.257,1.86,1.272,1.294,1.071,2.716,1.301,0.195,2.658,0.602,4.171,0.637
"6","Northern Europe","June",1.056,-1.709,-0.038,-0.863,-0.22,1.556,-0.619,0.664,0.567,2.008,-0.779,0.712,0.699,0.353,-1.153,-0.296,-0.728,0.136,0.764,1.462,-1.49,-1.555,-0.502,0.1,-0.474,1.547,-1.339,1.511,0.643,0.195,-1.41,1.61,-1.668,-1.031,0.967,-0.455,0.668,-0.434,1.276,-0.372,0.038,1.58,0.381,-0.436,0.276,1.191,1.118,0.26,-0.037,-0.052,1.43,-0.846,1.612,0.121,-0.897,1.032,0.132,0.785,1.421
"7","Northern Europe","July",0.134,-1.552,-0.572,-0.617,-1.753,0.24,-0.172,-1.039,0.355,-0.067,-0.053,1.899,2.004,-0.309,0.236,0.32,-0.395,-0.511,-0.395,0.311,0.117,0.816,1.007,-0.133,0.106,0.09,-0.527,1.363,0.544,0.313,1.261,-0.248,-0.331,1.971,0.059,-0.722,1.831,0.089,1.205,0.241,1.545,1.598,2.946,0.517,1.811,2.117,0.496,0.96,0.828,2.402,1.773,0.453,1.272,3.427,-0.363,1.417,0.218,3.766,0.931
"8","Northern Europe","August",-0.338,-1.613,0.324,-0.594,-1.017,-0.748,0.61,-0.068,1.723,0.388,0.056,0.143,-0.342,-0.134,0.965,0.492,-0.461,-0.607,-0.15,0.173,-0.429,0.328,0.075,0.366,0.064,-1.665,-1.641,-0.063,0.088,1.043,1.359,-0.515,-1.017,0.764,1.026,1.895,2.792,-0.563,-0.259,0.189,0.686,2.841,1.383,1.641,0.807,2.276,1.159,0.081,1.191,0.886,0.772,0.514,1.323,1.181,1.472,0.525,0.376,1.512,1.396
"9","Northern Europe","September",0.997,-0.644,1.02,-0.492,0.916,-1.007,1.301,0.094,-0.091,-0.193,-0.138,-0.701,-1.116,0.863,0.743,-1.625,-0.998,-0.755,-0.323,0.787,0.421,-0.1,0.648,-0.577,-0.438,-2.258,-0.48,0.97,0.791,-0.54,-0.09,0.755,-1.953,-0.05,0.355,-0.365,1.086,0.961,2.528,0.486,1.14,0.863,0.947,1.414,1.369,2.795,0.085,0.1,1.66,0.781,2.082,0.423,1.475,1.681,1.881,2.695,1.336,1.563,0.834
"10","Northern Europe","October",3.113,1.023,0.861,0.884,0.852,-0.975,0.4,-1.954,1.283,-0.054,-0.063,0.224,-2.185,-0.931,0.47,-1.117,0.482,0.037,-0.945,-1.511,-0.585,0.173,0.085,0.923,1.376,0.68,1.814,-0.271,0.387,0.926,0.357,-3.783,-1.626,-0.597,1.76,1.352,-0.971,0.007,1.08,2.671,2.04,-2.22,-1.105,0.451,1.88,1.367,1.547,0.859,-0.933,0.276,1.856,-0.261,1.239,1.224,1.097,0.667,1.237,0.842,-0.383
