"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Norway","January",0.382,0.723,-1.891,3.765,0.385,-3.382,-2.203,-2.435,0.028,-1.724,1.647,0.467,5.059,4.109,3.167,-1.789,-0.725,0.213,-4.006,-1.925,-0.438,-2.265,3.232,-1.212,-3.348,-3.628,-4.549,2.81,5.999,2.37,2.941,5.105,3.489,-0.676,2.465,1.955,2.104,2.483,0.325,3.476,3.338,2.087,-1.106,0.487,4.536,3.149,2.262,4.358,2.705,-2.007,1.234,1.771,1.008,0.343,2.26,-1.209,3.935,1.416,1.122
"2","Norway","February",3.067,2.059,-2.54,0.503,1.261,-5.823,2.214,-0.148,-3.177,-4.518,1.301,1.497,1.958,3.485,3.342,2.465,-1.462,-2.01,-1.296,-1.565,0.351,2.645,0.862,3.328,-4.367,-1.633,-0.376,1.265,4.959,7.279,0.238,4.468,3.855,-1.56,3.361,-0.925,2.323,2.047,1.279,3.107,-0.962,3.428,3.428,2.198,2.665,2.068,-0.445,4.925,-0.164,-2.588,-0.718,1.391,1.795,6.393,4.633,3.303,3.19,-0.165,3.668
"3","Norway","March",2.468,-4.826,-1.984,0.868,-1.172,-1.696,2.789,0.198,-2.136,-0.265,-2.391,1.694,3.061,2.419,1.974,-0.918,0.757,-0.878,-0.42,-1.57,-2.344,2.116,1.067,-0.899,0.255,2.005,-2.436,-1.155,3.667,3.393,2.184,2.924,1.279,0.426,2.136,0.761,1.595,0.062,1.418,1.354,-2.519,1.441,3.274,2.578,-0.076,-2.633,4.671,0.32,1.701,-0.083,1.425,4.425,-2.443,3.96,4.001,3.308,2.183,-2.192,1.336
"4","Norway","April",-0.239,0.589,0.55,0.91,1.092,-2.243,-0.134,0.261,0.288,-2.177,-0.51,0.299,-0.452,1.698,-0.32,-0.077,-2.145,-0.628,0.046,1.566,-0.044,0.834,1.545,1.716,-1.708,-1.208,1.065,-1.537,2.394,1.815,1.312,-0.701,1.5,2.481,0.061,0.434,-1.247,-0.032,2.179,1.491,0.149,3.444,1.879,3.17,2.452,1.485,2.466,1.661,2.929,1.795,4.435,0.183,0.339,2.618,2.22,1.867,0.392,1.805,3.492
"5","Norway","May",0.442,-1.141,3.13,1.051,-1.737,-1.109,-0.122,-1.679,-0.522,0.689,0.684,0.69,0.205,0.551,0.587,1.256,-0.536,0.496,-0.556,0.865,0.917,-0.232,0.741,2.532,-0.106,1.515,-0.281,1.387,1.103,0.791,-0.624,2.243,1.755,-0.279,-0.549,-1.372,-0.782,0.373,-0.388,1.848,0.371,2.828,0.811,1.534,-0.459,1.665,0.64,1.039,2.097,0.823,1.403,0.807,3.17,0.936,0.106,2.579,0.344,4.57,0.369
"6","Norway","June",1.017,-2.327,0.544,-1.557,-0.334,1.773,-0.693,0.39,0.967,2.487,-0.498,1.621,0.377,0.959,-1.775,-0.594,-0.8,0.801,1.042,1.922,-2.319,-1.645,-0.696,0.266,-0.193,1.973,-1.54,1.714,0.62,0.748,-1.35,2.053,-2.152,-1.373,0.363,-0.669,0.773,-0.608,0.886,-0.948,0.204,2.131,0.673,-0.699,0.025,0.967,1.292,0.38,-0.053,-0.78,1.565,-1.101,1.464,0.187,-1.291,0.851,0.09,0.398,0.822
"7","Norway","July",0.556,-1.686,-0.644,-0.988,-1.746,0.354,-0.579,-1.117,0.373,0.233,-0.384,2.22,2.543,-0.402,-0.194,0.212,-0.194,-0.032,-0.302,0.999,-0.042,1.012,0.464,-0.648,0.576,-0.027,-0.459,1.502,-0.194,0.328,1.216,-0.953,-0.175,1.766,-0.489,-0.946,2.038,0.374,0.537,0.175,0.872,1.649,3.156,0.934,1.96,1.728,0.811,1.371,0.99,1.195,1.495,-0.131,1.086,4.031,-0.545,1.276,0.276,4.051,1.08
"8","Norway","August",-0.108,-1.736,0.889,-0.566,-1.187,-0.688,0.495,-0.377,2.693,0.756,-0.055,0.039,-0.853,-0.135,0.809,0.279,-0.147,-0.422,-0.242,0.444,-0.895,0.469,-0.565,0.172,0.193,-1.504,-2.072,0.109,-0.211,0.942,1.175,-1.127,-0.907,1.058,0.3,2.301,2.97,-0.543,-0.606,-0.217,0.39,3.432,1.323,1.795,0.627,2.711,0.831,-0.106,1.419,0.45,0.919,0.109,1.235,1.208,1.742,0.082,0.109,0.897,1.578
"9","Norway","September",1.437,-0.593,1.217,-0.791,1.528,-1.698,1.613,0.277,-0.125,-0.528,0.2,-0.72,-1.125,1.589,0.551,-2.222,-0.981,-1.067,-0.161,0.629,0.804,-0.401,0.722,-0.707,-1.061,-2.552,-0.601,1.431,0.608,-0.131,-0.234,1.009,-1.779,-0.294,0.374,-0.259,1.613,1.106,3.23,0.888,1.309,1.035,0.721,1.262,1.104,2.754,-0.371,0.474,1.404,0.809,2.308,0.124,2.003,1.63,2.259,3.374,1.856,1.451,0.639
"10","Norway","October",3.803,1.059,1.154,1.121,0.902,-1.488,-0.318,-2.657,1.362,-0.025,-0.344,0.59,-2.338,-0.905,0.574,-0.795,0.595,0.029,-1.226,-2.175,-0.176,0.492,-0.077,0.968,1.497,0.983,3.107,-0.524,0.234,1.258,0.323,-3.926,-1.873,-0.828,1.235,1.465,-1.115,-0.189,1.149,3.448,1.695,-2.238,-1.253,0.707,2.182,0.738,1.899,0.808,-1.246,0.654,2.269,-0.582,1.073,1.704,1.61,0.925,1.351,0.757,-1.016
