"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Oceania","January",0.235,0.002,-0.56,-0.247,-0.07,-0.216,0.061,0.408,0.925,0.183,0.537,-0.714,1.052,-0.678,-0.448,-1.229,0.117,0.152,1.225,0.393,0.684,0.817,0.308,-1.065,0.736,0.12,0.223,1.164,0.007,0.713,0.531,-0.105,0.497,0.88,0.44,0.212,-0.217,0.972,1.256,-0.491,1.21,0.211,0.846,0.616,0.655,1.103,0.309,1.258,0.676,0.812,1.03,0.257,1.859,1.132,0.415,0.888,1.029,1.511,2.57
"2","Oceania","February",-0.005,-0.018,-0.026,-0.497,1.063,-0.09,-0.498,0.261,0.189,0.779,0.393,-0.177,0.228,-0.804,-0.096,-0.532,0.726,0.668,0.099,0.271,0.238,0.391,1.909,-0.029,0.886,0.667,-0.203,0.065,0.645,-0.141,0.685,0.369,-0.215,0.063,-0.075,0.381,0.947,1.385,0.292,0.327,0.564,-0.335,0.973,0.858,0.806,0.63,1.672,-0.234,0.64,1.071,0.117,0,0.999,0.399,1.783,1.337,0.728,1.006,1.422
"3","Oceania","March",0.18,-0.385,0.311,0.08,-0.223,-0.018,-1.343,0.199,-0.232,-0.093,0.282,-0.486,0.375,0.143,-0.486,-0.334,-0.296,0.766,0.445,0.768,-0.579,-0.403,0.539,-0.931,0.906,1.341,-0.62,0.746,0.029,1.07,0.271,0.88,0.084,-0.625,-0.445,0.069,-0.577,1.185,0.546,0.026,-0.381,0.394,-0.249,0.352,0.988,0.618,0.639,0.549,0.478,0.435,-0.577,-0.696,0.852,0.875,0.805,1.754,1.609,1.033,1.805
"4","Oceania","April",0.578,-0.16,-0.697,0.114,-0.589,0.235,0.475,0.495,-0.207,-0.036,-0.395,-0.329,0.873,-0.315,-0.191,-0.458,-0.203,0.187,0.181,0.697,1.425,0.043,-0.818,-0.095,0.099,0.598,0.887,0.612,0.453,0.24,0.412,0.721,1.097,0.025,-0.566,-0.039,0.189,0.625,-0.618,0.212,0.354,1.659,0.871,0.953,2.243,-0.356,0.911,-0.312,0.721,1.434,-0.277,0.307,1.187,1.228,-0.287,2.058,0.342,2.178,1.222
"5","Oceania","May",-0.16,-0.402,0.379,-0.056,0.54,-0.621,0.459,-1.148,0.31,-0.368,-0.292,0.281,1.424,-0.058,0.62,-0.339,-0.118,0.85,-0.525,1.367,0.542,0.202,0.698,0.604,0.533,1.04,0.298,1.386,1.127,1.153,0.662,0.678,0.954,0.602,0.136,0.662,0.404,1.59,1.26,-0.546,0,1.589,1.311,0.436,1.462,-0.472,2.052,0.548,0.339,0.882,-0.715,-0.038,1.399,1.875,0.325,2.298,1.036,0.677,0.932
"6","Oceania","June",-0.165,1.371,-0.451,0.176,0.191,0.08,-0.036,0.163,-0.442,0.767,-0.835,0.331,0.678,-0.652,-0.175,-0.512,-0.549,-0.199,0.782,0.435,-0.149,-1.266,0.124,0.103,-0.697,0.375,0.848,0.835,-0.659,-0.304,1.6,0.159,0.065,0.042,0.385,1.903,0.033,0.682,0.536,-0.539,0.886,0.502,0.858,0.658,1.002,-0.75,-1.069,1.079,0.656,0.467,-0.4,-0.428,0.876,0.602,1.27,1.336,0.581,0.36,0.324
"7","Oceania","July",-0.586,0.419,-0.484,0.664,-0.989,-0.405,-0.522,-0.755,0.8,-0.213,-0.381,-0.203,1.664,0.406,1.694,0.16,-0.253,-0.134,0.199,0.191,0.617,-0.861,-0.614,-0.474,0.084,-0.012,0.179,1.14,-0.229,0.681,0.519,0.641,1.128,0.337,0.458,0.86,-0.329,0.672,0.772,0.709,0.569,0.543,0.968,0.43,1.25,0.174,0.381,0.436,0.831,1.167,0.701,-0.044,1.587,0.474,0.576,1.17,1.718,1.23,1.413
"8","Oceania","August",-0.637,-0.189,0.012,0.23,0.26,-0.613,-0.615,-0.889,0.75,-0.285,0.481,0.699,0.901,0.294,0.197,-0.361,0.92,-0.142,0.294,0.964,0.641,1.357,0.992,0.277,0.849,-0.42,0.218,0.896,-0.845,-0.159,0.427,0.301,0.743,-0.179,1.169,0.756,0.084,1.635,0.949,0.315,0.31,0.46,0.675,0.049,0.603,1.065,1.127,-0.466,2.374,0.383,1.139,0.498,1.693,0.443,0.781,0.719,1.199,0.251,0.458
"9","Oceania","September",0.791,0.022,0.024,0.59,0.837,-0.3,-0.193,-0.523,-1.261,-0.473,0.475,0.812,0.385,-0.35,0.959,-0.415,-0.494,-0.96,0.439,1.417,1.487,-0.011,1.711,-0.923,-0.221,0.616,0.462,1.314,0.605,0.117,0.667,0.038,0.219,0.183,1.209,0.753,1.17,1.49,1.384,1.741,1.181,1.209,1.283,-0.007,1.256,1.326,1.252,1.459,1.31,0.54,0.414,1.242,2.595,1.309,0.552,0.429,1.458,0.806,1.169
"10","Oceania","October",1.114,-0.203,0.239,-1.225,0.731,-1.085,1.393,-0.147,0.708,0.547,0.406,0.404,0.432,-0.568,-1.062,-0.992,0.786,-0.457,0.265,0.532,0.177,-0.477,0.778,0.094,-0.206,-0.541,0.762,2.084,0.593,0.612,1.376,-0.376,-0.305,0.591,0.15,0.732,0.707,0.894,0.903,0.107,-0.593,0.941,-0.182,1.601,1.305,1.386,1.353,1.617,0.515,0.009,0.693,0.98,1.579,1.888,2.726,-0.036,1.615,1.822,1.962
