"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","OECD","January",0.437,-0.168,-0.906,0.532,0.176,-1.441,0.452,-0.355,-0.141,-0.462,-0.398,-1.126,0.769,-0.437,0.107,-0.171,0.507,0.065,-0.245,0.417,2.619,-1.258,1.165,-0.213,0.746,1.43,1.192,0.717,0.644,1.603,0.062,1.566,1.003,-0.02,1.816,-0.493,0.176,1.223,1.312,0.84,2.464,1.683,1.754,-0.022,1.206,2.71,1.98,1.406,0.878,1.451,1.463,1.582,1.73,1.928,1.521,2.535,2.446,1.962,1.744
"2","OECD","February",0.756,-0.342,-0.018,0.125,-1.068,-0.013,-0.926,-0.015,0.349,0.484,0.235,-1.253,-0.058,-0.361,-0.112,0.344,1.876,0.305,-2.679,0.892,1.738,-0.228,0.91,1.221,-0.997,0.662,1.306,0.344,0.416,-0.149,1.491,0.956,-0.135,-1.169,1.043,0.768,1.438,2.711,1.743,2.357,0.763,1.127,0.07,1.213,1.44,1.421,0.651,0.304,1.096,1.717,0.257,1.672,1.34,0.455,0.408,2.72,2.398,0.76,0.65
"3","OECD","March",0.205,-0.193,-0.136,-1.59,-0.41,0.425,-0.238,1.171,-0.712,0.009,-0.317,-0.071,1.206,-0.129,-0.511,-0.407,1.143,0.229,0.552,0.38,1.912,0.025,0.64,-0.023,0.928,1.174,0.179,1.243,-0.012,2.159,1.06,1.6,1.011,1.187,0.469,-0.263,0.353,1.284,1.761,2.216,1.009,-0.02,0.357,1.22,1.33,1.25,1.171,0.365,0.336,2.149,0.536,1.945,0.742,0.35,1.716,2.65,1.599,1.492,2.099
"4","OECD","April",-0.029,-0.054,0.423,-0.307,0.02,-0.375,-0.394,0.314,0.352,-0.389,-0.2,-0.75,-0.189,-0.364,-0.608,0.555,0.531,-0.027,-0.099,0.747,0.769,-0.792,-0.308,0.491,-0.09,0.319,1.058,0.913,1.013,0.75,0.926,0.121,0.734,0.525,0.306,0.123,-0.351,1.52,0.92,0.674,0.828,0.519,0.652,0.864,1.816,1.514,1.047,0.39,0.855,2.391,0.405,1.248,-0.036,0.806,0.904,1.47,1.043,0.636,1.228
"5","OECD","May",-0.29,-0.32,0.135,0.128,0.061,-0.283,-0.369,-0.63,0.12,-0.368,-0.181,-0.115,0.576,-0.306,0.504,-0.086,0.554,0.169,-0.16,0.84,0.415,0.099,-0.563,0.164,0.615,0.759,0.243,0.885,0.517,0.471,0.703,0.155,0.948,0.609,0.381,0.176,0.11,1.735,0.734,0.433,0.81,0.226,1.163,0.113,0.881,1.09,1.033,0.631,0.373,0.687,0.229,1.133,0.717,1.179,0.952,1.664,1.068,1.596,0.728
"6","OECD","June",0.352,0.209,-0.188,-0.219,-0.358,0.145,-0.219,-0.039,-0.529,0.433,-0.095,-0.225,0.422,-0.136,0.095,-0.116,0.202,-0.304,0.218,0.268,0.085,-0.563,0.157,0.207,-0.26,0.154,0.519,0.795,0.2,0.472,0.794,-0.141,0.042,0.728,0.686,0.989,0.505,0.918,0.577,0.069,0.647,0.885,0.762,0.396,0.936,0.968,0.456,0.882,0.468,0.788,0.579,0.937,1.253,0.789,1.221,1.483,1.044,0.932,1.012
"7","OECD","July",-0.112,-0.181,0.012,0.239,-0.762,0.104,-0.253,-0.5,0.175,0.068,-0.253,-0.388,0.571,0.067,0.71,-0.071,-0.081,-0.183,0.207,0.257,0.327,-0.057,0.245,-0.033,0.089,-0.108,0.202,0.755,0.569,0.467,0.407,-0.37,0.191,0.797,0.324,0.449,0.334,1.046,0.522,0.518,0.76,0.821,1.094,0.413,0.95,1.17,0.927,0.565,0.54,1.164,1.005,1.104,0.935,0.807,0.751,1.251,1.227,1.449,1.187
"8","OECD","August",0.064,0.13,0.036,-0.361,-0.366,-0.296,-0.079,-0.772,0.419,0.219,0.128,0.039,0.551,-0.189,0.014,-0.293,0.103,-0.307,-0.121,0.477,0.536,0.091,0.86,0.377,0.012,-0.274,-0.191,0.701,0.188,0.355,0.72,-0.121,0.298,0.409,0.827,0.44,0.524,1.23,0.759,0.531,1.027,0.597,1.263,0.103,0.697,0.893,0.915,0.348,1.023,1.084,1.277,1.143,1.169,0.743,0.9,1.175,0.971,0.854,1.034
"9","OECD","September",0.04,-0.05,0.26,-0.114,-0.626,0.235,0.175,0.085,-0.258,-0.287,0.163,-0.645,0.275,-0.707,0.074,-0.13,0.14,-0.203,0.368,0.242,0.609,0.209,0.739,-0.725,-0.125,-0.212,0.775,0.525,0.433,0.481,0.413,-0.465,-0.369,0.554,0.608,0.037,1.096,1.595,1.062,0.596,1.026,1.067,0.915,0.358,1.225,1.105,0.738,0.599,1.428,0.822,1.318,1.37,1.477,0.964,1.289,1.337,1.291,0.757,1.542
"10","OECD","October",0.09,0.765,1.305,-0.355,-0.092,-0.556,0.517,0.477,0.042,-0.181,0.482,-0.798,0.579,-0.98,-0.242,-1.151,0.611,-0.565,0.373,0.089,0.022,-0.218,0.344,0.051,-0.137,-0.32,0.439,0.553,0.267,-0.016,0.128,-0.491,-0.185,0.671,0.598,-0.298,-0.202,0.991,0.314,0.444,0.305,0.013,0.894,0.992,1.25,1.099,1.227,0.761,-0.249,0.964,1.117,0.544,1.321,1.675,1.658,0.916,1.413,0.622,1.127
