"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Oman","January",0.672,0.378,1.724,-4.13,-0.994,1.842,0.63,-0.61,-0.11,0.486,-0.011,0.256,-1.512,-0.509,0.437,0.099,-1.499,0.896,-0.266,0.054,0.826,-0.737,-0.323,-0.065,1.007,-0.767,0.087,-0.056,-0.767,0.22,0.89,-1.031,0.238,0.235,0.713,-0.359,-0.746,0.329,1.039,1.051,-0.28,1.101,0.617,1.03,0.179,0.168,-0.052,0.247,-0.717,0.921,0.829,1.071,0.751,-0.431,0.492,1.24,1.579,0.468,1.741
"2","Oman","February",0.144,1.977,2.233,-0.532,0.614,0.35,0.586,-1.344,-0.652,1.634,-0.383,-1.772,0.808,-0.767,-0.019,0.768,0.458,0.208,0.335,0.262,0.285,-1.938,-0.909,-1.261,0.026,-0.975,0.346,0.277,-0.498,0.304,0.307,-1.007,1.109,-0.172,0.672,0.217,0.536,0.493,1.526,0.354,0.116,0.187,1.843,1.115,0.896,1.758,1.715,-0.759,1.892,1.3,0.937,0.586,0.883,-0.467,1.603,0.757,0.348,1.364,0.565
"3","Oman","March",-0.341,1.324,-0.44,0.046,-0.718,-0.67,0.072,-0.902,2.126,0.112,0.327,-0.692,-0.133,1.116,-1.418,0.486,3.194,-0.59,0.178,0.037,0.646,-1.896,-1.549,0.212,0.741,-0.214,0.094,0.795,-0.745,-0.285,-0.004,-1.848,-0.376,0.645,-1.52,0.418,-1.08,1.023,-0.361,0.541,1.19,1.406,1.346,1.818,1.186,0.414,0.614,1.286,1.319,2.188,1.382,0.503,0.712,0.354,0.68,1.538,1.493,1.322,-0.452
"4","Oman","April",-2.022,0.721,0.604,0.277,-2.321,-0.135,-0.396,-0.463,0.473,1.659,0.833,-1.378,0.988,-0.926,0.064,-0.494,0.336,0.809,-0.441,0.838,0.727,-1.811,-2.633,0.466,-1.025,0.249,-0.566,0.392,-1.506,0.302,-0.076,-2.853,-1.138,-0.394,-0.961,0.228,-2.185,0.623,0.428,1.025,0.698,0.432,0.734,1.156,0.587,0.334,1.356,0.576,-0.609,1.615,0.147,-0.097,-0.398,1.066,1.382,-0.253,2.092,1.511,0.544
"5","Oman","May",-0.164,0.703,-1.897,-0.476,-0.09,0.477,-0.117,-0.841,0.804,1.13,-0.139,0.233,0.466,0.05,0.129,-0.038,1.274,0.117,-0.328,0.041,-0.428,1.077,0.364,-0.775,-0.199,1.304,0.252,0.393,-0.629,-0.145,-1.435,0.217,-0.314,0.54,0.278,0.112,-0.473,1.334,0.22,1.215,1.692,1.117,0.593,0.483,0.2,0.81,1.23,1.139,1.641,1.501,1.46,1.699,-0.046,0.438,1.498,1.213,1.725,1.212,0.54
"6","Oman","June",-0.31,0.938,-0.163,-0.19,0.046,0.121,-1.01,-1.208,0.789,0.975,0.068,0.424,0.207,-1.063,-0.233,0.392,1.485,0.273,0.875,-0.083,0.528,0.994,0.843,-1.409,-0.178,-0.357,0.148,0.755,-0.486,0.478,-0.428,0.85,0.637,0.457,0.163,-0.534,-0.166,1.229,0.723,0.088,-0.117,0.847,1.052,0.897,0.787,0.658,0.419,0.321,0.888,0.499,1.458,0.558,-0.033,1.059,0.983,0.637,1.542,1.447,1.889
"7","Oman","July",-0.124,NA,0.218,0.472,-0.22,-0.256,-0.274,-1.131,-0.116,0.82,-0.17,0.709,-0.308,0.443,-0.573,1.333,-0.23,0.115,-0.04,-0.808,0.078,-0.676,-0.442,-1.213,-0.927,-0.666,0.668,-0.548,-0.56,0.331,-0.765,-0.475,0.399,-0.82,-1.005,0.46,0.177,0.506,-0.263,-0.318,0.002,0.148,-0.501,0.04,0.406,0.237,0.271,-0.169,0.527,0.342,0.067,0.665,-0.225,0.312,0.937,0.588,1.214,1.047,0.433
"8","Oman","August",NA,NA,0.696,-0.264,-0.078,0.217,-1.155,-1.385,0.315,0.501,0.31,0.001,-0.541,0.572,0.403,0.285,0.063,-0.583,0.584,-0.821,0.83,-0.635,-0.034,-0.865,0.194,-0.319,0.316,0.131,-0.746,-0.62,-1.299,0.047,0.557,0.146,0.431,0.054,0.523,1.355,0.659,0.961,0.696,-0.04,0.315,0.215,1.361,0.574,0.669,0.016,1.378,0.995,0.958,0.691,0.25,0.377,1.91,1.972,1.48,1.178,1.325
"9","Oman","September",0.338,0.094,-0.079,-0.033,0.611,-0.045,-0.146,-0.273,-0.095,0.791,0.613,0.387,-0.73,0.334,0.147,-0.448,-0.143,-0.547,0.53,-0.347,0.534,0.167,0.083,-0.021,0.035,0.471,0.555,0.51,-0.037,-0.05,-0.503,-0.632,0.47,-0.051,0.74,0.48,1.004,0.79,-0.117,0.158,1.044,0.338,0.236,-0.027,0.748,0.764,0.727,0.856,1.103,0.764,1.309,1.359,0.795,0.79,1.216,1.09,1.666,1.301,1.758
"10","Oman","October",-0.318,0.138,1.147,-0.805,1.296,0.932,1.024,0.491,0.49,1.026,-0.902,0.87,-0.437,-0.02,-0.41,0.188,0.89,-0.883,0.045,0.241,-0.127,0.095,-0.316,-1.274,-0.178,0.702,0.163,0.146,0.046,0.15,-0.884,-0.7,-0.173,-0.006,0.043,-1.078,0.497,1.02,0.927,0.507,0.988,1.16,0.729,0.386,0.472,1.047,-0.353,0.971,0.628,1.423,0.541,0.819,0.87,1.198,1.713,0.651,1.441,1.166,0.788
