"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Pacific Islands Trust Territory","January",0.15,-0.006,-0.031,0.252,-0.117,-0.31,-0.075,0.018,-0.267,0.182,0.192,-0.338,-0.074,-0.226,-0.097,-0.106,-0.033,0.041,0.245,0.244,0.269,0.278,-0.318,0.051,0.073,0.329,0.005,0.371,0.25,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pacific Islands Trust Territory","February",0.377,0.111,-0.051,-0.165,-0.367,-0.123,0.009,-0.239,-0.105,0.367,-0.109,-0.347,0.057,0.096,0.163,-0.476,0.159,-0.096,0.158,0.014,0.05,0.223,-0.062,-0.01,0.172,0.067,-0.077,0.375,0.298,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Pacific Islands Trust Territory","March",0.365,-0.072,-0.064,0.074,-0.201,-0.027,-0.421,-0.325,-0.009,0.305,-0.011,-0.389,0.2,-0.23,-0.02,-0.387,0.052,0.366,0.176,0.285,0.026,-0.086,0.111,0.368,0.122,0.007,-0.042,0.609,0.139,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Pacific Islands Trust Territory","April",0.346,0.187,0.287,0.008,-0.023,0.054,-0.078,-0.185,-0.031,0.337,-0.04,-0.285,0.063,-0.259,-0.073,-0.453,0.067,0.065,-0.242,0.267,0.134,0.214,0.431,0.507,-0.238,0.217,0.175,0.7,0.142,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pacific Islands Trust Territory","May",-0.003,0.05,0.23,-0.088,-0.09,0.072,0.148,-0.081,0.113,0.061,-0.328,-0.008,0.039,-0.014,-0.279,-0.369,-0.067,0.107,0.133,0.134,0.368,0.02,0.764,0.541,0.103,0.392,0.278,0.325,0.006,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pacific Islands Trust Territory","June",-0.196,0.113,0.238,-0.095,-0.303,0.13,-0.041,0.183,0.126,0.019,-0.503,-0.067,0.205,-0.216,-0.565,-0.297,0.159,0.068,0.083,0.294,0.063,0.091,0.41,-0.128,-0.305,0.181,0.217,0.172,-0.007,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Pacific Islands Trust Territory","July",-0.086,-0.091,0.091,0.053,-0.771,0.211,-0.025,-0.047,-0.365,0.19,-0.493,0.082,0.118,-0.137,-0.506,-0.207,-0.168,0.251,0.162,0.161,0.051,-0.006,0.112,0.233,-0.303,0.076,0.03,0.153,0.065,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pacific Islands Trust Territory","August",-0.153,0.024,0.188,-0.348,-0.012,0.387,-0.159,0.064,0.009,-0.008,-0.272,-0.105,0.131,-0.124,-0.37,-0.434,0.022,0.059,0.044,0.128,0.225,-0.01,0.353,-0.157,-0.312,0.458,0.032,0.197,0.067,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Pacific Islands Trust Territory","September",-0.233,-0.22,0.31,-0.177,-0.121,0.397,0.181,0.147,-0.246,-0.026,-0.255,-0.203,-0.116,-0.085,-0.406,-0.388,0.224,-0.026,0.408,0.089,0.159,0.124,0.226,0.044,-0.233,0.086,0.506,0.146,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Pacific Islands Trust Territory","October",-0.265,0.287,0.041,-0.264,-0.109,0.275,-0.171,0.131,0.166,-0.228,-0.711,-0.019,-0.357,-0.209,-0.648,0.027,0.116,-0.048,0.296,0.326,0.121,0.06,0.095,-0.236,0.072,0.208,0.501,-0.129,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
