"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Pakistan","January",0.439,-0.315,1.071,-2.719,2.026,1.822,-1.287,-0.812,0.012,0.559,-0.739,0.462,-1.761,-0.255,-0.773,0.79,-0.707,-0.475,0.59,0.19,0.877,0.302,0.099,-0.639,0.276,-0.856,0.883,1.371,-0.751,2.021,0.004,0.276,-0.312,0.759,0.183,-0.474,-0.104,0.442,0.232,0.772,-0.3,0.829,1.148,1.103,-0.459,0.036,0.585,-1.596,1.272,1.652,0.195,-0.46,0.644,0.062,0.745,2.041,0.494,1.765,1.166
"2","Pakistan","February",-1.749,1.111,2.539,-0.331,0.147,2.181,1.604,-2.256,-0.842,0.538,0.264,-4.508,0.929,-2.634,-1.326,-0.645,0.283,-0.474,-0.351,0.517,0.805,-1.907,-1.006,-2.588,1.167,-1.009,0.758,0.914,-1.303,0.034,-1.051,-0.579,1.991,-0.483,0.142,0.776,0.428,-0.138,1.195,-0.848,0.588,-0.046,1.073,1.706,-1.163,4.297,1.561,-1.129,2.242,1.192,0.684,-1.784,0.514,-1.033,1.739,1.297,1.054,2.249,-0.716
"3","Pakistan","March",0.552,-0.003,0.047,1.629,-0.495,-0.444,-0.936,0.023,2.662,-0.98,0.489,-0.165,-0.372,1.49,-1.422,-1.834,2.263,-1.528,-2.117,-1.085,-0.124,-2.533,-2.102,2.004,1.79,-1.366,0.211,-0.307,-0.791,-1.31,-0.573,-1.609,-1.286,1.579,-1.649,0.607,-0.581,-0.519,0.217,-0.25,0.855,1.144,0.367,3.141,0.526,1.581,-0.554,2.347,1.614,3.884,1.459,0.214,1.336,-0.713,-0.633,1.327,1.079,2.866,-0.87
"4","Pakistan","April",-1.541,0.567,-0.24,0.658,-3.065,-1.311,-1.334,-0.092,0.055,1.475,2.25,-1.141,1.167,1.274,-0.357,-0.789,0.609,0.786,0.888,2.024,1.331,-0.525,-2.551,0.64,0.164,0.321,0.17,1.678,-0.916,-0.142,-0.954,-1.696,0.302,-1.079,-1.559,0.382,-1.541,1.353,1.655,2.669,1.104,1.63,1.432,2.458,-0.237,-1.253,2.843,0.159,0.226,3.23,0.422,0.522,0.048,0.38,1.391,1.29,2.428,2.34,1.517
"5","Pakistan","May",0.238,0.04,-1.199,0.005,-1.316,-0.179,-0.983,-1.803,-0.783,1.502,0.953,-0.238,0.978,0.211,0.534,0.345,-0.099,1.638,-1.657,1.402,1.073,-1.185,0.117,1.487,0.715,0.005,-1.519,2.041,-0.37,1.638,-0.62,-0.827,1.261,0.877,0.481,-0.805,-1.575,0.986,0.915,2.776,2.627,2.07,-0.04,1.028,-0.775,2.706,1.054,1.029,1.762,1.964,2.168,0.915,0.979,-0.142,1.169,2.264,2.087,1.488,0.018
"6","Pakistan","June",-0.323,-0.391,0.582,-0.855,-0.477,-0.031,-0.26,0.185,0.247,0.469,0.311,0.21,0.942,-0.658,-0.635,-0.972,-0.219,0.576,0.704,0.534,0.259,-0.208,-0.203,0.612,-0.022,0.181,-0.506,0.469,-0.635,0.294,-0.049,0.401,-0.081,0.496,0.502,-0.892,-1.11,-0.38,-0.217,-0.206,-0.019,0.499,0.611,-0.155,0.293,-0.574,-0.46,0.355,-0.361,-0.399,0.785,-0.146,0.45,1.065,-0.35,0.796,0.336,0.782,0.347
"7","Pakistan","July",0.234,0.152,0.865,-0.35,-0.072,-0.22,0.376,0.301,0.689,0.268,-0.375,-0.203,-0.107,0.4,-0.549,-0.064,-0.01,-1.56,0.384,0.043,-0.218,0.334,-0.008,-0.781,-0.488,-0.708,0.172,0.055,-0.729,-0.038,0.446,-0.502,-0.291,-0.74,-0.347,-0.293,0.684,0.325,0.241,-0.316,-0.297,0.345,-0.191,0.234,-0.024,0.711,0.086,0.244,0.663,0.201,0.152,0.847,0.698,0.837,-0.099,0.587,0.073,0.681,0.865
"8","Pakistan","August",0.322,0.026,0.466,0.726,-0.693,-0.065,-0.09,0.097,0,0.903,0.053,-0.629,0.048,0.476,-0.164,-0.737,-0.082,-0.3,-0.552,-0.02,-0.284,-0.298,0.007,-0.347,-0.468,-1.123,0.773,-0.045,-0.758,0.16,-0.133,-0.82,0.168,-0.237,-0.157,-0.512,-0.204,0.828,-0.132,-0.006,0.023,0.46,0.033,0.161,0.01,-0.473,0.236,-0.555,1.117,-0.228,0.3,0.288,-0.181,0.691,0.046,-0.096,0.239,0.747,0.362
"9","Pakistan","September",1.356,-1.179,0.085,-0.303,-0.256,-0.494,0.459,0.025,-0.25,0.243,-0.757,-0.691,0.39,0.48,-0.054,-0.335,-0.485,-0.23,-0.407,-0.117,0.074,-0.576,1.039,-1.236,-0.334,-0.631,1.139,0.72,-0.116,0.607,-0.181,-1.151,0.433,-1.919,0.074,0.565,0.386,0.627,0.9,0.266,0.23,-0.444,0.041,0.474,0.938,0.242,0.455,0.289,0.974,-0.213,0.021,-0.063,1.198,0.956,0.03,1.324,0.528,0.53,1.993
"10","Pakistan","October",-0.68,-1.04,1.182,-1.598,1.655,0.209,-0.591,-0.456,1.025,0.842,-0.672,-0.833,-0.444,-1.608,0.059,0.791,1.355,-0.035,0.308,0.695,-0.743,0.399,-0.568,-1.735,-0.54,0.491,-0.145,-0.073,-0.05,-0.435,-0.996,-0.442,-0.61,-0.864,0.402,-0.701,-1.149,0.748,1.066,1.028,1.108,1.04,0.225,-1.16,0.497,1.995,-0.555,1.689,0.303,1.574,0.623,-0.01,1.959,1.131,1.249,1.486,2.063,0.376,0.834
