"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Palau","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109,0.076,0.624,0.541,0.678,0.386,0.363,0.76,1.169,NA,NA,NA,1.084,0.692,0.921,1.05,0.438,1.237,0.445,1.184,NA,1.221,0.65,1.149,1.367,1.126,1.354,NA
"2","Palau","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,-0.227,0.71,0.488,0.265,-0.048,0.55,1.177,0.686,NA,NA,0.442,1,0.599,1.148,0.996,0.435,0.943,0.432,0.871,NA,0.668,0.577,0.555,1.164,0.642,1.541,NA
"3","Palau","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,0.09,0.708,0.435,0.692,0.06,0.697,0.674,0.763,NA,NA,0.559,1.038,0.686,0.685,0.724,0.302,1.231,0.749,0.698,NA,1.055,0.534,0.633,1.221,0.63,1.408,NA
"4","Palau","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,0.001,0.608,0.576,0.233,0.43,0.798,0.425,0.434,NA,NA,0.77,1.018,0.547,0.806,1.074,0.263,0.492,0.4,0.569,NA,0.806,0.575,1.023,1.382,0.781,0.839,NA
"5","Palau","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368,0.606,0.073,0.37,0.248,0.765,0.722,0.28,-0.032,NA,NA,0.654,0.233,0.271,0.58,0.659,NA,0.526,0.295,0.683,NA,0.791,0.789,1.248,0.766,0.935,0.934,NA
"6","Palau","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301,0.128,0.005,0.533,0.24,0.457,0.355,0.092,0.411,NA,NA,0.467,0.115,0.784,0.513,0.771,NA,0.338,0.657,0.176,NA,0.493,0.922,0.79,1.029,0.687,0.716,NA
"7","Palau","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159,0.497,-0.166,0.571,0.329,0.366,1.123,0.031,-0.121,NA,NA,0.165,0.454,0.183,0.201,0.24,NA,0.007,0.996,-0.066,NA,0.442,0.53,1.149,1.018,0.456,0.335,NA
"8","Palau","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,0.106,-0.027,0.55,0.708,0.575,1.232,-0.01,0.158,NA,NA,0.424,0.703,0.352,0.22,0.359,NA,0.696,0.615,0.143,NA,0.071,0.839,0.558,1.217,1.125,NA,NA
"9","Palau","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,-0.078,0.079,0.106,0.484,0.391,0.868,0.106,0.964,NA,NA,-0.24,0.289,0.028,0.126,0.395,NA,0.292,0.971,NA,NA,0.287,0.065,0.494,0.573,0.741,NA,0.01
"10","Palau","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.145,0.342,0.69,-0.113,0.504,0.592,0.409,0.556,0.035,NA,NA,0.611,0.93,0.618,0.497,0.586,NA,0.663,0.541,NA,0.619,0.307,0.506,1.495,0.433,0.892,1.16,-0.07
"11","Palau","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209,0.547,0.444,0.421,0.639,0.876,0.313,0.511,0.299,NA,NA,0.595,1.154,0.453,0.771,0.52,NA,0.027,0.506,NA,0.853,0.392,0.82,0.759,0.478,1.046,0.545,-0.305
"12","Palau","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,-0.294,0.673,0.41,0.398,0.235,0.632,1.03,0.698,0.227,NA,NA,0.573,1.372,0.6,0.859,0.907,0.976,0.185,0.833,NA,0.801,1.169,1.248,1.197,1.195,0.894,1.154,NA
