"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Palestine","January",-0.07,1.041,2.092,-2.047,-0.256,1.114,-0.89,-0.911,-0.55,1.158,2.356,-0.852,-0.758,-1.863,-0.671,-0.226,-1.011,-0.12,0.416,-0.984,-0.967,0.473,-2.883,0.06,2.078,0.573,0.747,-0.157,-2.682,-0.925,-0.262,-2.592,-1.735,1.648,0.023,0.172,0.88,-0.092,0.986,-0.894,0.598,-1.426,1.692,0.222,0.636,0.283,-0.415,-2.266,0.715,2.807,1.182,-0.694,0.546,1.151,-0.406,-0.438,-0.493,0.862,-0.147
"2","Palestine","February",-1.795,-0.639,1.993,-0.936,0.198,0.584,-1.918,-0.828,1.083,0.729,-0.265,-1.602,1.649,-0.34,-0.899,-1.976,2.102,0.986,1.672,-1.173,-0.648,-1.903,-2.36,0.453,-1.345,0.661,1.574,-0.792,-1.793,-1.368,-0.024,-3.462,-2.598,-0.172,-0.232,0.798,-2.399,0.118,0.359,-1.094,-0.279,1.302,-1.159,-0.045,-0.35,0.894,0.415,-0.875,0.641,2.609,0.967,-0.864,1.135,0.61,-0.034,1.763,-1.317,2.601,0.24
"3","Palestine","March",-1.744,2.497,-0.879,0.892,1.186,-0.001,-2.616,-1.063,1.879,1.671,0.524,-0.508,-0.408,0.53,0.433,-0.52,-0.57,0.486,1.176,-0.407,0.529,-1.98,-1.827,0.564,-0.18,0.933,-2.469,-0.983,-0.512,-0.601,1.258,-2.062,-1.052,-0.442,0.228,-0.524,-2.099,-1.056,0.819,-1.542,3.296,1.796,-1.902,1.482,0.571,0.736,-0.151,3.295,-0.465,3.07,0.233,-1.072,2.878,1.623,1.525,2.16,0.59,3.523,-0.682
"4","Palestine","April",-0.092,-1.107,0.806,-1.027,-0.821,0.99,-1.111,0.551,-1.579,1.465,-2.022,1.599,-0.658,-0.085,2.167,-0.185,-0.613,0.337,1.593,0.308,0.197,1.309,-1.428,-0.841,-0.086,1.925,-1.384,0.462,2.946,0.121,1.665,-1.005,0.399,2.347,-0.772,-0.666,-1.397,1.572,0.195,1.549,1.514,-0.168,0.368,0.402,0.961,0.293,-0.232,2.114,0.519,1.498,0.292,1.429,0.929,1.944,-0.28,3.257,1.311,1.712,-0.6
"5","Palestine","May",0.47,0.046,-0.777,-1.822,-0.608,-0.279,-1.116,1.235,0.826,0,0.883,-0.789,-0.381,-0.758,-0.989,0.012,0.52,1.346,-0.363,0.758,-1.066,-0.974,-0.319,0.803,0.847,-2.181,-0.025,1.701,1.184,-0.695,0.141,-0.76,-0.444,1.008,0.373,1.626,0.834,0.837,1.537,-0.07,0.616,-0.412,2.909,0.077,-0.513,0.205,1.777,-0.277,0.284,1.156,0.238,1.338,1.83,1.076,1.454,2.067,1.375,3.318,2.313
"6","Palestine","June",1.095,0.816,0.475,-0.351,1.32,0.62,-0.855,0.584,1.193,-0.651,-0.444,-0.699,-0.944,-0.268,-0.563,-0.732,0.02,-0.33,0.784,0.257,-0.108,-0.443,-0.302,-0.737,0.035,0.061,-0.503,0.55,-0.451,-0.256,0.128,-0.184,0.588,-0.038,1.06,-0.004,0.505,0.415,0.399,0.737,0.701,0.495,0.578,-0.127,-0.051,0.918,0.922,1.535,1.573,1.569,0.291,1.912,1.134,0.75,-0.185,2.8,0.737,1.652,2.245
"7","Palestine","July",0.205,0.143,0.497,-0.634,0.055,0.175,-0.415,1.023,-0.918,-0.481,-0.897,-0.938,0.319,-0.008,-0.181,-0.843,0.565,1.334,-0.073,0.289,0.276,-0.592,0.024,-0.647,-0.462,0.073,0.631,1.46,0.221,0.185,-0.529,-0.567,0.324,0.114,0.443,1.069,0.827,1.169,0.993,2.419,0.991,1.822,0.733,1.24,1.027,0.258,1.231,1.077,1.403,1.448,1.647,2.549,0.505,0.76,1.055,1.846,2.529,1.482,1.466
"8","Palestine","August",0.209,1.139,1.107,-0.687,0.372,0.38,-0.422,-0.428,-0.242,-0.471,-0.383,-0.369,-0.485,-0.661,-0.988,-1.467,0.826,-1.307,-0.405,0.056,-0.055,-0.395,-0.507,-1.485,1.243,-0.092,0.641,0.461,0.065,-0.217,-0.468,0.096,0.774,0.267,0.491,0.606,-0.786,2.176,1.29,0.594,1.14,0.903,0.97,0.138,0.947,1.088,0.839,1.48,0.932,3.156,0.839,1.841,0.881,1.261,2.782,1.772,1.745,1.124,1.325
"9","Palestine","September",-1.678,0.907,1.088,-0.876,0.333,-0.123,-0.676,-0.385,1.045,-0.238,0.42,0.69,0.332,-0.299,-0.237,-0.678,-0.108,-0.627,0.408,-0.818,0.86,0.068,-0.349,0.082,0.308,1.809,0.56,0.786,0.361,-0.167,0.055,-0.154,0.347,2.118,0.965,0.997,-0.311,1.714,1.013,0.605,0.837,1.159,0.307,0.712,0.876,1.397,0.838,1.491,0.576,2.399,1.059,1.75,0.749,0.929,3.438,1.226,1.621,1.938,1.52
"10","Palestine","October",-0.78,1.036,1.584,0.105,-1.659,0.33,-0.564,-1.047,-0.049,-1.448,-1.27,0.685,0.566,1.168,-0.962,0.446,-1.713,0.81,0.381,-0.086,0.784,0.068,-1.387,0.118,-1.74,-0.249,-1.45,-0.994,-0.95,0.885,0.772,0.589,1.914,2.813,-0.464,-0.674,0.148,0.985,0.515,-0.917,0.282,1.243,0.555,1.376,-0.387,0.086,1.283,-0.218,2.181,2.647,0.048,1.781,-0.869,-0.196,2.162,1.451,0.266,1.658,1.882
"11","Palestine","November",-0.856,3.331,0.604,-0.345,-0.64,3.103,-1.152,0.007,-0.092,0.066,-1.032,-0.834,-2.215,-0.121,-0.361,0.733,-0.108,-2.286,1.787,0.784,-2.095,-2.946,0.64,-0.704,1.309,-2.926,-0.225,-2.339,0.196,1.998,0.06,-0.148,-0.436,-1.372,-1.758,0.933,0.515,1.861,0.702,-0.185,-0.389,1.009,0.577,0.448,-0.864,-1.414,0.382,0.701,-0.248,3.112,-2.505,1.626,2,-0.091,1.461,1.003,0.372,0.673,1.957
"12","Palestine","December",0.353,1.269,-0.014,0.281,0.597,0.946,0.356,0.642,0.92,-1.622,-1.865,-2.308,0.009,-1.238,-0.943,0.67,-1.128,0.305,-1.015,0.111,0.994,-1.697,0.102,-1.404,0.375,-1.571,0.382,-0.538,-0.393,2.115,-2.16,-2.123,1.797,-2.155,-0.659,1.507,0.532,1.384,1.124,0.258,0.292,0.364,0.045,-1.103,1.751,-1.253,-0.035,1.243,1.813,2.055,0.268,1.109,-0.807,1.818,-0.269,-0.868,2.142,1.133,0.858
