"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Panama","January",NA,NA,NA,NA,-0.601,1.007,-0.086,-0.479,0.278,0.386,0.093,-0.353,0.526,-0.343,-0.117,-0.445,0.14,-0.147,-0.026,0.342,0.1,0.088,1.393,-0.17,-0.494,-0.162,0.382,0.492,0.325,0.393,0.344,0.162,0.077,-0.172,0.459,0.097,0.069,1.628,0.181,-0.27,-0.105,0.858,1.222,0.76,0.753,0.524,0.966,0.656,0.671,1.224,0.804,0.267,1.082,0.546,0.706,1.689,1.064,1.571,1.274
"2","Panama","February",NA,NA,NA,NA,-0.135,0.573,-0.22,-0.463,-0.056,0.552,0.259,-0.13,0.279,-0.767,-0.426,-0.583,0.491,0.094,0.511,0.288,0.317,0.664,0.958,0.289,-0.247,-0.407,0.704,0.529,-0.676,-0.314,0.305,0.437,-0.029,0.028,0.378,0.648,0.159,1.598,-0.256,-0.181,-0.304,0.435,1.244,0.564,0.564,0.421,1.023,0.425,0.626,1.777,0.82,-0.015,0.483,0.403,1.128,0.559,-0.244,0.93,1.57
"3","Panama","March",NA,NA,NA,NA,-0.306,-0.299,-0.592,-0.534,0.973,0.48,-0.298,-0.456,0.922,-0.591,0.049,-0.46,0.386,0.067,0.068,0.264,0.536,0.036,1.404,0.254,-0.496,-0.367,0.527,-0.089,-0.597,-0.056,0.585,0.364,0.071,0.164,0.419,-0.088,-0.321,1.105,-0.138,-0.256,-0.136,0.475,0.678,0.662,1.11,0.39,0.746,-0.194,-0.339,1.725,0.351,0.634,1.226,0.948,0.163,1.726,0.886,1.144,1.196
"4","Panama","April",NA,NA,NA,NA,-0.671,0.437,-0.456,-0.499,0.408,0.516,-0.28,-0.252,0.596,-0.351,-0.133,-0.36,0.364,0.161,-0.254,0.516,0.178,0.333,0.963,-0.14,-0.444,0.062,0.485,0.389,-0.022,0.389,0.159,0.537,0.429,0.249,0.103,0.124,0.049,1.34,-0.096,0.091,0.282,0.435,0.877,0.954,1.094,0.324,0.42,0.415,0.967,1.462,0.348,-0.033,1.254,1.385,1.211,0.22,1.483,1.036,1.899
"5","Panama","May",NA,NA,NA,NA,-0.327,-0.12,-0.513,-0.156,0.851,-0.241,-0.523,-0.165,0.263,-0.406,-0.065,0.068,0.169,0.264,0.17,0.493,0.035,0.276,1.142,-0.294,-0.101,0.205,0.036,0.401,-0.1,0.546,0.031,0.853,0.28,0.375,0.061,-0.223,0.423,1.23,-0.47,-0.097,0.687,0.311,0.993,0.516,0.865,0.672,0.378,0.262,0.665,1.174,0.853,0.373,0.984,0.606,1.49,1.269,1.31,0.807,1.27
"6","Panama","June",NA,NA,NA,NA,0.056,-0.237,-0.529,-0.572,0.435,0.442,-0.245,0.25,-0.247,-0.094,0.13,-0.025,-0.014,-0.336,0.135,0.737,0.047,0.559,1.109,0.185,-0.181,0.036,1.351,0.219,-0.025,1.026,0.689,0.965,0.81,0.518,0.366,0.169,0.274,0.789,0.038,-0.04,0.928,0.848,0.311,1.22,0.808,0.63,1.025,0.768,0.998,0.929,1.055,1.381,1.322,1.022,1.875,0.86,0.357,1.487,1.939
"7","Panama","July",NA,NA,NA,NA,0.074,0.181,-0.411,0.246,0.553,-0.14,-0.494,1.103,-0.132,-0.344,-0.838,0.327,0.487,-0.358,0.307,0.207,0.218,0.771,0.813,-0.711,-0.303,-0.034,0.225,-0.208,-0.115,0.219,0.566,-0.218,0.572,0.33,0.117,-0.052,1.153,0.283,0.341,0.135,0.439,0.512,0.634,0.381,0.814,0.579,0.709,0.165,1.095,0.245,0.562,0.712,1.125,1.248,0.686,1.455,0.701,1.259,1.562
"8","Panama","August",NA,NA,NA,NA,-0.039,0.268,-0.025,0.032,-0.46,-0.353,-0.762,0.211,-0.267,0.143,-0.568,0.276,0.378,0.375,0.191,0.374,-0.062,0.703,0.912,-0.279,-0.2,0.053,0.694,-0.479,0.951,0.505,0.822,-0.183,0.749,0.37,-0.307,0.139,1.467,0.547,-0.357,0.579,1.234,0.783,0.901,0.863,0.554,1.05,0.379,0.336,1.443,0.542,0.813,0.237,0.208,1.41,1.371,1.243,0.292,1.231,1.2
"9","Panama","September",NA,NA,NA,NA,0.241,0.048,-0.045,-0.088,-0.18,-0.273,-0.82,0.483,-0.313,-0.652,-0.475,0.455,0.243,0.111,0.088,1.227,0.509,0.523,0.454,-0.382,-0.164,0.433,0.64,-0.239,-0.261,0.781,0.949,0.221,0.249,0.745,0.628,0.168,0.963,0.386,-0.266,-0.027,0.856,0.973,0.98,0.468,0.962,1.181,0.562,0.35,1.529,0.414,0.947,1.418,0.279,0.357,1.184,1.481,1.03,1.485,1.66
"10","Panama","October",NA,NA,NA,NA,0.321,-0.172,0.035,-0.308,-0.5,-0.193,-0.332,0.337,-0.136,-0.423,-0.355,0.415,0.133,0.156,0.183,0.537,0.109,0.644,0.042,0.04,-0.132,0.366,0.792,-0.079,0.441,0.042,0.659,0.272,0.967,0.389,-0.108,-0.16,1.244,0.331,-0.252,0.646,1.039,1.003,0.9,0.797,0.317,1.196,-0.111,0.383,1.318,0.892,0.033,1.153,0.473,0.479,1.633,0.724,1.312,1.251,0.948
