"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Papua New Guinea","January",-0.321,0.724,0.372,0.034,-0.503,-0.328,-0.374,0.006,-0.4,0.101,-0.043,-0.353,0.218,0.079,-0.268,-0.321,-0.148,0.261,0.415,0.201,0.166,0.274,0.453,0.65,-0.233,0.432,0.296,0.643,0.157,0.325,0.278,0.671,0.198,0.541,1.414,0.7,0.061,1.42,0.764,0.32,0.298,1.314,0.863,0.617,0.39,0.161,0.565,0.288,0.658,0.269,0.432,0.032,0.715,0.245,-0.303,0.943,1.054,0.642,0.423
"2","Papua New Guinea","February",0.101,0.359,0.413,0.213,-0.309,-0.126,-0.294,-0.456,-0.123,0.353,-0.051,-0.342,0.218,-0.12,-0.351,-0.347,0.116,-0.025,0.042,0.076,0.108,0.065,0.179,0.536,0.321,0.134,0.196,0.338,0.138,0.511,0.372,0.357,-0.061,0.177,0.816,0.468,0.407,1.506,0.311,0.557,0.341,0.738,0.956,-0.037,0.637,0.363,0.808,1.079,0.252,1.26,0.425,0.522,0.783,0.663,0.217,1.216,0.65,0.939,1.121
"3","Papua New Guinea","March",-0.013,0.087,0.15,0.062,-0.319,-0.165,-0.249,0.099,0.166,0.234,-0.085,-0.359,0.193,-0.176,-0.292,-0.55,0.313,0.185,-0.041,0.088,0.222,0.124,0.2,0.217,0.086,0.516,0.249,0.819,-0.111,0.87,0.259,0.615,-0.058,0.578,0.745,0.391,0.161,1.038,0.31,0.288,0.454,0.562,0.851,0.802,0.652,0.436,0.124,0.317,-0.178,0.561,0.435,0.311,0.427,0.862,0.039,1.852,1.078,0.347,0.402
"4","Papua New Guinea","April",0.08,-0.126,-0.011,0.22,-0.49,0.076,-0.48,-0.355,0.37,0.367,-0.235,-0.248,0.221,-0.014,0.235,-0.572,0.107,-0.057,0.213,0.648,0.283,0.237,0.566,0.297,0.207,0.176,0.195,0.704,0.143,0.411,0.614,0.273,0.151,0.281,0.047,0.785,0.075,1.45,0.625,0.627,0.791,0.913,0.87,0.941,0.299,0.425,0.486,-0.314,0.713,0.747,0.358,0.444,0.821,0.918,0.658,1.585,1.517,0.84,0.911
"5","Papua New Guinea","May",-0.17,-0.007,0.363,-0.089,-0.278,-0.127,-0.161,-0.127,0.402,0.149,-0.317,-0.715,0.055,-0.012,0.088,-0.172,-0.375,0.522,-0.038,0.388,0.532,0.133,0.163,-0.023,0.34,0.323,0.323,0.846,0.155,0.428,-0.567,0.805,0.329,0.142,0.277,0.398,0.101,1.33,0.262,-0.033,0.14,0.701,0.799,1.2,0.43,0.44,0.882,-0.361,0.396,1.132,0.469,0.195,1.227,1.208,0.671,1.925,1.321,1.115,0.78
"6","Papua New Guinea","June",-0.401,-0.091,-0.183,-0.001,-0.674,-0.22,-0.033,-0.005,0.529,0.362,-0.134,-0.383,0.212,-0.368,0.325,-0.156,-0.29,0.491,0.284,0.336,0.563,-0.129,0.468,-0.004,0.345,0.475,0.558,0.255,0.504,0.277,0.603,0.546,0.461,0.261,0.981,1.048,0.231,1.481,0.878,0.063,0.734,1.048,0.489,-0.374,1.3,0.784,1.122,0.31,0.605,1.706,0.203,-0.188,1.114,0.456,0.87,1.903,1.479,0.778,0.821
"7","Papua New Guinea","July",-0.168,0.06,-0.454,0.339,-1.264,-0.424,0.107,0.196,0.228,0.024,-0.002,-0.427,0.102,0.273,0.302,-0.154,-0.071,0.503,-0.05,0.152,0.358,-0.448,0.252,0.286,0.12,0.114,0.289,0.549,0.837,0.382,0.507,0.552,0.848,0.116,1.161,0.34,0.464,1.473,0.258,-0.334,-0.143,0.543,1.352,0.315,1.059,0.208,0.239,0.428,0.28,1.8,0.19,0.605,1.221,0.652,0.439,1.632,1.967,0.998,0.217
"8","Papua New Guinea","August",-0.4,0.124,-0.053,-0.001,-0.792,0.135,-0.205,0.059,0.141,0.251,0.249,-0.558,0.394,0.195,0.321,-0.727,-0.29,0.26,-0.168,-0.069,0.073,-0.828,0.485,0.264,0.386,0.542,0.257,0.894,0.659,0.209,0.344,0.382,-0.111,0.065,1.064,0.054,-0.624,1.668,-0.242,0.126,0.064,0.962,0.005,-0.602,0.254,-0.643,0.22,0.215,0.206,1.502,0.145,0.115,0.486,-0.174,-0.232,1.338,1.035,0.736,0.603
"9","Papua New Guinea","September",-0.749,0.15,-0.411,0.33,-0.497,0.233,-0.313,0.132,-0.093,0.114,0.244,-0.51,0.267,0.292,0.419,-0.395,-0.08,-0.08,0.38,-0.219,0.465,-0.451,0.411,0.489,0.362,0.195,0.322,0.535,0.568,-0.152,-0.227,0.752,-0.3,-0.413,0.764,1.02,-0.465,1.489,0.027,0.566,0.956,0.644,0.253,-0.165,0.286,-0.229,0.05,0.495,0.273,1.289,0.56,0.438,0.933,-0.303,0.451,1.316,1.436,0.121,0.294
"10","Papua New Guinea","October",-0.584,0.611,-0.519,0.021,-0.45,-0.189,-0.495,-0.066,-0.014,0.028,0.122,-0.457,0.197,0.146,0.264,0.034,-0.131,0.132,0.17,0.329,0.114,-0.268,0.212,0.238,0.299,0.521,0.655,0.389,0.721,0.189,-0.289,0.373,0.647,0.314,0.471,0.739,-0.066,1.204,0.609,0.567,0.657,0.192,1.096,-0.311,1.336,0.02,0.358,0.401,0.066,1.126,0.71,0.634,0.821,0.043,0.055,1.226,1.023,0.556,0.599
"11","Papua New Guinea","November",-0.109,0.023,-0.363,-0.451,-0.311,-0.177,-0.321,-0.296,0.109,-0.081,0.052,0.194,0.108,0.197,-0.103,0.303,-0.096,0.057,0.284,0.26,0.514,-0.018,0.294,0.107,0.07,0.337,0.855,0.548,0.238,-0.006,-0.104,0.406,0.747,0.411,1.16,0.58,0.077,0.695,0.015,0.829,1.018,1.056,0.386,0.277,0.646,0.727,-0.44,0.741,0.214,0.454,0.898,0.479,0.187,0.782,0.469,1.389,1.209,1.144,0.676
"12","Papua New Guinea","December",0.116,-0.122,-0.099,-0.443,0.013,-0.243,-0.053,0.029,0.198,-0.097,-0.003,-0.079,0.101,-0.199,-0.226,-0.045,0.123,-0.043,0.257,0.185,0.094,0.469,0.125,0.115,0.288,0.23,0.811,0.094,0.16,0.613,0.284,0.456,0.684,0.684,0.543,0.253,1.176,0.146,0.24,0.847,0.809,1.408,1.082,0.573,0.565,1.145,0.531,0.407,0.422,0.18,0.056,0.783,0.421,0.9,0.61,0.895,1.257,1.222,1.156
