"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Paraguay","January",0.578,-0.256,0.304,0.79,-0.903,-0.218,-0.776,-0.397,-0.363,0.793,-0.289,0.046,1.404,0.22,-0.081,0.266,-0.315,0.528,0.75,-0.503,0.132,0.25,0.582,0.512,0.106,0.949,0.614,0.788,-0.619,0.281,0.804,-0.477,0.006,0.696,0.154,0.34,0.348,1.144,-0.253,1.338,0.106,0.293,0.263,1.203,0.436,0.356,-0.044,-0.255,-0.425,0.437,0.835,0.564,1.227,0.426,1.461,1.533,1.619,0.082,2.051
"2","Paraguay","February",0.324,-0.163,-0.265,-0.104,0.185,-0.819,-0.307,-0.204,1.162,0.006,-0.379,-0.209,1.172,-0.371,0.597,-0.563,0.92,0.653,0.316,-0.029,0.066,-0.534,0.292,1.444,0.378,0.291,-0.692,-0.849,0.566,-0.739,0.363,-0.134,-0.481,-0.837,-0.71,-0.354,-0.091,0.077,0.425,0.245,0.511,-0.655,0.116,0.049,0.696,0.962,0.576,-0.96,0.233,1.74,0.031,1.247,0.957,0.981,0.862,1.863,1.15,0.016,0.94
"3","Paraguay","March",-0.723,0.553,0.732,-0.241,-2.252,-0.471,-0.882,-0.168,0.479,0.54,-0.416,0.209,0.929,-0.519,0.197,-0.847,1.351,1.706,-0.471,1.76,0.319,-0.517,0.053,0.903,0.802,-0.264,0.205,2.131,0.006,1.411,0.919,-0.589,1.289,-0.41,0.128,0.195,0.115,-0.371,0.992,-0.426,0.667,2.327,0.489,1.172,1.172,1.475,1.584,0.363,1.744,1.671,0.146,0.304,-0.144,-0.45,1.473,-0.51,1.166,0.512,0.222
"4","Paraguay","April",0.497,-0.052,0.959,1.324,0.19,0.67,1.233,-1.944,-0.043,2.435,-0.815,-0.926,2.704,-0.327,0.843,-0.522,0.187,-0.179,-0.931,2.182,1.226,0.836,1.102,-1.052,0.886,2.374,1.41,0.415,0.458,2.078,1.443,0.181,1.627,0.694,-0.49,1.345,0.66,0.556,-1.645,1.234,1.306,2.26,-0.225,2.858,1.144,0.826,2.155,0.449,2.671,0.953,1.713,1.055,0.895,1.524,2.56,2.868,0.359,3.595,1.817
"5","Paraguay","May",0.7,-1.597,0.417,0.838,-0.009,-0.145,3.789,-2.053,1.473,0.922,-1.28,2.59,0.231,0.348,-0.08,-0.801,-0.13,-0.15,-0.847,1.804,3.36,0.724,1.237,2.277,1.896,1.675,-2.276,-2.308,-0.49,-0.721,1.659,0.704,0.487,2.762,-0.518,0.823,0.929,-0.403,-0.847,-0.294,-1.086,2.542,0.943,-2.905,1.636,-1.4,-1.67,-0.369,2.003,-1.619,0.427,1.02,0.886,0.384,1.189,-1.611,1.304,2.456,1.508
"6","Paraguay","June",-0.647,-1.032,-0.024,-1.74,3.032,1.421,-2.4,0.595,-0.38,0.715,-2.36,3.329,0.765,-0.376,1.259,-0.482,1.315,1.157,-0.37,-0.455,-1.021,0.715,-2.249,-1.128,0.833,2.174,-0.268,-0.961,0.896,-1.884,1.206,2.513,0.724,2.687,1.697,-2.026,0.983,0.263,0.083,0.944,-0.358,0.134,3.53,1.337,2.809,2.582,0.951,-1.627,-1.263,1.329,0.453,0.524,0.962,1.104,2.488,-2.291,1.189,-0.795,3.363
"7","Paraguay","July",0.248,-5.037,1.908,-1.852,-0.495,0.397,0.66,1.314,1.647,-0.277,1.253,0.103,-1.435,1.339,-1.351,0.794,3.192,3.822,0.53,-0.308,-0.339,1.938,-0.934,1.769,-0.087,0.291,3.591,-2.168,-1.281,-2.719,0.405,-2.987,-0.745,1.032,2.269,-0.607,2.679,2.385,-0.417,-3.363,1.974,-0.531,0.923,-0.228,0.085,3.517,-1.723,3.919,0.773,1.433,0.261,-1.408,0.367,0.374,1.163,0.766,2.103,-0.055,-0.235
"8","Paraguay","August",3.465,-0.942,2.226,0.338,1.317,-1.368,1.577,0.299,-1.006,-0.613,-0.058,-0.778,-2.815,-0.393,-0.35,-0.618,-0.062,-1.208,2.606,0.59,1.96,1.563,-0.364,-2.337,-0.981,1.151,-1.002,1.828,0.376,1.384,0.962,-0.687,-0.704,1.284,1.061,2.561,1.147,-0.458,0.152,0.948,3.285,2.711,-1.129,0.484,1.951,1.28,-1.7,1.509,0.91,-0.286,0.685,2.243,-1.805,2.376,4.184,1.444,2.795,-1.531,0.749
"9","Paraguay","September",0.348,1.031,0.737,-0.351,-0.742,-0.591,0.935,-1.578,2.368,0.338,1.569,1.026,-0.815,-0.651,-0.235,-1.781,1.448,0.319,-1.591,-2.345,-1.418,0.609,-1.86,0.367,-0.554,-0.703,-0.768,0.526,-2.117,-1.739,1.111,-1.669,-0.631,0.953,0.68,-0.884,2.314,-1.545,2.936,-0.249,0.353,0.558,0.878,1.538,-3.176,0.092,2.932,-1.052,-0.363,0.357,1.202,2.334,0.011,3.02,2,-0.781,2.492,1.455,1.913
"10","Paraguay","October",1.285,-1.927,2.248,-1.651,0.457,0.137,2.279,0.959,-0.521,0.589,-2.023,-0.227,0.364,-1.364,-0.733,0.058,0.967,1.341,1.403,0.268,0.139,0.084,0.243,2.787,1.178,-0.692,0.048,0.165,0.012,1.906,0.089,-0.551,0.917,1.305,-0.002,-0.001,0.774,0.107,0.554,1.65,1.09,3.074,1.664,0.848,0.073,1.905,0.333,1.128,1.132,-0.737,0.881,2.569,0.069,3.703,1.296,0.719,1.179,0.985,2.136
