"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Peru","January",0.279,-0.183,-0.191,0.553,0.021,0.316,-0.388,-0.321,0.286,-0.003,-0.481,-0.489,0.82,-0.654,-0.433,-0.608,0.688,-0.011,0.53,0.402,0.015,-0.134,1.72,-0.177,0.297,-0.018,0.511,0.662,-0.341,0.147,0.648,1.161,0.074,0.398,1.158,-0.064,0.18,1.601,0.372,0.251,0.158,0.769,1.226,1.238,1.407,0.774,1.417,0.562,0.582,1.515,0.691,0.618,0.979,0.868,0.267,2.269,0.834,0.502,0.939
"2","Peru","February",-0.073,-0.173,-0.433,0.363,-0.201,0.486,-0.349,-0.201,0.394,0.171,-0.931,-0.034,0.802,-0.649,-0.344,-0.38,-0.073,0.597,0.236,0.656,0.08,-0.152,1.717,-0.422,-0.068,-0.219,0.749,0.731,-0.106,0.342,0.494,0.949,0.617,0.171,0.974,-0.02,-0.119,1.974,0.437,0.075,0.588,0.64,1.227,1.053,0.867,0.911,0.97,0.608,0.558,1.517,0.501,-0.027,0.721,0.458,0.911,1.682,0.871,0.848,1.195
"3","Peru","March",-0.063,-0.517,-0.317,-0.152,0.153,0.305,-0.328,-0.712,0.733,0.034,-0.559,-0.096,0.563,-0.278,-0.086,-0.374,0.279,0.157,0.108,0.471,0.266,-0.083,1.812,0.344,0.751,-0.341,1.169,0.588,-0.203,0.349,0.597,1.652,0.45,0.401,0.376,0.081,0.487,1.709,0.481,0.243,0.514,1.431,0.632,1.156,1.045,1.193,0.595,0.718,0.843,1.737,0.449,0.752,0.963,0.712,1.068,1.672,0.883,0.679,1.147
"4","Peru","April",-0.271,-0.276,-0.174,-0.095,0.112,0.025,-0.009,-0.703,0.686,0.004,-0.622,0.096,0.378,-0.16,0.236,-0.224,0.3,0.035,0.207,0.788,0.191,-0.108,1.659,0.218,-0.201,0.638,0.966,0.617,0.082,0.541,0.48,1.655,0.565,0.571,0.639,0.168,0.535,1.775,0.249,0.521,0.989,1.197,0.711,1.275,0.954,0.681,0.437,0.53,0.547,1.725,0.921,1.085,0.792,0.937,1.147,1.152,1.165,0.642,1.326
"5","Peru","May",0.306,-0.175,0.059,-0.76,0.376,-0.094,0.176,-1.093,1.18,-0.121,-0.697,0.508,-0.001,0.295,-0.192,-0.022,-0.086,0.155,0.268,0.564,0.457,0.06,1.578,0.498,0.151,0.231,0.824,0.665,-0.185,0.811,0.708,2.047,1.027,0.874,0.502,0.297,0.823,1.221,0.128,0.416,0.372,1.154,0.644,0.193,0.977,0.197,0.247,0.104,0.994,1.336,1.051,1.059,0.99,1.306,1.314,1.355,1.457,0.679,1.363
"6","Peru","June",-0.601,-0.453,0.013,-0.649,0.72,0.139,-0.572,-0.599,0.836,-0.102,-0.437,0.884,0.28,0.106,0.088,0.022,0.125,0.063,-0.033,0.64,0.068,0.467,1.653,0.327,0.047,0.221,0.93,-0.007,0.258,0.386,0.717,1.388,1.192,0.481,0.723,-0.256,1.393,0.939,0.337,0.438,-0.22,0.61,0.821,0.066,0.946,1.052,0.564,0.372,0.833,1.387,1.589,1.36,0.953,1.673,1.84,0.923,1.244,0.36,1.76
"7","Peru","July",0.02,-0.235,0.286,-0.699,0.67,-0.299,-0.369,-0.103,-0.044,-0.464,-0.384,1.034,-0.477,-0.149,-0.58,0.447,0.642,0.366,0.337,0.463,-0.285,0.82,1.933,0.514,0.155,0.061,1.395,-0.027,0.217,0.131,0.456,0.238,0.896,0.462,1.191,0.077,1.937,1.524,0.306,0.04,0.458,0.071,0.62,0.479,0.762,1.365,0.601,1.301,1.348,0.776,1.331,1.367,0.59,1.083,1.722,1.55,1.269,0.961,1.108
"8","Peru","August",0.342,0.089,0.645,-0.304,0.417,-0.189,-0.226,0.115,0.129,-0.166,-0.482,0.737,-0.387,-0.283,-0.325,0.272,-0.011,-0.422,0.692,0.347,-0.092,0.316,1.44,0.107,-0.183,0.437,0.73,0.433,0.398,0.163,0.269,0.109,0.183,0.408,0.902,0.27,0.925,1.364,0.358,0.763,0.706,0.844,0.488,0.27,0.968,1.314,0.575,1.501,1.277,0.887,1.172,1.317,0.401,0.903,1.659,1.564,1.37,0.564,0.688
"9","Peru","September",-0.025,0.406,0.454,-0.395,0.072,0.014,-0.068,0.097,0.556,-0.325,-0.172,0.425,-0.293,-0.349,-0.496,-0.26,0.095,-0.19,0.437,0.125,-0.322,0.441,0.857,0.37,-0.032,-0.08,1.042,0.218,0.399,0.148,0.498,0.001,0.496,0.676,0.778,0.246,1.609,0.773,0.527,0.543,0.635,0.727,0.323,0.626,0.513,0.687,0.449,0.864,1.28,1.188,0.965,1.325,1.022,1.131,2.164,1.163,0.974,1.243,1.315
"10","Peru","October",-0.086,-0.151,0.205,-0.486,0.405,0.066,-0.584,0.005,0.444,0.184,-0.487,0.689,-0.107,-0.511,-0.226,0.318,0.055,0.087,0.484,-0.02,0.022,0.312,0.526,0.479,0.343,0.162,0.892,0.277,-0.024,0.19,0.281,0.388,0.495,0.698,0.68,0.212,1.658,0.724,0.257,0.559,0.655,1.061,1.11,1.15,0.752,0.819,0.241,0.824,1.304,0.914,0.804,1.279,0.774,1.052,1.888,1.195,0.845,1.045,0.613
"11","Peru","November",-0.31,0.189,0.056,-0.36,0.167,0.054,-0.426,0.049,0.508,-0.011,-0.143,0.753,-0.462,0.123,-0.511,0.181,0.04,0.245,0.174,0.113,0.184,0.521,0.517,0.043,-0.06,0.361,0.619,0.279,0.477,-0.112,0.41,0.255,0.181,0.57,0.559,0.14,1.219,0.538,0.428,0.716,0.959,0.649,0.979,1.027,0.44,0.883,0.407,0.832,1.505,0.549,0.998,1.274,0.592,0.914,1.706,1.632,0.632,1.069,0.861
"12","Peru","December",-0.439,0.129,0.099,-0.314,0.147,-0.205,-0.126,0.355,0.253,-0.391,-0.391,1.008,-0.628,-0.211,-0.523,0.392,0.384,-0.071,0.268,0.334,0.065,1.071,0.503,0.177,0.079,0.548,1.018,0.108,0.873,0.198,0.974,0.458,0.377,0.812,0.135,0.041,1.398,0.766,0.63,0.683,0.867,1.073,1.052,1.087,0.576,0.891,0.362,0.697,1.192,0.497,0.57,0.676,0.928,0.834,1.381,0.948,0.951,0.854,0.905
