"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Philippines","January",-0.693,-0.316,-1.153,0.609,-0.718,0.324,-0.235,-0.384,0.092,0.422,-0.53,-0.231,0.414,-0.385,0.059,-0.106,0.76,0.176,0.513,0.306,-0.639,-0.188,0.643,0.303,-0.008,0.067,0.01,1.612,1.039,0.694,0.588,0.249,0.302,0.678,0.559,-0.074,0.087,1.252,0.922,0.948,0.962,0.697,0.586,0.704,0.32,1.021,0.851,0.807,0.504,0.628,0.365,1.191,0.707,-0.322,0.435,1.706,1.236,1.294,1.128
"2","Philippines","February",0.202,-0.634,-1.094,-0.031,-0.28,0.341,-0.335,-0.733,-0.144,0.195,-0.174,0.261,0.401,-0.051,0.077,-0.188,-0.121,0.052,0.92,0.203,0.062,0.059,0.42,0.232,1.396,0.06,-0.384,1.247,0.315,1.045,0.357,0.507,0.084,0.688,0.52,-0.041,0.26,1.494,0.578,0.746,1.086,0.352,0.574,0.743,0.901,0.867,1.003,0.161,0.923,1.235,0.47,1.081,1.157,0.254,0.432,1.235,0.789,1.274,0.713
"3","Philippines","March",0.281,-0.052,-0.745,-0.074,-0.483,0.319,-0.566,0.069,0.242,0.452,-0.782,-0.776,0.25,-0.436,0.212,-0.016,-0.065,0.879,0.523,0.337,0.416,0.341,0.785,0.666,1.003,0.298,0.314,1.223,0.118,0.464,0.343,0.7,0.037,0.666,0.25,0.709,-0.125,1.336,0.68,0.631,0.7,0.568,0.804,0.987,0.671,0.676,0.973,0.458,1.017,1.28,0.117,0.978,1.178,0.585,0.512,1.381,0.761,1.002,0.94
"4","Philippines","April",0.224,-0.112,-0.803,0.004,-0.321,0.501,-0.404,-0.235,0.347,0.379,-0.737,-0.263,0.361,-0.011,-0.01,-0.129,0.466,0.42,0.608,0.194,0.596,0.042,0.628,0.519,0.437,0.468,0.619,0.806,0.335,0.832,0.403,0.712,0.257,0.546,0.517,0.084,0.514,1.551,0.289,0.797,1.074,0.584,1.213,1.103,0.565,0.87,0.934,0.485,0.405,0.895,-0.104,0.764,1.188,0.794,0.802,1.848,0.781,0.931,1.287
"5","Philippines","May",-0.156,0.012,0.125,-0.142,-0.392,-0.386,0.149,0.16,0.692,0.457,-0.529,-0.118,0.53,-0.182,0.087,-0.655,0.438,0.469,0.186,0.261,0.373,0.124,0.89,-0.034,0.312,0.6,0.894,0.919,0.146,0.316,0.355,0.667,0.641,0.477,0.568,0.24,0.461,1.308,0.217,0.302,0.326,0.634,0.655,0.393,0.853,0.484,0.675,-0.348,-0.141,1.306,0.124,0.617,1.011,1.337,1.123,1.603,1.122,1.188,1.346
"6","Philippines","June",-0.322,0.035,-0.149,-0.208,-0.423,0.086,0.099,0.46,0.379,0.102,-0.564,0.193,0.669,-0.186,-0.118,-0.582,0.576,0.269,0.197,-0.037,-0.06,0.375,1.11,-0.06,0.338,0.452,0.918,0.306,0.157,0.049,0.538,0.64,0.867,0.225,0.861,0.36,0.506,1.233,-0.03,0.362,0.447,0.772,0.255,0.104,0.543,0.678,0.951,0.377,0.333,1.289,0.461,0.749,0.795,1.172,1.345,1.445,1.087,0.986,1.855
"7","Philippines","July",-0.359,-0.198,0.042,-0.093,-0.548,-0.101,0.035,0.545,-0.041,0.119,-0.37,0.291,0.353,0.093,0.026,0.095,0.106,0.435,0.147,-0.168,0.066,0.063,0.543,0.261,0.004,0.313,0.309,0.562,0.365,0.397,0.334,0.192,0.584,0.123,0.223,0.606,0.395,1.538,0.288,0.16,0.392,0.762,0.507,0.392,0.718,0.656,0.821,0.437,0.447,0.745,0.522,0.382,0.465,0.799,1.161,1.401,0.71,1.108,1.007
"8","Philippines","August",-0.222,-0.208,-0.155,0.063,-0.117,0.348,-0.134,0.226,0.109,0.039,-0.071,-0.045,0.223,0.279,0.188,-0.281,0.341,-0.05,0.208,0.112,0.621,0.147,0.578,0.232,0.514,0.312,0.729,0.734,0.358,0.474,0.342,0.593,0.192,0.442,0.398,0.593,0.835,1.336,0.021,0.459,0.406,0.376,0.646,0.61,0.606,0.506,0.456,0.392,1.12,0.725,0.695,0.826,0.644,0.78,1.207,1.631,1.399,1.181,1.209
"9","Philippines","September",-0.051,-0.365,0.1,-0.038,-0.087,0.204,-0.096,0.256,0.12,0.074,0.166,0.099,-0.022,0.469,0.028,-0.117,0.042,-0.224,0.279,0.024,0.521,0.152,0.573,0.097,-0.058,0.192,0.616,0.738,0.529,0.236,0.542,0.516,0.2,0.134,0.143,0.58,0.473,1.045,0.317,0.545,0.93,0.279,0.208,0.636,0.483,0.518,0.512,0.5,0.783,0.866,0.718,0.422,0.867,0.548,1.268,1.374,1.283,0.952,1.128
"10","Philippines","October",-0.285,0.327,-0.16,-0.108,0.049,0.03,-0.318,-0.114,0.167,0.019,-0.299,0.563,0.158,-0.087,0.161,0.395,0.356,-0.174,-0.119,0.098,0.186,0.077,0.39,-0.023,0.071,0.192,0.86,0.269,0.313,0.183,0.147,0.184,0.11,0.277,0.36,0.692,0.821,0.784,0.517,0.331,0.68,0.773,0.339,0.116,0.692,0.374,0.42,0.75,0.529,0.875,0.664,0.485,0.47,0.733,1.184,1.209,1.01,1.119,1.175
