"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Pitcairn Islands","January",0.01,-0.19,-0.19,0.31,0.56,-0.69,0.35,-0.54,-0.84,1.26,-0.54,-0.03,-0.56,0.21,-0.49,-0.32,-0.24,0.83,-0.48,0.48,0,0.97,-1.74,-0.17,-0.1,0.58,0.31,0.77,0.92,0.04,0.05,-1.21,NA,0.21,-0.29,-0.4,0.47,-0.57,NA,-0.34,0.64,0.33,0.61,-1.29,NA,0.69,0.26,0.63,-1.48,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pitcairn Islands","February",0.817,-0.143,0.317,0.317,0.167,-1.833,0.607,-0.333,-0.893,-0.033,-0.633,0.097,-1.033,0.007,0.187,-0.433,0.587,-0.043,-0.463,0.607,0.157,0.407,-1.173,0.437,NA,-0.153,NA,-1.133,0.227,0.327,-0.163,-1.433,-0.123,-0.323,0.007,0.207,0.447,-1.483,NA,0.767,-0.623,0.477,NA,-0.103,0.127,1.677,-0.943,-0.433,0.407,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA
"3","Pitcairn Islands","March",-1.234,-0.334,0.916,-0.484,0.216,-0.734,-0.134,-0.134,0.266,-0.184,-0.284,0.826,-0.144,-0.114,0.436,0.166,0.616,0.106,0.196,-0.354,0.046,0.436,-0.974,0.576,0.506,0.486,NA,-1.044,0.506,0.396,-0.044,-0.634,0.006,-0.204,0.096,0.356,-0.124,-0.474,NA,0.936,0.636,1.186,NA,0.226,-0.034,1.506,0.396,-0.094,NA,NA,1.056,NA,NA,NA,NA,NA,NA,NA,NA
"4","Pitcairn Islands","April",0.715,-0.145,0.605,-0.185,1.215,-0.485,0.165,-0.535,0.065,-0.145,-0.435,1.525,-0.415,-0.555,-0.055,0.325,-1.525,-0.495,-0.085,0.095,0.315,-0.585,-0.915,0.985,0.925,1.255,0.925,-0.365,NA,0.345,0.015,0.325,0.595,0.545,0.235,0.045,-0.135,-2.055,NA,0.205,0.225,0.915,0.335,-1.065,0.505,1.025,0.305,-0.065,0.395,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pitcairn Islands","May",0.49,0.45,-0.1,-1.01,-0.45,-0.35,0.6,-1.1,0.85,-0.45,0.74,0.99,0.78,0,0.65,0.15,-1.84,-0.42,-1.12,0.6,0.9,0,-0.81,-0.29,1.38,-0.29,0.65,-0.48,0.7,-0.14,-0.23,-0.66,-0.35,-0.54,-1.01,-0.24,-0.46,-1.35,NA,0.49,0.28,0.73,0,-1.57,-0.06,0.08,0.03,0.74,-0.56,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pitcairn Islands","June",0.254,0.004,-0.746,0.254,-0.496,-0.356,0.554,-1.246,0.054,0.354,1.004,-0.506,-0.986,0.924,0.994,-0.466,-1.306,0.084,0.614,-0.136,-1.006,0.864,0.314,0.094,0.714,-0.286,-1.116,0.594,0.274,-0.116,-1.416,0.474,-1.726,-0.266,-0.466,-0.246,-0.166,0.114,NA,1.594,-0.066,0.484,0.104,NA,-1.076,0.934,0.074,-0.156,0.404,1.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Pitcairn Islands","July",1.191,-0.909,-0.259,0.141,0.491,-0.159,1.581,-1.009,-0.359,0.191,0.641,NA,-0.399,-0.199,0.001,-0.149,-0.869,-0.389,0.071,-0.029,-0.079,-0.519,-0.829,-0.559,-0.519,0.021,-0.989,0.551,0.421,0.271,-0.469,-0.189,-1.369,-0.799,-0.309,-0.679,-0.949,0.211,NA,0.151,0.241,-0.469,-0.569,-0.959,-0.389,-0.169,-0.379,0.471,0.211,-0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pitcairn Islands","August",0.147,-0.562,1.347,0.748,-0.013,0.248,0.047,0.938,-0.603,0.688,-0.252,-0.692,-0.663,-1.232,-0.463,-0.623,-0.113,-0.233,-1.082,0.237,-0.543,-0.772,0.967,-0.702,1.028,0.637,-1.053,0.488,0.947,1.138,0.608,0.398,-0.983,0.188,1.048,0.237,-0.512,-0.303,NA,1.207,0.608,1.567,NA,NA,-1.153,-0.162,NA,-0.522,0.057,-0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Pitcairn Islands","September",1.723,0.933,-0.527,0.833,0.523,0.473,0.683,-0.727,-0.867,-0.027,0.133,-0.407,-0.777,-0.897,-0.347,-0.427,-0.747,0.663,-1.237,-0.797,-0.167,-0.917,0.363,0.053,2.093,0.323,-0.037,0.263,0.293,-0.277,-0.837,0.403,-0.987,-0.817,0.173,-0.697,-0.047,-0.247,NA,0.283,0.733,0.183,-0.197,-0.367,-0.357,-0.437,0.903,-1.207,-0.157,-0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Pitcairn Islands","October",1.291,0.581,0.791,1.241,-0.009,-0.209,0.831,0.291,-0.959,0.541,0.331,-2.579,0.061,-0.069,-0.419,-0.799,-1.079,-0.079,-0.949,-0.299,0.521,-0.389,-0.499,1.241,-0.179,-0.339,-1.109,0.391,0.641,-0.279,-0.549,-0.719,NA,-0.909,-0.249,-0.739,-0.759,0.131,NA,-0.019,0.311,0.791,0.131,-0.039,-0.329,0.771,0.051,-0.039,NA,-0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA
