"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Poland","January",-0.08,2.793,-7.424,-0.863,2.071,-1.167,-0.836,-1.029,-1.749,-2.257,0.456,-2.692,1.71,3.207,6.15,0.831,1.708,2.095,-2.624,-2.252,0.094,-0.522,6.513,3.391,-4.805,1.687,-7.162,4.982,5.326,4.936,3.635,2.88,3.548,5.512,1.972,-1.829,-0.606,4.544,3.752,2.032,3.127,3.06,0.82,-0.9,4.092,-2.819,7.044,4.717,0.838,-3.263,2.73,2.665,0.715,2.104,4.73,0.772,-0.194,4.441,1.887
"2","Poland","February",4.476,-0.108,-5.718,-1.908,-3.276,2.606,2.344,1.28,-1.935,-3.24,2.181,2.59,3.356,5.138,1.934,-0.611,2.831,-1.055,-2.154,1.285,1.286,0.098,-0.451,0.479,-5.693,-6.307,0.453,3.141,6.168,7.233,-1.408,3.506,1.146,-0.04,5.503,-2.819,4.107,5.617,1.152,4.603,2.212,6.062,-1.877,2.488,-0.549,-0.554,2.524,5.318,1.474,0.474,-0.772,-3.49,1.75,4.999,3.191,5.657,2.665,-0.681,5.406
"3","Poland","March",3.827,-3.072,-3.232,-4.554,-1.592,0.914,3.562,2.133,-3.47,-1.489,-1.963,2.233,2.458,3.697,2.931,-2.223,3.527,2.522,0.723,-1.6,2.976,2.442,2.275,-0.264,0.466,-0.185,-4.404,-0.437,4.31,5.01,3.001,2.19,-0.041,2.58,1.476,-2.874,1.676,0.532,2.95,2.006,1.199,3.217,1.048,1.842,-1.128,-1.907,4.73,2.229,1.401,1.461,1.626,3.21,-3.037,5.04,3.535,2.555,4.536,-1.09,4.305
"4","Poland","April",2.384,2.483,0.296,0.61,-1.227,1.052,-0.018,2.092,-0.3,-0.769,0.17,0.198,-0.957,-0.358,-0.231,-0.208,-0.885,-1.175,-1.088,-1.438,-1.271,-1.582,2.045,0.501,0.279,0.809,0.079,-0.184,1.446,0.837,-0.044,0.149,1.254,1.412,0.441,0.488,-2.275,2.4,2.106,4.074,0.738,0.976,-0.237,1.369,1.367,1.182,1.826,1.245,3.622,1.18,2.999,1.527,0.629,2.731,0.824,1.632,0.123,5.134,2.392
"5","Poland","May",-0.945,-1.998,1.86,0.179,-2.384,0.999,1.257,-0.195,1.842,-0.592,1.887,0.546,0.243,-1.363,1.468,-0.435,0.292,-1.06,1.535,-2.769,1.097,0.711,2.339,0.525,1.657,2.063,-1.136,1.742,0.74,0.847,-2.387,0.706,3.297,-0.09,-0.227,1.326,0.674,1.361,0.082,2.32,1.414,3.678,2.921,-0.518,0.716,0.689,2.418,0.885,0.731,0.179,1.112,2.084,2.037,1.064,0.204,2.234,1.38,4.219,0.055
"6","Poland","June",1.253,-1.843,0.215,2.588,-0.133,0.248,-0.252,1.597,-0.364,0.356,-0.9,0.4,-0.056,-1.897,-0.627,-1,0.031,-1.218,2.154,-0.714,0.795,-0.521,-0.228,-2.076,-1.72,-0.151,-0.791,-0.22,-0.838,-0.037,-1.3,1.472,-0.971,-0.724,0.061,0.007,0.166,1.04,1.086,0.754,-1.497,0.972,1.67,-0.675,-0.556,0.709,2.133,1.119,-0.661,0.568,1.614,0.255,1.203,-0.29,0.153,2.021,1.458,2.223,4.944
"7","Poland","July",-1.131,-1.828,1.628,0.364,-1.393,0.149,1.123,-0.624,0.666,-0.201,0.304,1.923,0.219,-1.674,0.933,0.497,-1.381,-1.673,-2.757,-1.331,-0.231,0.664,1.362,-1.57,-0.402,-0.086,0.164,1.299,0.435,-0.873,1.104,1.71,-1.106,3.139,2.11,-1.479,0.136,-0.211,2.196,-1.191,2.25,2.361,1.911,-0.024,1.584,4.025,0.913,0.868,1.53,3.373,0.394,2.055,1.451,2.948,1.73,1.737,0.682,2.695,1.136
"8","Poland","August",-0.588,-0.324,1.496,-0.94,-1.408,-0.419,0.295,-0.061,-0.162,-0.329,1.599,-0.114,0.04,0.973,0.975,-1.615,-1.005,-1.105,-0.362,-0.909,-0.486,1.159,0.7,0.094,0.717,0.157,-1.647,0.281,0.533,0.648,0.861,3.575,-0.715,1.348,1.01,0.93,1.948,-0.489,0.338,0.954,1.934,3.033,1.973,1.69,-0.135,0.394,1.591,1.119,1.344,1.817,1.377,1.413,1.642,0.512,4.132,1.032,2.082,3.561,2.88
"9","Poland","September",1.382,-0.739,1.355,0.112,1.086,-0.877,2.354,0.486,0.149,-0.911,-1.905,-1.556,0.052,0.336,2.665,-0.534,-2.047,-2.09,0.179,-0.462,0.413,2.123,1.094,-0.09,-0.952,-2.407,-0.043,0.267,1.095,-1.904,0.934,-0.228,-1.238,1.401,-0.286,-2.831,-0.05,0.037,2.741,-0.912,-1.043,-0.01,0.654,0.204,1.798,2.724,-0.383,-0.536,1.718,-0.867,1.819,1.11,-0.973,1.475,1.577,2.749,0.526,2.334,1.167
"10","Poland","October",2.164,0.036,-0.23,-0.42,-0.623,2.731,2.596,-0.065,0.728,-0.536,-0.189,-2.161,-1.407,-2.123,-0.141,-0.48,0.969,0.381,-1.463,-0.066,0.474,0.768,0.387,2.072,0.485,0.264,0.311,-0.568,1.718,0.952,-0.341,-2.298,-0.004,-1.394,2.15,0.905,-1.717,-0.311,0.211,3.27,3.062,-1.18,-2.706,1.592,1.435,2.527,-0.298,1.241,-1.218,-1.995,0.362,0.183,1.813,2.397,-0.427,-0.762,1.564,2.262,2.568
