"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Polynesia","January",0.261,-0.145,-0.114,0.285,-0.522,0.114,-0.189,-0.326,0.26,0.359,-0.422,-0.053,0.445,-0.186,-0.26,-0.517,0.359,0.28,0.126,0.375,0.333,0.406,0.488,0.261,-0.184,0.179,0.473,0.762,-0.008,0.275,0.534,0.233,0.444,0.757,0.446,0.5,0.232,0.936,0.264,0.575,0.867,0.878,1.208,0.399,0.982,0.513,0.918,0.373,0.636,0.87,-0.189,0.452,0.488,0.602,0.907,1.421,1.288,0.798,1.262
"2","Polynesia","February",0.105,-0.163,-0.036,0.208,-0.579,-0.074,-0.425,-0.379,0.219,0.25,-0.592,0.117,0.553,-0.646,-0.087,-0.514,0.922,0.257,0.409,0.463,0.02,0.126,0.929,0.705,0.253,-0.033,0.73,0.645,-0.094,0.374,0.496,0.302,0.036,0.66,0.515,0.248,0.586,0.818,0.16,0.769,0.58,1.261,0.774,0.434,0.905,0.526,0.922,0.638,1.299,0.695,-0.238,0.746,0.816,0.779,1.076,1.946,0.972,0.608,1.211
"3","Polynesia","March",-0.514,-0.157,-0.129,0.167,-0.291,0.144,-0.168,-0.602,0.407,0.026,-0.443,0.032,0.761,-0.529,-0.015,-0.318,0.566,0.066,0.276,0.558,-0.131,0.611,0.361,0.237,0.425,0.293,0.621,0.626,0.022,0.324,0.578,0.379,0.218,0.818,0.745,0.406,0.123,1.039,0.303,0.369,0.662,1.152,1.082,0.318,1.057,0.954,0.912,0.418,1.123,1.064,0.382,0.506,0.99,0.638,0.983,1.628,1.388,0.86,1.139
"4","Polynesia","April",0.137,-0.31,-0.118,0.079,-0.188,0.22,-0.396,-1.01,0.238,0.128,-0.392,0.369,0.559,-0.427,-0.265,-0.176,0.111,0.014,0.052,0.395,-0.159,0.424,-0.258,0.558,0.195,0.228,0.468,0.364,0.11,0.138,0.638,0.265,0.251,0.344,0.386,0.308,0.589,0.315,0.536,0.31,0.829,1.038,0.67,0.044,0.803,0.896,0.949,0.323,1.251,1.275,0.522,0.506,1.143,0.504,0.786,1.135,1.08,0.567,1.253
"5","Polynesia","May",0.293,-0.134,-0.093,-0.322,-0.121,0.149,-0.371,-0.603,-0.015,0.391,-0.292,0.224,0.461,-0.428,-0.171,-0.233,-0.028,0.117,0.199,0.142,0.152,0.278,0.153,0.424,0.186,-0.018,0.31,0.563,0.171,0.381,0.4,0.439,0.282,0.371,0.513,0.279,0.512,0.562,0.203,0.335,0.675,0.891,0.763,0.27,0.224,0.984,0.835,0.344,0.592,1.127,0.533,0.792,1.199,0.715,0.726,1.015,1.141,0.874,0.98
"6","Polynesia","June",0.04,-0.246,-0.167,-0.251,-0.558,-0.189,-0.312,-0.361,0.315,0.4,-0.15,0.304,0.069,-0.163,-0.037,-0.225,-0.096,0.101,0.584,0.126,-0.155,0.374,0.009,0.306,-0.014,0.367,-0.381,0.478,0.187,0.403,0.27,0.443,-0.102,0.114,0.941,0.621,-0.059,0.296,0.21,0.472,0.789,0.803,0.327,0.219,0.134,0.833,1.257,0.324,0.528,1.038,0.56,0.619,0.928,0.611,0.693,0.999,1.124,1.01,1.149
"7","Polynesia","July",0.157,0.002,0.025,-0.232,-0.155,-0.055,-0.372,-0.274,-0.011,0.29,-0.092,0.081,0.252,0.046,0.09,-0.168,0.101,-0.115,0.015,0.234,0.044,0.105,0.024,-0.089,0.039,0.198,-0.25,0.248,0.16,0.561,0.596,0.855,-0.161,-0.095,0.809,0.4,0.152,0.311,0.81,0.299,0.912,0.947,0.525,0.147,0.531,0.587,1.123,0.426,0.932,1.155,0.746,0.661,0.386,0.625,0.578,0.937,1.244,0.775,0.898
"8","Polynesia","August",0.163,-0.294,0.154,0.005,-0.197,-0.207,-0.5,-0.305,-0.18,0.285,-0.001,0.411,0.217,-0.377,-0.122,-0.24,0.06,0.244,-0.011,0.442,0.136,0.177,0.053,0.055,0.512,0.033,-0.171,0.619,0.409,0.819,0.776,0.674,0.414,0.165,0.94,0.604,0.009,0.375,0.522,0.705,0.759,0.859,0.486,0.67,0.522,0.657,1.415,0.495,0.691,0.916,0.826,0.824,0.682,0.74,0.379,1.363,0.914,0.784,1.557
"9","Polynesia","September",0.339,0.047,-0.253,-0.289,-0.126,-0.099,-0.035,-0.231,-0.241,-0.018,-0.252,0.05,0.41,-0.005,0.093,-0.153,0.084,0.08,0.339,0.196,0.347,0.013,0.371,0.319,0.274,0.351,0.276,0.533,0.676,0.682,0.231,0.93,0.133,0.214,0.719,0.474,0.657,0.492,0.302,0.652,0.75,1.08,0.91,0.768,0.887,0.607,0.988,0.462,0.884,0.677,1.007,1.113,0.734,1.337,0.621,1.356,1.194,0.832,1.158
"10","Polynesia","October",-0.331,-0.124,0.053,-0.11,-0.169,-0.137,-0.381,-0.097,0.284,0.098,0.028,-0.062,-0.048,0.109,-0.098,0.485,0.212,-0.03,0.121,0.207,0.252,0.232,0.385,0.342,0.29,0.355,0.145,0.355,0.645,0.813,0.557,0.56,0.119,0.469,0.648,0.406,0.628,0.526,0.412,0.417,0.57,0.924,0.71,0.818,1.008,0.575,0.916,0.814,0.616,0.754,0.786,1.171,0.924,1.476,0.631,1.393,0.658,0.971,0.966
