"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Portugal","January",-0.879,0.561,0.103,0.161,-0.706,2.389,-0.714,-0.067,0.777,1.124,-0.783,-1.555,-0.663,1.315,0.791,-0.82,-0.092,-0.236,0.931,0.231,-0.096,1.37,-0.021,0.052,-1.503,-0.358,-0.279,1.218,-0.062,-0.004,-0.367,-1.465,-0.182,0.156,0.997,1.722,0.516,1.555,0.184,-1.308,1.565,1.597,0.244,1.685,-0.711,-0.933,0.385,1.824,-0.184,0.422,0.823,0.285,1.32,2.039,-0.044,2.638,0.005,0.996,0.311
"2","Portugal","February",2.554,-0.279,-1.561,0.766,-1.602,1.49,0.324,0.095,-1.313,-0.277,0.649,-0.485,-0.742,-0.445,1.015,0.641,0.858,0.98,0.764,0.888,-0.436,0.905,-1.238,-0.664,1.937,-0.424,0.238,0.309,1.282,2.797,-1.201,0.329,0.67,-0.319,1.672,-0.798,2.719,2.8,-0.034,2.571,1.406,1.599,-0.124,0.813,-1.689,-0.583,1.677,2.672,0.858,0.014,0.974,-1.039,-0.395,0.578,-0.322,1.068,2.108,-0.507,1.73
"3","Portugal","March",3.099,-0.217,-0.123,-0.44,0.563,0.286,1.763,-0.487,-0.452,-1.607,-1.97,-1.06,-0.397,-0.802,-1.673,0.087,0.734,0.183,-1.329,0.039,1.585,0.918,1.984,-1.533,-0.754,-0.32,1.685,0.943,1.78,2.277,0.656,1.602,0.808,2.922,1.742,0.784,4.721,3.064,1.241,2.166,2.127,1.927,2.186,0.172,1.186,1.109,0.81,0.737,2.934,0.367,0.705,2.259,0.238,1.331,1.487,-0.101,1.861,-0.29,2.173
"4","Portugal","April",0.79,0.628,0.128,-0.194,0.881,0.23,-0.028,-0.692,-0.464,-0.051,-0.783,-0.046,0.363,-1.565,-0.341,-1.334,0.818,-1.438,-0.801,0.75,-0.668,1.287,-0.951,2.533,0.87,-3.001,1.264,0.164,-1.264,-0.277,-0.14,1.379,-0.594,-0.026,2.31,1.578,3.897,-0.747,1.649,-1.228,1.242,1.04,0.918,0.532,1.407,2.173,1.22,1.552,-0.086,2.471,4,-0.933,0.583,2.467,2.437,0.586,3.545,0.743,0.553
"5","Portugal","May",2.082,0.387,0.401,2.58,2.246,1.38,-1.772,-0.293,-1.378,0.347,-2.315,-1.657,-0.261,0.038,-1.441,0.287,-1.354,-1.595,-0.459,-0.931,-1.398,0.59,-2.225,-3.332,-1.485,0.943,0.78,-0.706,1.787,1.97,1.251,2.13,-1.255,-0.321,2.428,-0.038,0.489,0.292,1.318,1.196,1.042,-0.316,2.378,0.306,1.977,2.698,0.789,-0.558,1.987,0.61,3.211,2.325,-0.531,1.677,3.401,0.378,3.104,0.513,2.933
"6","Portugal","June",1.05,1.534,-0.504,0.876,1.334,-0.216,0.346,0.708,-0.899,-0.857,-1.983,-2.139,0.465,-0.07,-0.392,2.651,-2.397,-2.229,0.822,-0.225,2.437,0.482,1.485,-0.153,0.36,0.449,0.9,-0.787,1.586,0.722,1.409,-1.7,0.597,1.75,1.438,2.643,-0.826,1.131,1.754,2.421,2.444,0.958,2.888,4.169,3.896,2.376,0.233,1.892,2.465,1.333,1.825,1.815,0.922,1.14,3.314,2.234,4.131,0.773,0.243
"7","Portugal","July",0.643,-0.312,0.308,0.336,-1.726,-0.214,0.164,0.019,1.661,0.447,-0.22,-0.776,-0.983,1.333,0.147,0.642,-2.276,-0.143,0.729,-0.788,0.923,-1.126,-1.269,0.226,0.581,1.338,0.779,-0.335,2.963,2.489,1.507,1.626,1.183,0.747,1.383,1.115,0.283,1.334,1.742,0.112,-0.246,0.521,0.533,1.633,1.566,2.591,0.49,0.2,0.362,2.818,0.253,0.604,1.998,0.198,2.599,3.148,1.616,-0.302,0.946
"8","Portugal","August",2.002,1.221,-0.844,0.861,0.445,-0.28,-0.309,-0.12,0.511,-0.881,-1.805,-0.928,1.302,-0.132,0.782,0.218,-2.131,0.15,0.21,1.101,0.747,0.798,-0.486,0.167,0.069,-0.873,1.347,0.349,1.377,2.109,2.481,1.11,0.525,0.713,2.068,-0.524,0.614,2.553,0.524,0.782,0.896,0.016,3.227,0.571,2.398,2.17,0.423,0.398,2.203,3.311,0.972,1.172,2.343,0.805,1.203,3.046,1.93,3.272,1.401
"9","Portugal","September",0.609,1.15,-0.79,2.286,-2.009,1.538,-0.608,-0.936,-2.394,1.502,0.254,-1.946,-0.537,-1.624,-1.51,-1.606,1.47,2.692,0.122,1.622,0.522,0.611,2.028,0.002,3.053,0.794,2.96,1.549,0.271,1.613,1.645,-0.285,-2.314,-1.273,-1.174,-1.024,1.776,0.16,-0.141,0.658,0.519,-0.517,1.736,1.155,0.63,1.419,0.952,-0.379,1.525,1.231,1.444,1.389,2.105,1.235,-0.045,2.032,0.911,3.496,1.29
"10","Portugal","October",-0.66,1.868,1.978,-0.475,0.215,-1.456,0.819,2.196,0.579,-0.131,2.37,-1.254,-0.411,-2.571,0.67,-2.045,0.058,0.279,-1.324,0.045,0.639,-1.053,1.442,-0.123,2.048,1.341,-1.426,0.687,2.308,0.013,-1.43,-1.948,-2.461,0.92,2.788,0.456,2.202,-0.141,0.292,-0.304,1.282,0.934,-0.355,0.385,1.182,2.006,0.981,-0.034,2.855,-0.015,3.091,0.458,1.547,3.07,1.255,2.02,3.89,0.984,1.215
