"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Puerto Rico","January",0.467,0.121,0.179,0.314,-0.919,0.472,0.031,-0.43,-0.131,0.671,-0.059,-0.241,0.699,-0.431,-0.437,-0.949,0.216,0.197,-0.128,0.27,0.766,0.456,0.537,0.507,-0.512,0.073,0.231,0.444,0.071,0.685,0.481,0.111,0.163,0.744,0.613,0.728,0.113,1.628,0.775,-0.23,0.649,1.206,1.041,0.225,-0.055,0.481,0.93,0.068,0.916,1.241,0.671,0.204,0.763,0.996,1.113,1.156,0.496,1.466,0.622
"2","Puerto Rico","February",0.301,-0.434,0.508,0.717,-0.417,0.205,0.03,-0.46,-0.371,0.437,-0.112,-0.224,0.271,-0.176,-0.419,-0.808,0.494,0.365,0.119,0.303,0.505,0.257,0.488,0.264,-0.067,-0.356,0.312,0.386,-0.044,0.004,0.55,0.475,-0.057,0.609,0.842,0.538,0.363,1.193,-0.584,0.038,0.271,0.547,1.242,0.51,-0.829,0.508,1.278,0.111,0.42,1.671,0.889,0.636,0.54,0.951,1.285,1.474,1.076,0.234,0.872
"3","Puerto Rico","March",0.124,-0.108,0.152,0.525,0.236,0.2,-0.855,-0.8,0.655,0.225,-0.158,-0.257,0.371,-0.496,-0.308,-1.046,0.12,0.557,-0.387,0.182,0.758,-0.078,1.383,0.169,-0.346,0.006,0.079,0.032,-0.426,-0.264,0.362,0.286,0.061,0.602,-0.38,0.474,-0.015,1.109,0.276,-0.884,0.575,0.731,1.38,0.162,1.096,0.494,1.112,-0.203,-0.57,1.848,0.383,0.257,0.674,0.715,0.55,1.054,0.797,0.534,0.8
"4","Puerto Rico","April",0.39,-0.084,0.142,-0.038,-0.484,0.092,-0.832,-1.314,1.197,0.404,-0.378,-0.039,0.124,-0.63,-0.234,-0.779,-0.26,0.241,-0.07,0.411,0.189,0.197,0.448,0.66,-0.501,0.297,1.16,0.477,-0.209,0.036,0.133,0.645,0.54,0.46,0.56,0.144,0.218,0.757,0.524,0.289,0.318,0.213,0.916,0.432,1.616,0.733,0.785,-0.037,0.112,1.207,0.504,0.526,0.665,0.852,0.946,1.112,0.549,0.723,0.78
"5","Puerto Rico","May",0.221,-0.274,-0.483,0.23,-0.547,-0.314,-0.435,0.085,1.003,-0.253,-0.535,-0.275,0.449,-0.624,-0.35,-0.549,-0.152,0.307,-0.356,0.742,0.596,-0.484,0.453,-0.105,-0.236,-0.353,0.488,0.673,-0.236,0.435,0.199,-0.22,0.229,0.897,0.864,-0.045,0.593,1.043,1.05,0.001,0.487,0.574,0.638,-0.071,0.84,0.73,1.306,0.264,-0.12,1.054,0.066,0.363,0.521,0.196,0.988,1.032,0.671,0.337,0.653
"6","Puerto Rico","June",-0.127,-0.23,-0.034,-0.013,-0.661,-0.276,-0.138,-0.28,0.949,-0.123,-0.335,0.148,-0.009,-0.267,-0.115,-0.675,0.138,0.216,0.063,0.738,0.098,0.05,0.649,-0.081,0.122,-0.037,0.23,0.779,-0.247,0.58,0.467,0.304,0.431,0.635,0.634,-0.033,1.131,1.18,0.48,0.263,0.644,0.605,0.5,0.596,0.967,0.729,0.851,0.641,0.585,0.77,0.886,1.17,0.418,0.775,1.071,0.94,0.633,0.721,1.026
"7","Puerto Rico","July",-0.266,0.183,0.038,-0.08,-0.344,0.231,-0.103,-0.312,0.364,-0.078,-0.397,0.109,0.21,-0.066,-0.077,-0.22,-0.049,-0.009,0.123,0.491,0.374,-0.043,0.599,-0.271,0.388,0.19,0.516,0.483,0.237,0.337,0.223,0.216,0.202,0.148,0.769,0.143,0.811,0.83,0.247,0.507,0.594,0.648,0.537,0.311,0.76,0.411,0.914,0.656,1.294,0.826,0.24,0.87,0.328,0.899,1.007,0.929,1.057,0.757,1.209
"8","Puerto Rico","August",-0.004,-0.048,0.15,-0.204,-0.43,0.227,-0.358,-0.082,0.078,-0.052,-0.532,-0.127,-0.042,-0.337,-0.094,-0.17,-0.026,-0.056,0.131,0.449,0.311,-0.074,0.177,-0.017,0.28,0.149,0.866,0.108,0.141,0.582,0.367,-0.044,0.474,0.209,0.626,0.154,0.707,1.02,0.696,0.406,0.788,0.827,0.465,0.787,0.645,0.391,0.681,0.819,0.837,0.992,0.447,0.506,0.672,0.683,0.903,0.847,1.183,0.67,1.05
"9","Puerto Rico","September",-0.098,0.105,0.23,0.03,0.084,-0.016,-0.166,0.124,0.238,-0.289,-0.111,-0.199,0.006,-0.557,-0.398,-0.097,-0.159,0.109,-0.368,0.601,0.325,0.024,0.43,-0.313,0.008,0.165,0.752,0.025,0.054,0.614,0.31,-0.042,0.386,0.231,0.408,0.262,0.896,0.868,0.64,0.422,0.685,0.892,0.886,0.381,1.262,0.895,0.499,0.253,0.69,0.624,0.506,0.927,0.779,0.483,1.287,0.937,1.036,0.714,1.29
"10","Puerto Rico","October",-0.223,0.112,0.449,-0.173,0.154,-0.147,0.006,0.106,0.307,-0.337,-0.544,-0.053,-0.136,-0.403,-0.454,-0.127,0.047,-0.149,0.31,0.72,0.171,-0.013,0.174,-0.418,-0.596,0.004,0.747,0.118,-0.183,0.408,0.057,0.18,0.377,0.227,0.254,0.423,0.641,0.834,0.411,0.417,0.716,0.63,0.769,0.4,0.624,1.118,0.363,0.265,0.869,0.438,0.682,1.069,0.866,0.868,1.233,0.938,0.533,0.44,1.12
