"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Qatar","January",0.719,0.467,1.269,-3.12,-0.271,2.02,0.723,-1.291,1.776,0.621,0.217,-0.514,-1.728,-0.044,-0.358,-0.224,-1.727,0.969,1.031,-0.133,1.848,-0.281,-1.42,-0.371,1.658,-0.225,0.239,-0.751,-2.486,-0.773,1.061,-2.365,-0.95,1.778,0.895,0.393,0.719,-0.72,1.955,1.031,-0.151,1.015,0.61,2.836,-0.071,1.072,-1.341,-1.293,-0.862,1.975,1.454,0.709,2.011,0.476,1.495,1.13,1.837,1.182,2.838
"2","Qatar","February",-0.26,1.346,3.081,-0.713,0.819,0.641,-1.091,-2.658,-0.637,1.387,0.179,-2.313,1.567,-0.78,-0.544,-1.261,-0.127,0.15,1.646,0.392,0.469,-1.876,-1.594,0.145,-0.372,-0.321,1.095,-0.22,-2.034,0.104,-0.018,-1.989,-0.63,-0.311,0.612,1.055,-0.671,0.792,2.505,-0.253,-0.174,0.761,1.698,1.294,-0.154,1.646,0.672,-1.108,1.627,2.936,0.936,0.113,1.938,0.888,2.405,1.325,-1.174,2.203,1.113
"3","Qatar","March",-1.022,1.28,0.139,1.073,-0.002,-0.158,-1.092,0.119,3.481,0.283,-0.491,-1.295,0.745,0.356,-1.029,-2.912,1.336,-0.076,-0.121,1.065,0.71,-1.842,-3.595,1.149,-0.274,-0.465,-0.169,-0.229,-0.475,-0.222,-0.982,-3.443,-0.052,-0.54,-1.149,-0.188,-2.102,0.116,0.205,-0.566,1.032,1.703,0.305,1.873,1.217,1.022,0.621,2.289,0.65,2.545,0.015,-0.331,0.49,1.655,1.128,1.616,0.647,3.41,-0.458
"4","Qatar","April",-0.787,0.185,0.555,-0.099,-1.275,-1.488,-1.901,-0.778,0.038,0.921,-0.595,-0.85,1.037,0.306,-0.163,-1.07,0.157,1.412,0.989,2.058,0.771,0.249,-1.341,1.828,0.326,0.686,0.176,0.605,0.058,0.775,1.037,-1.262,-0.552,0.867,-0.175,0.204,-1.438,1.183,2.146,3.213,1.708,1.408,1.614,0.548,1.859,1.412,2.542,1.696,0.59,2.327,1.64,1.5,1.908,2.909,2.315,1.367,3,2.07,0.829
"5","Qatar","May",-0.484,-0.058,-2.389,0.716,1.203,1.047,-0.879,-0.475,-0.048,-0.236,1.327,-1.201,1.323,-1.431,0.665,0.067,1.001,0.386,0.324,0.403,0.538,1.061,1.635,-0.273,1.249,2.238,1.948,1.3,0.893,2.104,-1.078,0.594,0.164,1.057,0.769,1.774,0.732,1.993,1.647,2.472,2.366,2.833,1.864,1.178,1.083,2.893,2.667,3.008,2.699,1.805,3.038,3.653,1.124,2.724,3.008,2.742,3.334,1.812,2.085
"6","Qatar","June",-1.229,-0.228,-0.259,0.804,0.9,0.357,-1.396,-0.14,-0.116,-0.884,-0.568,1.621,-0.266,0.588,0.521,-0.583,0.907,-0.558,1.747,0.637,-0.048,0.409,0.876,-0.319,0.111,0.53,0.653,0.806,-0.184,0.081,-0.497,1.104,-0.038,0.617,0.554,0.509,0.816,2.002,2.356,0.692,0.784,0.909,2.122,1.007,1.566,1.832,1.615,2.314,2.379,1.937,2.55,2.387,1.015,1.65,1.994,2.093,2.306,3.106,3.319
"7","Qatar","July",-0.027,0.74,0.51,0.07,0.342,-0.654,-0.635,0.122,-0.155,0.518,-0.13,0.125,-0.189,0.059,-0.165,-0.328,0.499,0.121,-0.029,0.982,0.878,0.11,0.12,0.304,0.195,0.739,1.147,1.066,0.909,1.435,-1.115,-0.109,0.415,0.307,-0.116,1.559,0.972,1.887,1.194,1.749,1.365,1.74,0.88,1.23,0.899,1.811,1.402,2.061,1.779,2.164,1.869,2.244,1.803,2.244,2.123,2.637,2.579,2.495,1.955
"8","Qatar","August",0.17,0.905,0.16,0.264,0.865,-0.172,-0.245,-0.819,0.054,-0.406,-0.828,-0.032,0.206,0.379,-0.171,-0.584,0.176,-0.41,0.359,0.018,0.575,-0.048,0.208,-0.903,0.772,0.997,0.775,0.756,0.778,0.439,-0.797,0.386,0.781,-0.225,0.355,1.008,-0.161,2.117,1.739,1.816,1.157,0.967,1.469,0.75,1.592,1.917,1.679,1.204,1.486,1.618,2.009,2.229,0.707,1.973,2.214,2.11,2.397,2.011,2.02
"9","Qatar","September",-1.477,0.196,-0.044,-0.152,1.141,0.857,-0.577,-1.216,-0.16,-1.071,-0.415,-0.296,0.819,0.129,0.694,-0.156,0.272,-0.484,0.667,-0.093,0.635,0.963,-0.352,-0.42,0.174,1.029,0.812,1.526,0.322,0.298,-0.288,0.092,0.358,0.793,-0.055,1.071,0.741,2.154,1.553,0.35,1.573,0.862,0.732,0.307,0.904,1.234,1.77,1.757,1.352,2.105,1.887,1.708,1.517,1.96,2.495,1.903,2.48,2.671,2.544
"10","Qatar","October",-1.022,-0.174,0.687,-1.855,1.318,0.874,0.916,-0.517,0.836,-0.549,-1.191,0,0.451,-0.659,-1.848,0.789,0.878,-0.327,1.459,-0.021,0.131,1.208,-1.181,-0.954,0.228,1.279,0.684,1.333,0.283,0.704,0.071,-0.54,0.874,0.763,0.196,0.224,1.423,1.307,1.591,1.175,1.445,1.749,1.901,1.322,0.82,2.12,1.671,1.185,0.945,2.083,1.352,2.114,0.168,2.34,3.066,0.733,2.555,1.93,3.414
